,y,Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link
8,2023.0,4.1786,5.9918
9,2024.0,0.0,4.7382
10,2025.0,-1.0852,0.0
11,2026.0,-1.0231999999999999,5.9918
12,2027.0,5.1936,5.9918
13,2028.0,1.3264,5.9918
14,2029.0,4.6522,5.9918
15,2030.0,-3.9215999999999998,-1.9865
16,2031.0,-4.0462,0.19889999999999985
17,2032.0,-4.6486,2.4703
18,2033.0,-4.83,2.9682000000000004
19,2034.0,-5.4617,2.8771000000000004
20,2035.0,-5.5989,3.2418
21,2036.0,-5.1711,3.2695999999999996
22,2037.0,-3.9553000000000003,3.3655
23,2038.0,-3.3419999999999996,3.117
24,2039.0,-4.1337,2.876
25,2040.0,-4.799799999999999,1.6867
26,2041.0,-4.9885,1.6867
27,2042.0,-5.0087,1.6867
28,2043.0,-4.5767999999999995,1.3852000000000002
29,2044.0,-5.0295,1.3877000000000002
30,2045.0,-4.9906,1.8047999999999997
31,2046.0,-3.856,2.4291
32,2047.0,-2.1386000000000003,2.6307
33,2048.0,-7.5719,2.0084
34,2049.0,-3.6305,2.6307
35,2050.0,-1.9624,2.4885
36,2051.0,-2.6746,2.5641999999999996
37,2052.0,-3.2005,2.6307
38,2053.0,-3.3396,1.6867
39,2054.0,-3.3396,1.6867
40,2055.0,-3.8873000000000006,1.6867
41,2056.0,-4.2469,1.4493999999999998
42,2057.0,-4.3099,1.8509000000000002
43,2058.0,-3.1545000000000005,1.8509000000000002
44,2059.0,-3.3396,1.8509000000000002
45,2060.0,-3.3396,1.8585000000000003
46,2061.0,-3.3396,1.2443
47,2062.0,-3.3396,1.1511
48,2063.0,-3.3396,1.4803000000000002
49,2064.0,-3.3396,2.2766
50,2065.0,-3.1963,2.0564
51,2066.0,-4.736000000000001,2.7949
52,2067.0,-4.8716,2.3246
53,2068.0,-5.4449000000000005,2.7949
54,2069.0,-5.458600000000001,3.7388000000000003
55,2070.0,-3.4934,3.7388000000000003
