,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Geothermal,Biomass,Crude oil Refinery,Natural gas extraction
8,2023.0,0.0,14.45,0.0,3834.24,0.0,0.0,0.0,107.1,10.15,0.0
9,2024.0,0.0,13.59,0.0,4847.03,0.0,0.0,0.0,100.8,10.47,0.0
10,2025.0,0.0,12.74,0.0,6013.26,0.0,0.0,0.0,63.0,10.81,0.43
11,2026.0,0.0,11.9,0.0,6013.26,0.0,0.0,0.0,56.7,11.14,0.43
12,2027.0,0.0,11.05,0.0,6013.26,0.0,0.0,0.0,50.4,11.5,0.43
13,2028.0,0.0,10.19,0.0,6891.01,0.01,0.0,0.0,44.1,11.87,0.43
14,2029.0,0.0,10.41,0.0,6891.01,0.03,0.0,0.0,37.8,12.25,0.0
15,2030.0,0.0,8.5,0.0,9290.76,0.03,0.0,0.0,31.5,12.04,0.0
16,2031.0,0.0,7.65,0.0,9290.76,0.09,0.0,0.0,25.2,1.07,0.0
17,2032.0,0.0,6.81,0.0,9290.76,0.14,0.0,0.02,18.9,0.72,0.0
18,2033.0,0.0,6.36,0.0,9290.76,0.2,0.0,0.07,12.6,0.36,0.0
19,2034.0,0.0,6.03,0.0,9290.76,0.26,0.0,0.12,6.3,0.0,0.0
20,2035.0,0.0,5.49,0.0,9290.76,0.26,0.0,0.12,0.0,0.0,0.0
21,2036.0,0.0,4.46,0.0,9290.76,0.31,0.0,0.17,0.0,0.0,0.0
22,2037.0,0.0,3.35,0.65,9290.76,0.31,0.01,0.2,0.0,0.0,0.0
23,2038.0,0.0,2.23,1.15,9728.28,0.33,0.02,0.2,0.0,0.0,0.0
24,2039.0,0.0,1.13,2.1,9728.28,0.36,0.03,0.2,0.0,0.0,0.0
25,2040.0,0.0,0.0,8.27,9728.28,0.39,0.04,0.2,0.0,0.0,0.0
26,2041.0,0.0,0.0,8.43,9728.28,0.46,0.04,0.2,0.0,0.0,0.0
27,2042.0,0.0,0.0,8.31,9691.71,0.52,0.04,0.2,0.0,0.0,0.0
28,2043.0,0.0,0.0,7.87,9691.71,0.61,0.05,0.2,0.0,0.0,0.0
29,2044.0,0.0,0.0,7.81,9671.46,0.68,0.05,0.2,0.0,0.0,0.0
30,2045.0,0.0,0.0,7.85,9671.46,0.78,0.05,0.2,0.0,0.0,0.0
31,2046.0,56.12,0.0,8.09,9291.66,0.87,0.05,0.2,0.0,0.0,0.0
32,2047.0,55.36,0.0,8.23,9188.98,0.97,0.05,0.2,0.0,0.0,0.0
33,2048.0,274.22,0.0,8.23,9032.43,1.09,0.05,0.2,0.0,0.0,0.0
34,2049.0,274.22,0.0,8.48,9082.72,1.18,0.05,0.2,0.0,0.0,0.0
35,2050.0,274.22,0.0,8.5,8906.28,1.32,0.05,0.2,0.0,0.0,0.0
36,2051.0,276.14,0.0,8.71,8741.91,1.41,0.05,0.2,0.0,0.0,0.0
37,2052.0,274.91,0.0,9.12,8625.14,1.49,0.05,0.2,0.0,0.0,0.0
38,2053.0,382.36,0.0,19.16,8504.02,1.57,0.05,0.2,0.0,0.0,0.0
39,2054.0,511.95,0.0,13.14,8480.32,1.64,0.05,0.2,0.0,0.0,0.0
40,2055.0,529.69,0.0,12.72,8281.87,1.74,0.06,0.2,0.0,0.0,0.0
41,2056.0,644.29,0.0,12.75,8095.06,1.79,0.06,0.2,0.0,0.0,0.0
42,2057.0,887.45,0.0,14.43,8128.93,1.84,0.06,0.2,0.0,0.0,0.0
43,2058.0,1047.81,0.0,15.39,8087.51,1.92,0.06,0.2,0.0,0.0,0.0
44,2059.0,1053.29,0.0,18.91,8087.51,2.01,0.05,0.2,0.0,0.0,0.0
45,2060.0,1114.43,0.0,17.7,8087.51,2.09,0.06,0.2,0.0,0.0,0.0
46,2061.0,1189.86,0.0,13.02,8087.51,2.15,0.06,0.2,0.0,0.0,0.0
47,2062.0,1299.21,0.0,19.11,8087.51,2.21,0.06,0.2,0.0,0.0,0.0
48,2063.0,1434.24,0.0,20.82,8087.51,2.26,0.06,0.2,0.0,0.0,0.0
49,2064.0,1596.24,0.0,17.92,8087.51,2.31,0.07,0.2,0.0,0.0,0.0
50,2065.0,1994.95,0.0,4.69,7400.8,2.34,0.07,0.2,0.0,0.0,0.0
51,2066.0,2181.47,0.0,4.53,7353.89,2.39,0.08,0.2,0.0,0.0,0.0
52,2067.0,2360.98,0.0,4.58,7324.53,2.43,0.08,0.2,0.0,0.0,0.0
53,2068.0,2674.49,0.0,4.29,7064.44,2.45,0.09,0.2,0.0,0.0,0.0
54,2069.0,3041.91,0.0,3.62,6462.49,2.51,0.09,0.2,0.0,0.0,0.0
55,2070.0,3545.27,0.0,3.34,5487.3,2.51,0.1,0.2,0.0,0.0,0.0
