,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Geothermal,Biomass,Crude oil Refinery,Natural gas extraction
0,2023.0,0.0,5.95,0.0,3834.24,0.0,0.0,0.0,0.92,10.15,0.0
1,2024.0,0.0,5.6,0.0,4847.03,0.0,0.0,0.0,0.86,10.47,0.0
2,2025.0,0.0,5.24,0.0,6013.26,0.0,0.0,0.0,0.54,10.81,0.43
3,2026.0,0.0,4.89,0.0,6013.26,0.0,0.0,0.0,0.49,11.14,0.43
4,2027.0,0.0,4.54,0.0,6013.26,0.0,0.0,0.0,0.43,11.5,0.43
5,2028.0,0.0,4.2,0.0,6891.01,0.01,0.0,0.0,0.38,11.87,0.43
6,2029.0,0.0,4.5,0.0,6891.01,0.03,0.0,0.0,0.32,12.25,0.0
7,2030.0,0.0,3.49,0.0,9290.76,0.03,0.0,0.0,0.27,12.04,0.0
8,2031.0,0.0,3.14,0.0,9290.76,0.09,0.0,0.0,0.22,1.07,0.0
9,2032.0,0.0,2.8,0.0,9290.76,0.14,0.0,0.01,0.16,0.72,0.0
10,2033.0,0.0,2.72,0.0,9290.76,0.2,0.0,0.04,0.11,0.36,0.0
11,2034.0,0.0,2.67,0.0,9290.76,0.26,0.0,0.08,0.05,0.0,0.0
12,2035.0,0.0,2.51,0.0,9290.76,0.26,0.0,0.08,0.0,0.0,0.0
13,2036.0,0.0,2.06,0.0,9290.76,0.31,0.0,0.11,0.0,0.0,0.0
14,2037.0,0.0,1.55,0.54,9290.76,0.31,0.0,0.13,0.0,0.0,0.0
15,2038.0,0.0,1.02,0.97,9728.28,0.33,0.0,0.13,0.0,0.0,0.0
16,2039.0,0.0,0.52,1.76,9728.28,0.36,0.01,0.13,0.0,0.0,0.0
17,2040.0,0.0,0.0,2.18,9728.28,0.39,0.01,0.13,0.0,0.0,0.0
18,2041.0,0.0,0.0,2.19,9728.28,0.46,0.01,0.13,0.0,0.0,0.0
19,2042.0,0.0,0.0,2.09,9691.71,0.52,0.01,0.13,0.0,0.0,0.0
20,2043.0,0.0,0.0,1.72,9691.71,0.61,0.01,0.13,0.0,0.0,0.0
21,2044.0,0.0,0.0,1.67,9671.46,0.68,0.01,0.13,0.0,0.0,0.0
22,2045.0,0.0,0.0,1.7,9671.46,0.78,0.01,0.13,0.0,0.0,0.0
23,2046.0,0.24,0.0,1.91,9291.66,0.87,0.01,0.13,0.0,0.0,0.0
24,2047.0,0.23,0.0,2.03,9188.98,0.97,0.01,0.13,0.0,0.0,0.0
25,2048.0,1.15,0.0,2.02,9032.43,1.09,0.01,0.13,0.0,0.0,0.0
26,2049.0,1.15,0.0,2.23,9082.72,1.18,0.01,0.13,0.0,0.0,0.0
27,2050.0,1.15,0.0,2.25,8906.28,1.32,0.01,0.13,0.0,0.0,0.0
28,2051.0,1.16,0.0,2.42,8741.91,1.41,0.01,0.13,0.0,0.0,0.0
29,2052.0,1.15,0.0,2.77,8625.14,1.49,0.01,0.13,0.0,0.0,0.0
30,2053.0,1.6,0.0,3.05,8504.02,1.57,0.01,0.13,0.0,0.0,0.0
31,2054.0,2.15,0.0,2.88,8480.32,1.64,0.01,0.13,0.0,0.0,0.0
32,2055.0,2.22,0.0,2.53,8281.87,1.74,0.01,0.13,0.0,0.0,0.0
33,2056.0,2.7,0.0,2.56,8095.06,1.79,0.01,0.13,0.0,0.0,0.0
34,2057.0,3.72,0.0,2.65,8128.93,1.84,0.01,0.13,0.0,0.0,0.0
35,2058.0,4.39,0.0,2.66,8087.51,1.92,0.01,0.13,0.0,0.0,0.0
36,2059.0,4.42,0.0,3.97,8087.51,2.01,0.01,0.13,0.0,0.0,0.0
37,2060.0,4.67,0.0,4.34,8087.51,2.09,0.01,0.13,0.0,0.0,0.0
38,2061.0,4.99,0.0,4.66,8087.51,2.15,0.01,0.13,0.0,0.0,0.0
39,2062.0,5.45,0.0,4.63,8087.51,2.21,0.01,0.13,0.0,0.0,0.0
40,2063.0,6.01,0.0,4.45,8087.51,2.26,0.02,0.13,0.0,0.0,0.0
41,2064.0,6.69,0.0,4.1,8087.51,2.31,0.02,0.13,0.0,0.0,0.0
42,2065.0,8.37,0.0,3.81,7400.8,2.34,0.02,0.13,0.0,0.0,0.0
43,2066.0,9.15,0.0,3.81,7353.89,2.39,0.02,0.13,0.0,0.0,0.0
44,2067.0,9.9,0.0,3.85,7324.53,2.43,0.02,0.13,0.0,0.0,0.0
45,2068.0,11.22,0.0,3.6,7064.44,2.45,0.02,0.13,0.0,0.0,0.0
46,2069.0,12.76,0.0,3.04,6462.49,2.51,0.02,0.13,0.0,0.0,0.0
47,2070.0,14.87,0.0,2.81,5487.3,2.51,0.03,0.13,0.0,0.0,0.0
