,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,0.0,16.52,567.9000000000001,191.54000000000002,0.0,0.0,4.09,0.0,28.119999999999997,5.3100000000000005,16.03,0.0
9,2024.0,0.0,15.39,609.24,223.72,0.0,0.0,5.75,0.0,30.82,5.0,22.73,0.0
10,2025.0,80.04,14.419999999999998,632.14,275.02000000000004,0.0,0.0,7.41,0.0,33.53,3.12,28.09,0.0
11,2026.0,160.08,13.45,529.43,288.7300000000001,32.17,0.0,9.07,0.0,36.23,2.05,28.08,-4.440892098500626e-16
12,2027.0,160.08,12.48,513.2700000000001,289.2300000000001,64.33,0.0,13.959999999999999,0.1,41.629999999999995,2.5,28.07,-8.881784197001252e-16
13,2028.0,160.08,11.52,485.65,298.89,96.5,0.0,18.86,2.52,48.94,2.19,28.06,-8.881784197001252e-16
14,2029.0,160.08,10.909999999999998,463.84,299.15,128.67,0.0,23.740000000000002,8.81,54.3,1.88,28.05,-8.881784197001252e-16
15,2030.0,160.08,9.61,467.45,324.88000000000005,128.67,0.0,30.310000000000002,12.79,57.0,1.56,28.04,0.0
16,2031.0,160.08,8.649999999999999,500.33,324.88000000000005,128.67,0.0,51.89,18.740000000000002,68.98,1.2400000000000002,28.03,0.0
17,2032.0,160.08,7.67,530.07,324.88000000000005,128.67,0.0,79.02000000000001,24.119999999999997,78.47,0.9299999999999999,28.02,0.0
18,2033.0,160.08,6.72,562.21,324.88000000000005,128.67,0.0,103.22,33.25,86.52,0.6200000000000001,28.01,0.0
19,2034.0,160.08,20.15,583.82,324.88000000000005,128.67,0.0,125.96000000000001,41.55,95.19,0.31000000000000005,28.0,0.0
20,2035.0,186.76,21.74,595.98,323.62000000000006,128.67,0.0,131.43,41.55,116.28,0.0,27.99,0.0
21,2036.0,213.44,20.580000000000002,600.62,330.11,128.67,0.0,154.14,42.65,131.46,0.0,27.98,8.881784197001252e-16
22,2037.0,240.12,19.44,612.9000000000001,329.37,128.67,0.0,176.87,43.72,145.82,0.0,30.36,0.0
23,2038.0,266.79,18.32,628.02,331.48,128.67,0.0,199.59,45.52,155.68,0.0,33.03,0.0
24,2039.0,293.47,16.990000000000002,644.63,333.55,128.67,0.0,222.32000000000002,47.97,166.09,0.0,35.69,0.0
