,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,0.0,6.694,45.477000000000004,15.466000000000001,0.0,0.0,0.612,0.0,2.295,0.369,0.598
9,2024.0,0.0,6.494999999999999,44.076,16.236,0.0,0.0,0.862,0.0,2.509,0.347,0.848
10,2025.0,3.0,6.164000000000001,42.677,17.681,0.0,0.0,1.111,0.0,2.722,0.217,1.048
11,2026.0,6.0,5.96,41.278,17.681,1.2,0.0,1.36,0.0,2.937,0.195,1.048
12,2027.0,6.0,5.696,39.876000000000005,17.681,2.4,0.0,2.109,0.015,3.412,0.173,1.048
13,2028.0,6.0,5.384,38.476,17.993,3.6,0.0,2.8579999999999997,0.36,4.072,0.15200000000000002,1.047
14,2029.0,6.0,5.073,37.076,17.993,4.8,0.0,3.6079999999999997,1.26,4.543,0.13,1.047
15,2030.0,6.0,4.871,36.28,18.846,4.8,0.0,4.606999999999999,1.8599999999999999,4.757,0.109,1.046
16,2031.0,6.0,4.671,34.88,18.846,4.8,0.0,8.007,2.71,5.8149999999999995,0.087,1.046
17,2032.0,6.0,4.4719999999999995,33.480000000000004,18.846,4.8,0.0,12.056000000000001,3.479,6.633,0.065,1.046
18,2033.0,6.0,4.272,32.12,18.846,4.8,0.0,15.805,4.784,7.311,0.044,1.045
19,2034.0,6.0,4.072,31.062,18.846,4.8,0.0,19.404,5.975,8.049,0.022,1.045
20,2035.0,7.0,3.8709999999999996,30.884999999999998,18.846,4.8,0.0,20.228,5.975,9.989,0.0,1.044
21,2036.0,8.0,3.67,30.505,19.416,4.8,0.0,23.823,6.135,11.356,0.0,1.044
