,y,Large hydropower plant (Dam),Medium hydropower plant (Run-of river),Aswan 1,Aswan 2,High Aswan Dam,Amarti-Neshe,Baro,Finchaa,Lake Tana - Beles,Renaissance,Tekeze 1,Tekeze 2,Dagash,Dal,Jebel Aulia,Kajbar,Kashm El Girba ,Merowe,Mograt,Roseires,Sabaloka,Sennar,Shereik,Upper Atbara,Esna,Naga Hamadi,New Assiut Barrage,Sor,Tis Abay 1,Tis Abay 2,Bedden,Lakki
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,0.0,41.8418,151.3735,316.5815,212.7626,0.0,0.0,0.0,37.1396,0.0,20.2534,3114.1267,0.0,379.7958,0.0,36.5729,0.0,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,0.0
9,2024.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,0.0,41.8418,151.3735,633.1631,212.7626,0.0,0.0,0.0,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,0.0,36.5729,0.0,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,248.0548
10,2025.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,949.7446,212.7626,269.4993,0.0,0.0,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,0.0,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,261.7208
11,2026.0,1118.2251,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,0.0,0.0,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,0.0,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,276.2953
12,2027.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,0.0,0.0,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,0.0,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,287.8044
13,2028.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,877.7503,0.0,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,0.0,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,297.2441
14,2029.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,877.7503,0.0,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,0.0,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,305.4364
15,2030.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,877.7503,1823.0198,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,576.727,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,311.0374
16,2031.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,877.7503,1823.0198,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,576.727,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,311.0374
17,2032.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,877.7503,1823.0198,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,576.727,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,311.0374
18,2033.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,877.7503,1823.0198,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,576.727,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,311.0374
19,2034.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,877.7503,1823.0198,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,576.727,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,311.0374
20,2035.0,1105.3061,33.7162,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,877.7503,1801.7572,32.1805,1012.7888,20.2534,3114.1267,0.0,379.7958,576.727,36.5729,1166.2295,234.8675,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,0.0,311.0374
21,2036.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,23.8438,308.8794,38.2095,109.4102,1266.3255,212.7626,269.4993,877.7503,1823.0198,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,576.727,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,0.7705,4.3731,55.3183,431.821,138.5797
22,2037.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,23.8438,324.0934,29.8705,84.8543,1266.3255,212.7626,247.2074,867.7195,1823.0198,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,576.727,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,0.7705,4.3731,55.3183,427.6415,175.3566
23,2038.0,1109.4471,37.9427,1048.8832,1011.4231,5669.9178,23.8438,309.3773,29.8705,109.9559,1266.3255,212.7626,269.4993,877.7503,1823.0198,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,575.7656,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,0.7705,4.3731,55.3183,395.4043,242.5452
24,2039.0,1104.8837,37.9427,1048.8832,1011.4231,5669.9178,23.8438,324.0934,41.8418,109.9559,1266.3255,212.7626,269.4993,877.7503,1823.0198,37.1396,1012.7888,20.2534,3114.1267,0.0,379.7958,576.727,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,0.7705,4.3731,55.3183,362.069,311.0374
25,2040.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,877.7503,1823.0198,37.1396,1012.7888,20.2534,3114.1267,418.1602,379.7958,576.727,36.5729,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,388.9067,311.0374
26,2041.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,32.9068,324.0934,41.8418,151.3735,1266.3255,212.7626,269.4993,877.7503,1537.2893,29.9774,1012.7888,15.2388,3114.1267,437.5188,301.2079,576.727,25.4059,1166.2295,246.3515,299.2838,239.7447,118.8984,1.6897,7.8013,55.3183,429.6884,288.2055
27,2042.0,1121.2587,37.9427,1048.8832,1011.4231,5669.9178,23.8438,324.0934,41.8418,123.9182,1266.3255,212.7626,269.4993,877.7503,1332.2581,30.8589,1011.8016,15.2388,3002.9979,437.5188,263.8307,576.727,0.0,1166.2295,246.3515,299.2838,239.7447,118.8984,0.7521,3.6138,55.3183,415.94,311.0374
28,2043.0,1114.9998,37.9427,1048.8832,1011.4231,5669.9178,26.0977,324.0934,34.7087,97.1022,1266.3255,212.7626,269.4993,838.5142,1445.798,29.9774,984.0438,15.2388,2831.3789,420.0826,301.2079,576.727,0.0,1114.9035,213.1068,299.2838,239.7447,118.8984,0.7521,3.6138,55.3183,417.6604,311.0374
29,2044.0,1104.8922,37.9427,1048.8832,1011.4231,5669.9178,26.0977,324.0934,34.7087,70.6339,1266.3255,212.7626,269.4993,838.5142,1595.5254,25.5473,967.5163,0.0,2642.1338,420.3825,226.0428,494.1889,0.0,1114.9035,210.66,299.2838,239.7447,118.8984,0.7521,3.6138,55.3183,424.5786,310.9612
