,y,CSP (with storage),CSP (without storage),Solar FPV,Solar PV (roof top),Solar PV (utility),Solar PV with storage
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,0.0,0.0,0.0,0.01548,0.597468,0.0
9,2024.0,0.0,0.0,0.0,0.015075000000000002,0.84700125,0.0
10,2025.0,0.0,0.0,0.0,0.014670000000000002,1.0965345000000002,0.0
11,2026.0,0.0,0.0,0.0,0.014265,1.34606775,0.0
12,2027.0,0.0,0.0,0.014558068967675126,0.01386,2.095601,0.0
13,2028.0,0.0,0.0,0.36000000000000326,0.013455000000000002,2.84513425,0.0
14,2029.0,0.0,0.0,1.2600000000000033,0.013049999999999999,3.5946675,0.0
15,2030.0,0.0,0.0,1.8600000000000032,0.262645,4.34420075,0.0
16,2031.0,0.0,0.0,2.7100000000000035,0.6122400000000023,7.394367353842559,0.0
17,2032.0,0.0,0.0,3.479453156781383,0.6618350000000034,10.89390060384256,0.5
18,2033.0,0.0,0.0,4.783989666083173,0.7114300000000042,14.393433853842561,0.7
19,2034.0,0.0,0.0,5.975246308738244,0.7610250000000048,17.892967103842558,0.7500000000000066
20,2035.0,0.0,0.0,5.975246308738244,0.8066200000000062,18.62067972640087,0.8000000000000073
21,2036.0,0.0,0.0,6.135000000000028,0.8532150000000079,22.12021297640087,0.8500000000000082
22,2037.0,0.0,0.0,6.320269705840991,0.9008100000000103,25.61974622640087,0.9000000000000097
23,2038.0,0.0,0.0,6.63026970584099,0.9504050000000116,29.119279476400866,0.9500000000000105
24,2039.0,0.0,0.0,7.0437387403618255,1.0000000000000122,32.61881272640087,1.0000000000000118
25,2040.0,0.0,0.0,7.69026970584102,1.0500000000000127,36.10881272640087,1.0500000000000118
26,2041.0,0.0,0.0,7.69026970584102,1.1000000000000139,42.53132036831441,1.1000000000000154
27,2042.0,0.0,0.0,8.154405940398528,1.1500000000000141,49.43208749003521,1.1500000000000152
28,2043.0,0.0,0.0,8.51118186019793,1.2000000000000155,56.147938750740174,1.2000000000000164
29,2044.0,0.0,0.0,8.83310977331611,1.2500000000000153,63.137705228071745,1.250000000000017
30,2045.0,0.0,0.0,9.433109773316108,1.3000000000000187,70.17326209453792,1.3000000000000203
31,2046.0,0.0,0.0,10.03310977331611,1.3500000000000187,77.28635427630512,1.3500000000000192
32,2047.0,0.0,0.0,10.606894020569872,1.400000000000023,84.26394853618432,1.400000000000022
33,2048.0,0.0,0.0,11.206894020569873,1.4500000000000002,91.23505971849167,1.45
34,2049.0,0.0,0.0,12.173259358477384,1.5000000000000249,98.07688903883279,1.5000000000000238
35,2050.0,0.0,0.0,12.773259358477386,1.550000000000026,104.9994510177932,1.5500000000000276
36,2051.0,0.0,0.0,12.773259358477386,1.6000000000000243,111.7619004462642,1.6000000000000258
37,2052.0,0.0,0.0,12.918234702026613,1.6500000000000257,118.03326737976326,1.6500000000000274
38,2053.0,0.0,0.0,13.323365337907578,1.7000000000000257,124.31380254809234,1.700000000000026
39,2054.0,0.0,0.0,13.825000000000054,1.750000000000027,130.63993631703937,1.750000000000028
40,2055.0,0.0,0.0,13.92300000000008,1.8000000000000287,136.97695893786818,1.800000000000027
41,2056.0,0.0,0.0,13.942000000000085,1.850000000000029,141.02457097091738,1.8500000000000272
42,2057.0,0.0,0.0,13.953924931335877,1.90000000000003,144.61027777751477,2.4000000000000288
43,2058.0,0.0,0.0,14.61800000000019,1.9500000000000308,148.35072877871642,2.95000000000003
44,2059.0,0.0,0.0,14.65499280229976,2.000000000000032,152.11233739278453,3.5000000000000315
45,2060.0,0.0,0.0,14.888000000000082,2.050000000000034,158.65232190174447,4.050000000000032
46,2061.0,0.0,0.0,14.888000000000043,4.343400202321396,162.4174912540221,4.600000000000032
47,2062.0,0.0,0.0,14.888000000000082,8.028904388141928,166.32897518082117,5.1500000000000306
48,2063.0,0.0,0.0,14.888000000000087,11.758601526107169,170.26952923856854,5.700000000000031
49,2064.0,0.0,1.8000000000000007,14.88800000000005,16.332116620959553,174.21982248787495,6.25000000000003
50,2065.0,0.0,3.8000000000000007,14.888000000000002,21.034361208879375,178.17230924957892,6.800000000000032
51,2066.0,0.0,5.800000000000001,14.888000000000002,25.868445103606536,179.1902750990103,7.350000000000029
52,2067.0,0.0,7.800000000000001,14.888000000000002,30.83773727288522,179.9211782409828,7.90000000000003
53,2068.0,0.0,9.8,14.888000000000002,35.94590120245489,180.9658575297526,8.450000000000028
54,2069.0,0.0,10.0000000000001,14.888000000000002,41.139605789725564,181.92281717976124,9.000000000000032
55,2070.0,2.0,10.200000000000099,14.888,46.40666528186638,183.1443184678446,9.550000000000036
