,y,CO2
0,2015,0.0
1,2016,0.0
2,2017,0.0
3,2018,0.0
4,2019,0.0
5,2020,0.0
6,2021,0.0
7,2022,0.0
8,2023,254.485
9,2024,262.073
10,2025,328.2684
11,2026,342.38649999999996
12,2027,345.6359
13,2028,348.26059999999995
14,2029,311.02729999999997
15,2030,317.0669
16,2031,322.92510000000004
17,2032,329.34010000000006
18,2033,336.04280000000006
19,2034,344.94589999999994
20,2035,355.5012
21,2036,366.0071
22,2037,377.2765
23,2038,389.0388
24,2039,400.2583
25,2040,399.8315
26,2041,379.4182
27,2042,388.5065
28,2043,397.2487
29,2044,405.0209
30,2045,412.9248
31,2046,419.04779999999994
32,2047,425.33820000000003
33,2048,438.4237
34,2049,447.1242
35,2050,455.7372
36,2051,464.12350000000004
37,2052,472.8091
38,2053,481.7785999999999
39,2054,490.8843
40,2055,492.3403
41,2056,494.8225
42,2057,509.3204
43,2058,523.9559
44,2059,538.8191
45,2060,553.2622
46,2061,563.5987
47,2062,574.2440000000001
48,2063,585.0322000000001
49,2064,594.0799000000001
50,2065,602.888
51,2066,611.9026999999999
52,2067,621.3604
53,2068,630.991
54,2069,642.9767999999999
55,2070,652.5273000000001
