,y,Oil,Gas,Hydro,Solar PV,Geothermal
8,2023.0,0.444,0.284,0.0,0.0,0.0
9,2024.0,0.443,0.284,0.57,0.0,0.0
10,2025.0,0.311,0.284,0.57,0.0,0.0
11,2026.0,0.309,0.284,0.57,0.0,0.0
12,2027.0,0.245,0.284,0.57,0.0,0.0
13,2028.0,0.131,0.284,0.57,0.0,0.0
14,2029.0,0.018,0.284,0.57,0.0,0.0
15,2030.0,0.016,0.284,0.57,0.0,0.0
16,2031.0,0.014,0.284,0.57,0.0,0.0
17,2032.0,0.013,0.284,0.57,0.0,0.0
18,2033.0,0.011,0.284,0.57,0.0,0.0
19,2034.0,0.01,0.284,0.57,0.0,0.0
20,2035.0,0.008,0.284,0.98,0.0,0.0
21,2036.0,0.006,0.284,0.98,0.0,0.0
22,2037.0,0.005,0.284,0.98,0.0,0.0
23,2038.0,0.003,0.284,0.98,0.0,0.0
24,2039.0,0.002,0.284,0.98,0.0,0.0
25,2040.0,0.0,0.284,0.98,0.0,0.0
26,2041.0,0.0,0.284,0.98,0.0,0.0
27,2042.0,0.017,0.313,0.98,0.0,0.0
28,2043.0,0.017,0.375,0.98,0.0,0.0
29,2044.0,0.017,0.442,0.98,0.0,0.0
30,2045.0,0.017,0.505,0.98,0.0,0.008
31,2046.0,0.017,0.527,0.98,0.0,0.067
32,2047.0,0.017,0.549,0.98,0.0,0.129
33,2048.0,0.017,0.575,0.98,0.0,0.194
34,2049.0,0.017,0.601,0.98,0.0,0.263
35,2050.0,0.017,0.619,0.98,0.114,0.318
36,2051.0,0.017,0.632,0.98,0.117,0.367
37,2052.0,0.017,0.632,0.98,0.359,0.371
38,2053.0,0.017,0.633,0.98,0.61,0.375
39,2054.0,0.017,0.633,0.98,0.869,0.379
40,2055.0,0.017,0.633,0.98,1.138,0.396
41,2056.0,0.017,0.633,0.98,1.42,0.4
42,2057.0,0.017,0.633,0.98,1.699,0.4
43,2058.0,0.017,0.633,0.98,2.016,0.4
44,2059.0,0.017,0.633,0.98,2.343,0.4
45,2060.0,0.017,0.633,0.98,2.681,0.4
46,2061.0,0.017,0.633,0.98,2.921,0.4
47,2062.0,0.017,0.633,0.98,3.166,0.4
48,2063.0,0.017,0.633,0.98,3.416,0.4
49,2064.0,0.017,0.633,0.98,3.644,0.4
50,2065.0,0.017,0.635,0.98,3.877,0.4
51,2066.0,0.017,0.641,0.98,4.12,0.4
52,2067.0,0.0,0.657,0.98,4.394,0.4
53,2068.0,0.0,0.657,0.98,4.675,0.4
54,2069.0,0.0,0.656,0.98,4.961,0.4
55,2070.0,0.0,0.656,0.98,5.255,0.4
