,y,Solar PV (roof top),Solar PV with storage
0,2050.0,0.11429104296059663,0.0
1,2051.0,0.002403052021550523,0.0
2,2052.0,0.24224171705898492,0.0
3,2053.0,0.25090193944372857,0.0
4,2054.0,0.25953286446085827,0.0
5,2055.0,0.26841808095354575,0.0
6,2056.0,0.2791407967546318,0.00336648408248619
7,2057.0,0.224224686370952,0.0546548903003402
8,2058.0,0.3165085341214184,0.0
9,2059.0,0.327252773979343,0.0
10,2060.0,0.338353474704438,0.0
11,2061.0,0.2398885979087544,0.0
12,2062.0,0.24526411906114992,0.0
13,2063.0,0.2498448052102828,0.0
14,2064.0,0.22798007195054915,0.0
15,2065.0,0.23313431363822093,0.0
16,2066.0,0.24251860280647278,0.0
17,2067.0,0.2742226793481067,0.0
18,2068.0,0.28044568070651965,0.0
19,2069.0,0.28683851550156053,0.0
20,2070.0,0.4076851123295742,0.0
