,y,CO2
8,2023,1.9642
9,2024,1.2559
10,2025,1.2573
11,2026,1.2587
12,2027,1.26
13,2028,1.2635
14,2029,1.2734
15,2030,1.2885
16,2031,1.3053
17,2032,1.3232
18,2033,1.3542
19,2034,1.3992
20,2035,1.271
21,2036,1.2748
22,2037,1.2872
23,2038,1.3075
24,2039,1.3324
25,2040,1.3586
26,2041,1.3938
27,2042,1.437
28,2043,1.5181
29,2044,1.6178
30,2045,1.7153
31,2046,1.7318
32,2047,1.7487
33,2048,1.77
34,2049,1.7924
35,2050,1.8138
36,2051,1.8263
37,2052,1.8106
38,2053,1.798
39,2054,1.785
40,2055,1.6693
41,2056,1.6555
42,2057,1.6447
43,2058,1.636
44,2059,1.6271
45,2060,1.618
46,2061,1.6112
47,2062,1.6043
48,2063,1.5998
49,2064,1.6108
50,2065,1.6212
51,2066,1.6284
52,2067,1.6162
53,2068,1.6093
54,2069,1.6084
55,2070,1.6136
