,y,Solar PV (roof top),Solar PV with storage
0,2050.0,0.6133,0.0
1,2051.0,0.6262,0.0
2,2052.0,1.9261,0.0
3,2053.0,3.2724,0.0
4,2054.0,4.6651,0.0
5,2055.0,6.1054,0.0
6,2056.0,7.6033,0.0287
7,2057.0,8.8065,0.4943
8,2058.0,10.5049,0.4943
9,2059.0,12.261,0.4943
10,2060.0,14.0766,0.4943
11,2061.0,15.3639,0.4943
12,2062.0,16.68,0.4943
13,2063.0,18.0207,0.4943
14,2064.0,19.244,0.4943
15,2065.0,20.495,0.4943
16,2066.0,21.7964,0.4943
17,2067.0,23.2679,0.4943
18,2068.0,24.7728,0.4943
19,2069.0,26.312,0.491
20,2070.0,27.8864,0.422
