,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
42,2057.0,196.25,1.13,730.0,321.19000000000005,93.82,201.55,789.61,43.480000000000004,373.72,53.46,129.95000000000002,0.0
43,2058.0,197.19,1.13,746.0400000000001,318.61,93.82,228.65,821.14,48.53,386.47,55.04,129.95000000000002,2.842170943040401e-14
44,2059.0,201.07000000000002,1.16,780.6700000000001,319.21000000000004,93.82,234.51,854.08,48.53,399.24,56.63,130.71,0.0
45,2060.0,198.47000000000003,1.17,816.46,317.03000000000003,93.82,240.37,891.4100000000001,53.96000000000001,412.0,58.21,133.29,0.0
46,2061.0,197.17000000000002,1.16,847.12,316.53000000000003,93.82,246.23,919.6899999999999,59.44,431.11,58.21,132.84,0.0
47,2062.0,196.93,0.87,879.58,319.99,93.82,252.1,947.9599999999999,60.31,450.21,58.24,133.17000000000002,2.842170943040401e-14
48,2063.0,195.83,1.03,912.43,321.55000000000007,93.82,257.96,972.7099999999999,66.64,469.32,59.83,135.14000000000001,2.842170943040401e-14
49,2064.0,194.23000000000002,1.16,947.37,321.49,93.82,263.82,1003.96,70.45,489.05,61.41,134.51,0.0
50,2065.0,189.29000000000002,1.18,985.01,321.47,93.82,269.69,1034.18,75.73,512.73,62.99,133.08,0.0
51,2066.0,177.69,0.99,1032.5900000000001,326.74,93.82,275.55,1072.6,74.08,519.53,64.58,142.47,0.0
52,2067.0,190.93,0.77,1066.49,333.26,93.82,281.41,1093.03,75.89,524.9,66.16,148.61,0.0
53,2068.0,189.71,0.76,1080.03,340.9800000000001,93.82,287.27,1120.04,77.34,532.3199999999999,67.75,153.59,11.659999999999997
54,2069.0,176.83,0.75,1040.01,364.89,93.82,293.13,1151.39,79.8,537.04,67.75,147.82,45.32000000000002
55,2070.0,161.67000000000002,0.73,1049.3,371.35,93.82,299.0,1182.6200000000001,83.09,546.2,67.75,150.97,103.96000000000004
