,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Biomass,Geothermal
1,2016.0,0.0,2.262,0.0,1.565,0.012,0.0,0.238,0.0
2,2017.0,0.0,2.262,0.0,1.885,0.013,0.0,0.238,0.0
3,2018.0,0.0,2.262,0.0,1.885,0.013,0.0,0.238,0.0
4,2019.0,0.0,2.262,0.0,1.885,0.013,0.0,0.238,0.0
5,2020.0,0.0,2.262,0.0,1.885,0.013,0.0,0.238,0.0
6,2021.0,0.0,2.15,0.0,1.885,0.012,0.0,0.226,0.0
7,2022.0,0.0,2.036,0.0,1.885,0.012,0.0,0.214,0.0
8,2023.0,0.0,1.924,0.0,1.885,0.011,0.0,0.202,0.0
9,2024.0,0.0,1.811,0.0,2.245,0.011,0.0,0.19,0.0
10,2025.0,0.0,1.698,0.0,2.665,0.011,0.0,0.119,0.0
11,2026.0,0.0,1.58,0.0,2.665,0.01,0.0,0.107,0.0
12,2027.0,0.0,1.466,0.0,2.665,0.031,0.0,0.095,0.0
13,2028.0,0.0,1.354,0.0,2.977,0.262,0.0,0.083,0.0
14,2029.0,0.0,1.241,0.0,2.977,0.762,0.0,0.071,0.0
15,2030.0,0.0,1.128,0.0,3.83,0.762,0.0,0.06,0.0
16,2031.0,0.0,1.015,0.0,3.83,2.261,0.0,0.048,0.0
17,2032.0,0.0,0.902,0.0,3.83,3.761,0.0,0.036,0.04
18,2033.0,0.0,0.79,0.0,3.83,5.26,0.0,0.024,0.14
19,2034.0,0.0,0.677,0.0,3.83,6.76,0.275,0.012,0.24
20,2035.0,0.0,0.564,0.0,3.83,6.869,0.275,0.0,0.24
21,2036.0,0.0,0.451,0.0,3.83,8.121,0.486,0.0,0.34
22,2037.0,0.0,0.339,0.294,3.83,8.12,1.463,0.0,0.4
23,2038.0,0.0,0.225,0.522,4.142,8.774,1.831,0.0,0.4
24,2039.0,0.0,0.113,0.863,4.142,9.575,2.918,0.0,0.4
25,2040.0,0.0,0.0,1.055,4.142,11.075,4.175,0.0,0.4
26,2041.0,0.0,0.0,1.056,4.142,12.729,4.515,0.0,0.4
27,2042.0,0.0,0.0,1.056,4.116,14.744,4.784,0.0,0.4
28,2043.0,0.0,0.0,1.056,4.116,16.895,5.212,0.0,0.4
29,2044.0,0.0,0.0,1.056,4.106,19.191,5.518,0.0,0.4
30,2045.0,0.0,0.0,1.056,4.106,21.641,5.518,0.0,0.4
31,2046.0,0.088,0.0,1.056,3.836,24.019,5.518,0.0,0.4
32,2047.0,0.099,0.0,1.136,3.836,26.45,5.518,0.0,0.4
33,2048.0,0.492,0.0,1.365,3.836,29.407,5.518,0.0,0.4
34,2049.0,0.492,0.0,1.365,3.836,31.391,5.518,0.0,0.4
35,2050.0,0.492,0.0,1.365,3.836,34.75,5.518,0.0,0.4
36,2051.0,0.496,0.0,1.465,3.836,36.82,5.691,0.0,0.4
37,2052.0,0.496,0.0,1.6,3.836,38.953,5.691,0.0,0.4
38,2053.0,0.601,0.0,1.602,3.836,40.962,5.691,0.0,0.4
39,2054.0,0.805,0.0,1.605,3.836,42.734,5.691,0.0,0.4
40,2055.0,0.833,0.0,1.605,3.836,45.16,6.613,0.0,0.4
41,2056.0,1.041,0.0,1.605,3.836,46.184,7.467,0.0,0.4
42,2057.0,1.466,0.0,1.605,3.836,46.508,7.467,0.0,0.4
43,2058.0,1.788,0.0,1.605,3.836,47.854,7.467,0.0,0.4
44,2059.0,1.817,0.0,1.96,3.836,49.052,7.349,0.0,0.4
45,2060.0,1.919,0.0,2.132,3.836,50.94,7.585,0.0,0.4
46,2061.0,2.078,0.0,2.362,3.836,51.533,7.696,0.0,0.4
47,2062.0,2.28,0.0,2.362,3.836,53.018,7.991,0.0,0.4
48,2063.0,2.522,0.0,2.362,3.836,54.366,8.37,0.0,0.4
49,2064.0,2.806,0.0,2.362,3.836,55.57,8.839,0.0,0.4
50,2065.0,3.136,0.0,2.308,3.836,56.62,9.402,0.0,0.4
51,2066.0,3.429,0.0,2.307,3.836,57.742,9.959,0.0,0.4
52,2067.0,3.711,0.0,2.331,3.836,58.812,10.566,0.0,0.4
53,2068.0,4.209,0.0,2.18,3.836,59.355,11.434,0.0,0.4
54,2069.0,4.847,0.0,1.839,3.836,60.87,11.9,0.0,0.4
55,2070.0,5.68,0.0,1.702,3.836,61.011,13.003,0.0,0.4
