,y,Dagash,Dal,Jebel Aulia,Kajbar,Kashm El Girba ,Mograt,Merowe,Roseires,Sabaloka,Shereik,Sennar,Upper Atbara
1,2016.0,0.0,0.0,0.3955,0.0,0.2157,0.0,33.1627,4.0445,0.0,0.0,0.3895,0.0
2,2017.0,0.0,0.0,0.3955,0.0,0.2157,0.0,33.1627,4.0445,0.0,0.0,0.3895,2.6234
3,2018.0,0.0,0.0,0.3955,0.0,0.2157,0.0,33.1627,4.0445,0.0,0.0,0.3895,2.6234
4,2019.0,0.0,0.0,0.3955,0.0,0.2157,0.0,33.1627,4.0445,0.0,0.0,0.3895,2.6234
5,2020.0,0.0,0.0,0.3955,0.0,0.2157,0.0,33.1627,4.0445,0.0,0.0,0.3895,2.6234
6,2021.0,0.0,0.0,0.3955,0.0,0.2157,0.0,33.1627,4.0445,0.0,0.0,0.3895,2.6234
7,2022.0,0.0,0.0,0.3955,0.0,0.2157,0.0,33.1627,4.0445,0.0,0.0,0.3895,2.6234
8,2023.0,0.0,0.0,0.3955,0.0,0.2157,0.0,33.1627,4.0445,0.0,0.0,0.3895,2.6234
9,2024.0,0.0,0.0,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,0.0,0.0,0.3895,2.6234
10,2025.0,0.0,0.0,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,0.0,12.4193,0.3895,2.6234
11,2026.0,0.0,0.0,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,0.0,12.4193,0.3895,2.6234
12,2027.0,0.0,0.0,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,0.0,12.4193,0.3895,2.6234
13,2028.0,9.3473,0.0,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,0.0,12.4193,0.3895,2.6234
14,2029.0,9.3473,0.0,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,0.0,12.4193,0.3895,2.6234
15,2030.0,9.3473,19.4136,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
16,2031.0,9.3473,19.4136,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
17,2032.0,9.3473,19.4136,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
18,2033.0,9.3473,19.4136,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
19,2034.0,9.3473,19.4136,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
20,2035.0,9.3473,19.4136,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
21,2036.0,9.3473,19.4136,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
22,2037.0,9.3473,19.4136,0.3955,10.7853,0.2157,0.0,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
23,2038.0,9.3473,19.4136,0.3955,10.7853,0.2157,4.6592,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
24,2039.0,9.3473,19.4136,0.3955,10.7853,0.2157,4.6592,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
25,2040.0,9.3473,19.4136,0.3955,10.7853,0.2157,4.6592,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
26,2041.0,9.3473,19.4136,0.3955,10.7853,0.2157,4.6592,33.1627,4.0445,6.1416,12.4193,0.3895,2.6234
27,2042.0,9.3473,19.4136,0.3955,10.7853,0.2157,4.6592,33.1627,4.0445,6.1416,12.4193,0.0,2.6234
28,2043.0,9.3473,19.4136,0.3955,10.7853,0.2157,4.6592,33.1627,4.0445,6.1416,12.4193,0.0,2.6234
29,2044.0,9.3473,19.4136,0.3955,10.7853,0.0,4.6592,33.1627,4.0445,6.1416,12.4193,0.0,2.6234
30,2045.0,9.3473,19.4136,0.3955,10.7853,0.0,4.6592,33.1627,4.0445,6.1416,12.4193,0.0,2.6234
31,2046.0,9.3473,19.4136,0.3955,10.7853,0.0,4.6592,33.1627,0.0,6.1416,12.4193,0.0,2.6234
32,2047.0,8.3229,19.3445,0.3955,10.7853,0.0,4.6592,33.1627,0.0,6.1416,12.4193,0.0,2.6234
33,2048.0,8.3229,19.4059,0.3955,9.6034,0.0,4.6592,33.1627,0.0,6.1416,11.8727,0.0,2.6234
34,2049.0,8.3229,19.4136,0.3955,10.0066,0.0,4.2372,33.1627,0.0,6.1416,12.4193,0.0,2.6234
35,2050.0,8.3229,19.4136,0.3955,9.2011,0.0,3.8369,33.1627,0.0,5.4686,12.4193,0.0,2.6234
36,2051.0,7.4131,19.4136,0.3955,9.4121,0.0,4.6592,33.1627,0.0,6.1416,9.8724,0.0,2.6234
37,2052.0,7.4131,18.922,0.3955,8.8152,0.0,4.5041,33.1627,0.0,6.1416,9.8724,0.0,2.6234
38,2053.0,7.4131,18.1684,0.3955,8.5536,0.0,4.5041,33.1627,0.0,5.8671,9.8724,0.0,2.6234
39,2054.0,7.4131,17.916,0.3955,8.5536,0.0,4.5041,33.1627,0.0,5.8671,9.8724,0.0,2.6234
40,2055.0,7.4131,16.4699,0.3955,8.5536,0.0,3.8369,33.1627,0.0,5.8671,9.8724,0.0,2.6234
41,2056.0,7.4935,15.3965,0.3955,8.5536,0.0,3.8369,33.1627,0.0,4.8708,9.8724,0.0,2.6234
42,2057.0,7.4131,15.3965,0.3955,8.5536,0.0,4.278,33.1627,0.0,4.8708,9.8724,0.0,2.6234
43,2058.0,7.4131,15.3965,0.3955,8.5536,0.0,3.8369,33.1627,0.0,4.8708,9.8724,0.0,2.6234
44,2059.0,7.4131,15.3965,0.3955,8.5536,0.0,3.8369,33.1627,0.0,4.8708,9.8724,0.0,2.6234
45,2060.0,7.4131,15.3965,0.3955,8.5536,0.0,3.8369,33.1627,0.0,4.8708,9.8724,0.0,2.6234
46,2061.0,7.4131,15.3965,0.3955,8.5536,0.0,3.8369,33.1627,0.0,4.8708,9.8724,0.0,2.6234
47,2062.0,7.4131,15.3965,0.3955,8.5536,0.0,3.8369,33.1627,0.0,4.8708,9.8724,0.0,2.6234
48,2063.0,7.4131,15.3965,0.3955,8.5536,0.0,3.8369,33.1627,0.0,4.8708,9.8724,0.0,2.6234
49,2064.0,7.4131,15.3965,0.3955,8.5536,0.0,3.8369,33.1627,0.0,4.8708,9.8724,0.0,2.6234
50,2065.0,6.1646,13.4859,0.3955,6.7392,0.0,3.3402,33.1627,0.0,4.2664,8.634,0.0,2.6234
51,2066.0,5.7863,13.4859,0.3955,7.4922,0.0,3.6779,33.1627,0.0,4.2664,7.4222,0.0,2.6234
52,2067.0,5.7642,13.4859,0.3955,7.4922,0.0,3.3402,33.1627,0.0,4.2664,7.4693,0.0,2.6234
53,2068.0,4.0132,13.4704,0.3955,6.9853,0.0,2.891,33.1627,0.0,4.2664,7.4222,0.0,2.6234
54,2069.0,2.48,11.6885,0.3955,7.4922,0.0,2.9381,33.1627,0.0,2.6369,5.4024,0.0,2.6234
55,2070.0,2.48,7.0718,0.3955,4.6306,0.0,1.522,33.1627,0.0,3.2103,3.3385,0.0,2.6234
