,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2016.0,0.0,7.28,0.0,3587.89,0.0,0.0,0.0,1.08,0.0,10.35,0.0
1,2017.0,0.0,7.0,0.0,3834.24,0.0,0.0,0.0,0.12,12.49,9.98,0.0
2,2018.0,0.0,7.0,0.0,3834.24,0.0,0.0,0.0,0.93,24.32,9.79,0.0
3,2019.0,0.0,7.0,0.0,3834.24,0.0,0.0,0.0,1.08,19.96,9.52,0.0
4,2020.0,0.0,7.0,0.0,3834.24,0.0,0.0,0.0,1.08,0.0,9.26,0.0
5,2021.0,0.0,6.64,0.0,3834.24,0.0,0.0,0.0,1.03,0.0,9.55,0.0
6,2022.0,0.0,6.29,0.0,3834.24,0.0,0.0,0.0,0.97,0.0,9.84,0.0
7,2023.0,0.0,5.95,0.0,3834.24,0.0,0.0,0.0,0.92,0.0,10.15,0.0
8,2024.0,0.0,5.6,0.0,4847.03,0.0,0.0,0.0,0.86,0.0,10.47,0.0
9,2025.0,0.0,5.24,0.0,6013.26,0.0,0.0,0.0,0.54,0.0,10.81,0.43
10,2026.0,0.0,4.89,0.0,6013.26,0.0,0.0,0.0,0.49,0.0,11.14,0.43
11,2027.0,0.0,4.54,0.0,6013.26,0.0,0.0,0.0,0.43,0.0,11.5,0.43
12,2028.0,0.0,4.2,0.0,6891.01,0.01,0.0,0.0,0.38,0.0,11.87,0.43
13,2029.0,0.0,4.5,0.0,6891.01,0.03,0.0,0.0,0.32,0.0,12.25,0.0
14,2030.0,0.0,3.49,0.0,9290.76,0.03,0.0,0.0,0.27,0.0,12.04,0.0
15,2031.0,0.0,3.14,0.0,9290.76,0.09,0.0,0.0,0.22,0.0,1.07,0.0
16,2032.0,0.0,2.8,0.0,9290.76,0.14,0.0,0.01,0.16,0.0,0.72,0.0
17,2033.0,0.0,2.72,0.0,9290.76,0.2,0.0,0.04,0.11,0.0,0.36,0.0
18,2034.0,0.0,2.67,0.0,9290.76,0.26,0.0,0.08,0.05,0.0,0.0,0.0
19,2035.0,0.0,2.51,0.0,9290.76,0.26,0.0,0.08,0.0,0.0,0.0,0.0
20,2036.0,0.0,2.06,0.0,9290.76,0.31,0.0,0.11,0.0,0.0,0.0,0.0
21,2037.0,0.0,1.55,0.54,9290.76,0.31,0.0,0.13,0.0,0.0,0.0,0.0
22,2038.0,0.0,1.02,0.97,9728.28,0.33,0.0,0.13,0.0,0.0,0.0,0.0
23,2039.0,0.0,0.52,1.76,9728.28,0.36,0.01,0.13,0.0,0.0,0.0,0.0
24,2040.0,0.0,0.0,2.18,9728.28,0.39,0.01,0.13,0.0,0.0,0.0,0.0
25,2041.0,0.0,0.0,2.19,9728.28,0.46,0.01,0.13,0.0,0.0,0.0,0.0
26,2042.0,0.0,0.0,2.09,9691.71,0.52,0.01,0.13,0.0,0.0,0.0,0.0
27,2043.0,0.0,0.0,1.72,9691.71,0.61,0.01,0.13,0.0,0.0,0.0,0.0
28,2044.0,0.0,0.0,1.67,9671.46,0.68,0.01,0.13,0.0,0.0,0.0,0.0
29,2045.0,0.0,0.0,1.7,9671.46,0.78,0.01,0.13,0.0,0.0,0.0,0.0
30,2046.0,0.24,0.0,1.91,9291.66,0.87,0.01,0.13,0.0,0.0,0.0,0.0
31,2047.0,0.23,0.0,2.03,9188.98,0.97,0.01,0.13,0.0,0.0,0.0,0.0
32,2048.0,1.15,0.0,2.02,9032.43,1.09,0.01,0.13,0.0,0.0,0.0,0.0
33,2049.0,1.15,0.0,2.23,9082.72,1.18,0.01,0.13,0.0,0.0,0.0,0.0
34,2050.0,1.15,0.0,2.25,8906.28,1.32,0.01,0.13,0.0,0.0,0.0,0.0
35,2051.0,1.16,0.0,2.42,8741.91,1.41,0.01,0.13,0.0,0.0,0.0,0.0
36,2052.0,1.15,0.0,2.77,8625.14,1.49,0.01,0.13,0.0,0.0,0.0,0.0
37,2053.0,1.6,0.0,3.05,8504.02,1.57,0.01,0.13,0.0,0.0,0.0,0.0
38,2054.0,2.15,0.0,2.88,8480.32,1.64,0.01,0.13,0.0,0.0,0.0,0.0
39,2055.0,2.22,0.0,2.53,8281.87,1.74,0.01,0.13,0.0,0.0,0.0,0.0
40,2056.0,2.7,0.0,2.56,8095.06,1.79,0.01,0.13,0.0,0.0,0.0,0.0
41,2057.0,3.72,0.0,2.65,8128.93,1.84,0.01,0.13,0.0,0.0,0.0,0.0
42,2058.0,4.39,0.0,2.66,8087.51,1.92,0.01,0.13,0.0,0.0,0.0,0.0
43,2059.0,4.42,0.0,3.97,8087.51,2.01,0.01,0.13,0.0,0.0,0.0,0.0
44,2060.0,4.67,0.0,4.34,8087.51,2.09,0.01,0.13,0.0,0.0,0.0,0.0
45,2061.0,4.99,0.0,4.66,8087.51,2.15,0.01,0.13,0.0,0.0,0.0,0.0
46,2062.0,5.45,0.0,4.63,8087.51,2.21,0.01,0.13,0.0,0.0,0.0,0.0
47,2063.0,6.01,0.0,4.45,8087.51,2.26,0.02,0.13,0.0,0.0,0.0,0.0
48,2064.0,6.69,0.0,4.1,8087.51,2.31,0.02,0.13,0.0,0.0,0.0,0.0
49,2065.0,8.37,0.0,3.81,7400.8,2.34,0.02,0.13,0.0,0.0,0.0,0.0
50,2066.0,9.15,0.0,3.81,7353.89,2.39,0.02,0.13,0.0,0.0,0.0,0.0
51,2067.0,9.9,0.0,3.85,7324.53,2.43,0.02,0.13,0.0,0.0,0.0,0.0
52,2068.0,11.22,0.0,3.6,7064.44,2.45,0.02,0.13,0.0,0.0,0.0,0.0
53,2069.0,12.76,0.0,3.04,6462.49,2.51,0.02,0.13,0.0,0.0,0.0,0.0
54,2070.0,14.87,0.0,2.81,5487.3,2.51,0.03,0.13,0.0,0.0,0.0,0.0
