,y,Coal imports (inland transport-maritime freight)
0,2046.0,5.0522
1,2047.0,4.9834
2,2048.0,24.6848
3,2049.0,24.6848
4,2050.0,24.6848
5,2051.0,24.8576
6,2052.0,24.7463
7,2053.0,34.4193
8,2054.0,46.0847
9,2055.0,47.6817
10,2056.0,57.9975
11,2057.0,79.8859
12,2058.0,94.3216
13,2059.0,94.8142
14,2060.0,100.3178
15,2061.0,107.1084
16,2062.0,116.9521
17,2063.0,129.1071
18,2064.0,143.6899
19,2065.0,179.5807
20,2066.0,196.3707
21,2067.0,212.5295
22,2068.0,240.7507
23,2069.0,273.8254
24,2070.0,319.1362
