,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Geothermal
1,2016.0,0.0,0.006,0.0,0.0,0.001,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.32,0.001,0.0,0.0
3,2024.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0
4,2025.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0
5,2027.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0
6,2028.0,0.0,0.0,0.0,0.312,0.232,0.0,0.0
7,2029.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
8,2030.0,0.0,0.0,0.0,0.853,0.0,0.0,0.0
9,2031.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
10,2032.0,0.0,0.0,0.0,0.0,1.5,0.0,0.04
11,2033.0,0.0,0.0,0.0,0.0,1.5,0.0,0.1
12,2034.0,0.0,0.0,0.0,0.0,1.5,0.275,0.1
13,2035.0,0.0,0.0,0.0,0.0,0.112,0.0,0.0
14,2036.0,0.0,0.0,0.0,0.0,1.254,0.211,0.1
15,2037.0,0.0,0.0,0.294,0.0,0.0,0.976,0.06
16,2038.0,0.0,0.0,0.228,0.312,0.654,0.369,0.0
17,2039.0,0.0,0.0,0.341,0.0,0.802,1.086,0.0
18,2040.0,0.0,0.0,0.192,0.0,1.5,1.257,0.0
19,2041.0,0.0,0.0,0.001,0.0,1.654,0.34,0.0
20,2042.0,0.0,0.0,0.0,0.0,2.015,0.269,0.0
21,2043.0,0.0,0.0,0.0,0.0,2.151,0.427,0.0
22,2044.0,0.0,0.0,0.0,0.0,2.296,0.306,0.0
23,2045.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0
24,2046.0,0.088,0.0,0.0,0.0,2.378,0.0,0.0
25,2047.0,0.011,0.0,0.08,0.0,2.43,0.0,0.0
26,2048.0,0.393,0.0,0.23,0.0,2.957,0.0,0.0
27,2049.0,0.0,0.0,0.0,0.0,1.985,0.0,0.0
28,2050.0,0.0,0.0,0.0,0.0,3.359,0.0,0.0
29,2051.0,0.003,0.0,0.1,0.0,2.07,0.173,0.0
30,2052.0,0.0,0.0,0.135,0.0,2.154,0.0,0.0
31,2053.0,0.105,0.0,0.003,0.0,2.242,0.0,0.0
32,2054.0,0.204,0.0,0.003,0.0,2.272,0.0,0.0
33,2055.0,0.028,0.0,0.0,0.0,2.426,0.922,0.0
34,2056.0,0.208,0.0,0.0,0.0,2.523,0.854,0.0
35,2057.0,0.425,0.0,0.0,0.0,1.825,0.0,0.04
36,2058.0,0.322,0.0,0.0,0.0,3.5,0.0,0.1
37,2059.0,0.029,0.0,0.354,0.0,3.5,0.157,0.1
38,2060.0,0.102,0.0,0.172,0.0,3.5,0.236,0.0
39,2061.0,0.159,0.0,0.23,0.0,3.5,0.322,0.1
40,2062.0,0.201,0.0,0.0,0.0,3.5,1.271,0.06
41,2063.0,0.242,0.0,0.0,0.0,3.5,0.749,0.0
42,2064.0,0.285,0.0,0.0,0.0,3.5,1.555,0.0
43,2065.0,0.33,0.0,0.0,0.0,3.5,1.82,0.0
44,2066.0,0.293,0.0,0.0,0.0,3.5,0.897,0.0
45,2067.0,0.282,0.0,0.317,0.0,3.5,0.876,0.0
46,2068.0,0.498,0.0,0.078,0.0,3.5,1.296,0.0
47,2069.0,0.638,0.0,0.0,0.0,3.5,0.772,0.0
48,2070.0,0.832,0.0,0.0,0.0,3.5,1.103,0.0
