r,l,t,m,y,RateOfActivity
REGION,S1D1,EGBACKSTOP,1,2021, 1.1634181031568497e+02
REGION,S1D2,EGBACKSTOP,1,2021, 1.1634181031568497e+02
REGION,S2D1,EGBACKSTOP,1,2021, 1.1634181031568497e+02
REGION,S2D2,EGBACKSTOP,1,2021, 1.1634181031568497e+02
REGION,S3D1,EGBACKSTOP,1,2021, 1.1634181031568497e+02
REGION,S3D2,EGBACKSTOP,1,2021, 1.1634181031568497e+02
REGION,S4D1,EGBACKSTOP,1,2021, 1.1634181031568482e+02
REGION,S4D2,EGBACKSTOP,1,2021, 1.1634181031568497e+02
REGION,S1D1,EGBACKSTOP,1,2022, 5.2709621316570782e+01
REGION,S1D2,EGBACKSTOP,1,2022, 5.2709621316570782e+01
REGION,S2D1,EGBACKSTOP,1,2022, 5.2709621316570782e+01
REGION,S2D2,EGBACKSTOP,1,2022, 5.2709621316570782e+01
REGION,S3D1,EGBACKSTOP,1,2022, 5.2709621316570782e+01
REGION,S3D2,EGBACKSTOP,1,2022, 5.2709621316570782e+01
REGION,S4D1,EGBACKSTOP,1,2022, 5.2709621316570782e+01
REGION,S4D2,EGBACKSTOP,1,2022, 5.2709621316570519e+01
REGION,S1D1,EGWA00000X,1,2015, 1.7373389122382388e+04
REGION,S1D2,EGWA00000X,1,2015, 9.3753273759565673e+03
REGION,S2D1,EGWA00000X,1,2015, 1.9944432199418276e+04
REGION,S2D2,EGWA00000X,1,2015, 1.2111939328714598e+04
REGION,S3D1,EGWA00000X,1,2015, 1.9404058543145245e+04
REGION,S3D2,EGWA00000X,1,2015, 1.2083203954291861e+04
REGION,S4D1,EGWA00000X,1,2015, 1.7886699390719124e+04
REGION,S4D2,EGWA00000X,1,2015, 1.1711359081055451e+04
REGION,S1D1,EGWA00000X,1,2016, 1.7163142000445576e+04
REGION,S1D2,EGWA00000X,1,2016, 9517.03104585891
REGION,S2D1,EGWA00000X,1,2016, 2.0468929360015016e+04
REGION,S2D2,EGWA00000X,1,2016, 1.2661757342376904e+04
