tech_code,tech_name,colour
NGCCP03O,Natural gas power plant (combined cycle) - NDT cooling (old),powderblue
NGCCP04N,Natural gas power plant (combined cycle) - OTF/OTS cooling (new),seagreen
NGCCP04O,Natural gas power plant (combined cycle) - OTF/OTS cooling (old),red
NGGCP01N,Natural gas power plant (single cycle) - Air cooling (new),springgreen
NGGCP01O,Natural gas power plant (single cycle) - Air cooling (old),sienna
NGGCP02N,Natural gas power plant (single cycle) - MDT cooling (new),tan
NGGCP02O,Natural gas power plant (single cycle) - MDT cooling (old),skyblue
NGGCP03N,Natural gas power plant (single cycle) - NDT cooling (new),thistle
NGGCP03O,Natural gas power plant (single cycle) - NDT cooling (old),slategray
NGGCP04N,Natural gas power plant (single cycle) - OTF/OTS cooling (new),turquoise
NGGCP04O,Natural gas power plant (single cycle) - OTF/OTS cooling (old),smurf
NG00P00X,Natural gas process (non-power sector),peru
NUCAGG,Nuclear,polarbluelight
NULWP04N,Nuclear power plant - OTS/OTF cooling (new),yellowgreen
NULWP04O,Nuclear power plant - OTS/OTF cooling (old),whitesmoke
OILAGG,Oil,gray
HFGCP01N,Oil fired gas turbine (SCGT) - Air cooling (new),limegreen
HFGCP01O,Oil fired gas turbine (SCGT) - Air cooling (old),lightslategrey
HFGCP02N,Oil fired gas turbine (SCGT) - MDT cooling (new),magenta
HFGCP02O,Oil fired gas turbine (SCGT) - MDT cooling (old),lightteal
HFGCP03N,Oil fired gas turbine (SCGT) - NDT cooling (new),mediumaquamarine
HFGCP03O,Oil fired gas turbine (SCGT) - NDT cooling (old),lightblue2
HFGCP04N,Oil fired gas turbine (SCGT) - OTF/OTS cooling (new),mediumgray
HFGCP04O,Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),lime
OREAGG,Other renewables,lightgreen
power_trade,power_trade,deeppink
HYDMS01X,Small hydropower plant,mediumturquoise
SOLCSP,Solar CSP,lightgoldenrodyellow
SOLAR00X,Solar potential,lightgrey
SOLPV,Solar PV,yellow
SOLFPV,Solar FPV,darkgreen
SOV1F01X,Solar PV (roof top),navajowhite
SOU1P03X,Solar PV (utility),mediumorchid
SOV2F01X,Solar PV with storage,pearl04
Transmission & Distribution,Transmission & Distribution,magenta
EL00T00X,Transmission technology (Secondary to Tertiary),grey11
UR00X00X,Uranium extraction,silver
UR00I00X,Uranium imports,polarorange
WA00000X,Water production technology,tomato
WIND,Wind,navy
WINDP01X,Wind (offshore),burlywood
WINDP00X,Wind (onshore),beige
WIND000X,Wind potential,yellow
BM00E00X,Biomass exports (outside Africa),lightsalmon
CO00E00X,Coal exports (outside Africa),black
CR00E00X,Crude oil exports (outside Africa),sienna
HF00E00X,HFO exports (outside Africa),lightteal
LF00E00X,LFO exports (outside Africa),polarbluelight
HYDA1S03,Aswan 1,aquamarine
HYDA2S03,Aswan 2,aquamarine
HYDHAS03,High Aswan Dam,aquamarine
HYDAES03,Aleltu East,aquamarine
HYDAWS03,Aleltu West,aquamarine
HYDANS02,Amarti-Neshe,aquamarine
HYDBRS03,Baro,aquamarine
HYDBAS03,Beko Abo,aquamarine
HYDBBS03,Birbir,aquamarine
HYDCYS03,Chemoga Yeda,aquamarine
HYDFCS03,Finchaa,aquamarine
HYDGBS03,Geba,aquamarine
HYDGJS03,Genji,aquamarine
HYDKRS03,Karadobi,aquamarine
HYDLTS03,Lake Tana - Beles,aquamarine
HYDLDS03,Lower Dabus,aquamarine
HYDLSS03,Lower Dedessa,aquamarine
HYDRNS03,Renaissance,aquamarine
HYDS2S02,Sor 2,aquamarine
HYDTMS03,Tams,aquamarine
HYDT1S03,Tekeze 1,aquamarine
HYDT2S03,Tekeze 2,aquamarine
HYDUDS03,Upper Dabus,aquamarine
HYDUMS03,Upper Mandaya,aquamarine
HYDJBS03,Juba Barrage,aquamarine
HYDWAS02,Wau,aquamarine
HYDDGS03,Dagash,aquamarine
HYDDLS03,Dal,aquamarine
HYDJAS02,Jebel Aulia,aquamarine
HYDKBS03,Kajbar,aquamarine
HYDKSS02,Kashm El Girba ,aquamarine
HYDMRS03,Merowe,aquamarine
HYDMGS03,Mograt,aquamarine
HYDRSS03,Roseires,aquamarine
HYDSBS03,Sabaloka,aquamarine
HYDSNS02,Sennar,aquamarine
HYDSHS03,Shereik,aquamarine
HYDUAS03,Upper Atbara,aquamarine
HYDESS02,Esna,aquamarine
HYDNHS02,Naga Hamadi,aquamarine
HYDNBS02,New Assiut Barrage,aquamarine
HYDSRS02,Sor,aquamarine
HYDT1S02,Tis Abay 1,aquamarine
HYDT2S02,Tis Abay 2,aquamarine
HYDBDS03,Bedden,aquamarine
HYDFLS03,Fula,aquamarine
HYDFSS02,Fula Small,aquamarine
HYDLKS03,Lakki,aquamarine
HYDSLS03,Shukoli,aquamarine
SOFPVA13,Aswan 1 FPV,palegoldenrod
SOFPVA23,Aswan 2 FPV,palegoldenrod
SOFPVHA3,High Aswan Dam FPV,palegoldenrod
SOFPVAE3,Aleltu East FPV,palegoldenrod
SOFPVAW3,Aleltu West FPV,palegoldenrod
SOFPVAN3,Amarti-Neshe FPV,palegoldenrod
SOFPVBR3,Baro FPV,palegoldenrod
SOFPVBA3,Beko Abo FPV,palegoldenrod
SOFPVBB3,Birbir FPV,palegoldenrod
SOFPVCY3,Chemoga Yeda FPV,palegoldenrod
