,y,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (roof top),Solar PV with storage
20,2035.0,0.39999999999999997,0.003,0.0,0.0049725,0.3765539722470711,0.0,0.0,0.0
21,2036.0,0.39999999999999997,0.0024,0.0,0.003978,0.4308096736712619,0.0,0.0,0.0
22,2037.0,0.39999999999999997,0.0018,0.0,0.0029835,0.48889043563496853,0.0,0.0,0.0
23,2038.0,0.39999999999999997,0.0012,0.0,0.001989,0.5401056322881339,0.010617620266531158,0.0,0.0
24,2039.0,0.39999999999999997,0.000600000000000001,0.0,0.000994500000000002,0.6073650359091736,0.011079432016294775,0.0,0.0
25,2040.0,0.39999999999999997,0.0,0.0,0.0,0.6799327213305326,0.011079432016294775,0.0,0.0
26,2041.0,0.39999999999999997,0.0,0.0,0.0,0.74165294080715,0.011079432016294775,0.0,0.0
27,2042.0,0.39999999999999997,0.0,0.0,0.0,0.74165294080715,0.011079432016294775,0.0,0.16970287113236904
28,2043.0,0.39999999999999997,0.0,0.0,0.0,0.74165294080715,0.011079432016294775,0.0,0.3583172813037405
29,2044.0,0.39999999999999997,0.0,0.0,0.0,0.74165294080715,0.011079432016294775,0.0,0.5579996638471062
30,2045.0,0.39999999999999997,0.0,0.0,0.0,0.74165294080715,0.011079432016294775,0.0,0.7694147149250778
31,2046.0,0.39999999999999997,0.0,0.0,0.0,0.74165294080715,0.011079432016294775,0.0,0.9949598229459243
32,2047.0,0.39999999999999997,0.0,0.0,0.0,0.74165294080715,0.011079432016294775,0.0,1.2414940251681825
33,2048.0,0.39999999999999997,0.0,0.0,0.0,0.74165294080715,0.011079432016294775,0.0,1.5024857739232886
34,2049.0,0.4,0.0,0.0,0.0,0.74165294080715,0.011079432016294775,0.0,1.7787620449846782
35,2050.0,0.4,0.0,0.0,0.0,0.6579135716697949,0.09481880115364934,0.0,2.0711882666232833
36,2051.0,0.4,0.0,0.0,0.0,0.6481413508746722,0.10459102194877207,0.0,2.2528115516329743
37,2052.0,0.4,0.0,0.0,0.0,0.6279633111628831,0.12476906166056126,0.0,2.4406060314771065
38,2053.0,0.4,0.0,0.0,0.0,0.6277077345746369,0.1250246382488075,0.0,2.6347452190894045
39,2054.0,0.4,0.0,0.0,0.0,0.6277077345746369,0.1250246382488075,0.0,2.835398734972016
40,2055.0,0.4,0.0,0.0,0.0,0.6277077345746369,0.1250246382488075,0.0,3.0427516074439485
41,2056.0,0.4,0.0,0.0,0.0,0.6277077345746369,0.1250246382488075,0.0,3.2570092769129433
42,2057.0,0.4,0.0,0.0,0.0,0.6277077345746369,0.1250246382488075,0.0,3.4783894990981192
43,2058.0,0.4,0.0,0.0,0.0,0.6277077345746369,0.1250246382488075,0.0,3.7071138224822326
44,2059.0,0.4,0.0,0.0,0.0,0.6277077345746369,0.1250246382488075,0.0,3.9434077591208396
45,2060.0,0.4,0.0,0.0,0.0,0.6277077345746369,0.1250246382488075,0.0,4.187515918434987
46,2061.0,0.4,0.0,0.0,0.0,0.6277077345746369,0.1250246382488075,0.0,4.361486117032864
47,2062.0,0.4,0.0,0.0,0.0,0.6277077345746369,0.1250246382488075,0.0,4.539275990969525
48,2063.0,0.4,0.0,0.0,0.0,0.638325354841168,0.11440701798227633,0.0,4.7209807805407795
49,2064.0,0.4,0.0,0.0,0.0,0.6387871665909317,0.11394520623251271,0.5773082326487821,4.521298397997415
50,2065.0,0.4,0.0,0.0,0.0,0.6387871665909317,0.11394520623251271,1.178356309788324,4.3098833469194435
51,2066.0,0.4,0.0,0.0,0.0,0.6387871665909318,0.11394520623251271,1.8068727511851232,4.084338238898597
52,2067.0,0.4,0.0,0.0,0.0,0.6387871665909318,0.11394520623251271,2.473272979629381,3.8378040366763386
53,2068.0,0.4,0.0,0.0,0.0,0.6387871665909317,0.11394520623251271,3.1679399179854113,3.576812287921233
54,2069.0,0.4,0.0,0.0,0.0,0.6387871665909318,0.11394520623251271,3.892291045473379,3.3005360168598434
55,2070.0,0.4,0.0,0.0,0.0,0.6387871665909342,0.11394520623251271,4.634911238456812,3.0167097054983287
