,y,Solar PV (roof top),Solar PV (utility),Solar PV with storage
0,2015.0,0.0,0.0,0.0
1,2016.0,0.015099999999999999,0.049335000000000004,0.0
2,2017.0,0.0171,0.049335000000000004,0.0
3,2018.0,0.0171,0.099335,0.0
4,2019.0,0.0171,0.099335,0.0
5,2020.0,0.016695,0.09886825,0.0
6,2021.0,0.016290000000000002,0.0984015,0.0
7,2022.0,0.015885,0.09793475,0.0
8,2023.0,0.01548,0.097468,0.0
9,2024.0,0.015075000000000002,0.34700125,0.0
10,2025.0,0.014670000000000002,0.5965345,0.0
11,2026.0,0.014265,0.84606775,0.0
12,2027.0,0.01386,1.1161077384784501,0.0
13,2028.0,0.013455000000000002,1.5978334464216453,0.0
14,2029.0,0.013049999999999999,2.8473666964216457,0.0
15,2030.0,0.262645,3.5968999464216456,0.030691946999298843
16,2031.0,0.6122400000000022,7.096433196421645,0.5306919469992989
17,2032.0,0.6618350000000035,10.493736224859216,0.650000000000004
18,2033.0,0.7114300000000044,12.493269474859217,0.7000000000000053
19,2034.0,0.7610250000000051,14.492802724859216,0.7500000000000064
20,2035.0,0.8066200000000054,15.104695119383774,0.8000000000000065
21,2036.0,0.8532150000000065,16.857934378235036,0.8500000000000072
22,2037.0,0.9008100000000085,17.357467628235035,0.9000000000000096
23,2038.0,1.604751143190247,17.951498368982453,0.9500000000000106
24,2039.0,2.4559547843028144,19.95103161898245,1.0000000000000118
25,2040.0,4.005954784302803,21.94103161898245,1.0500000000000111
26,2041.0,5.2095115226557365,24.687617430485947,1.6000000000000154
27,2042.0,6.774569498560023,25.58838455220674,2.1500000000000155
28,2043.0,9.0492533080913,26.60731245045884,2.7000000000000175
29,2044.0,11.395046683324697,27.597078927790413,3.250000000000017
30,2045.0,13.819216837210853,28.632635794256593,3.8000000000000167
31,2046.0,18.001634924737473,28.99572797602379,4.350000000000019
32,2047.0,22.704013409083828,29.473322235902984,4.900000000000018
33,2048.0,27.25046323089118,29.944433418210334,5.4500000000000215
34,2049.0,31.234167586078485,30.036262738551457,6.000000000000024
35,2050.0,37.14277685046019,30.208824717511877,6.550000000000027
36,2051.0,41.27650155879113,30.22127414598288,7.100000000000026
37,2052.0,45.848363474056086,30.222134341003486,7.650000000000027
38,2053.0,50.63991580254603,30.020477051389364,8.200000000000026
39,2054.0,55.46194209335282,29.0966108203364,8.750000000000028
40,2055.0,60.43809559270096,28.683633441165174,9.631680567976801
41,2056.0,65.5115879920264,25.531878828056936,10.643318714453244
42,2057.0,69.8860888119599,22.469815856216762,11.693318714453246
43,2058.0,75.28174266876964,20.960266857418425,12.743318714453245
44,2059.0,80.53013402765711,19.47187547148652,13.793318714453246
45,2060.0,85.08013402765712,19.37768020848021,14.843318714453247
46,2061.0,89.97657728930419,17.889143551906606,14.92256421291388
47,2062.0,94.5115193133999,17.800627478705675,15.04825571181347
48,2063.0,98.3368355038686,17.646684045705612,15.598255711813469
49,2064.0,102.0910421286352,16.096977295012035,16.14825571181347
50,2065.0,105.76687197474904,14.549464056715996,16.698255711813466
51,2066.0,107.6844538872224,12.243351736557411,17.248255711813464
52,2067.0,109.08207540287611,13.219843201842298,17.798255711813464
53,2068.0,110.63562558106874,14.162136040710415,18.348255711813465
54,2069.0,112.75192122588143,14.582644002227394,18.898255711813466
55,2070.0,112.94331196149975,16.376868682924606,19.44825571181347
