,y,Biomass extraction/production/refining
1,2016,2052.1437
2,2017,2083.7308
3,2018,2131.0532000000003
4,2019,2177.2097
5,2020,2221.2287
6,2021,2244.5693
7,2022,2268.0181
8,2023,2291.5408
9,2024,2315.1119
10,2025,2336.3081
11,2026,2357.4338000000002
12,2027,2380.9018
13,2028,2403.175
14,2029,2425.3732
15,2030,2447.466
16,2031,2447.4563
17,2032,2446.9458000000004
18,2033,2445.9813999999997
19,2034,2444.6107
20,2035,2461.3943
21,2036,2457.8048000000003
22,2037,2454.0778999999998
23,2038,2450.2453
24,2039,2446.3448
25,2040,2442.4051
26,2041,2424.6211000000003
27,2042,2406.889
28,2043,2389.2316
29,2044,2371.6707
30,2045,2354.2205000000004
31,2046,2336.7837000000004
32,2047,2319.4683000000005
33,2048,2302.2732000000005
34,2049,2285.1951000000004
35,2050,2268.2294000000006
36,2051,2253.3246000000004
37,2052,2238.6106
38,2053,2224.0786
39,2054,2209.7180999999996
40,2055,2195.5216
41,2056,2181.4885999999997
42,2057,2167.6187000000004
43,2058,2153.9074
44,2059,2140.3497999999995
45,2060,2126.9447999999998
46,2061,2112.9815999999996
47,2062,2099.1926000000003
48,2063,2085.5821
49,2064,2072.1558999999997
50,2065,2058.9213999999997
51,2066,2045.8849
52,2067,2033.0554
53,2068,2020.4436
54,2069,2008.0612999999998
55,2070,1995.9192
