,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2015.0,0.0,273.78,4934.32,8269.24,0.0,0.0,0.0,0.01,440.32,0.16,105.08,64.32,1.39
1,2016.0,0.0,242.21,5060.65,8269.24,0.0,0.0,0.0,0.01,586.13,0.15,99.65,61.8,1.4
2,2017.0,0.0,240.14,5250.13,8269.24,0.0,0.0,0.0,0.01,586.13,0.2,94.15,60.7,1.42
3,2018.0,0.0,240.03,4883.58,8388.14,0.0,0.0,0.0,0.02,586.13,0.2,97.64,61.3,1.44
4,2019.0,0.0,240.03,4888.33,8388.14,0.0,0.0,0.0,0.02,586.13,0.22,96.59,60.42,1.67
5,2020.0,0.0,240.03,5513.75,8388.14,0.0,0.0,0.01,0.02,586.13,0.23,95.54,59.54,1.36
6,2021.0,0.0,228.03,5288.92,8388.14,0.0,0.32,0.03,0.02,730.45,0.23,95.77,59.96,1.38
7,2022.0,0.0,216.02,5473.86,8388.14,0.0,0.32,0.05,0.02,873.49,0.23,95.96,60.39,1.39
8,2023.0,0.0,204.03,5538.92,8388.14,0.0,0.32,0.05,0.03,959.48,0.23,96.21,60.82,1.41
9,2024.0,0.0,192.03,5534.63,8388.14,0.0,0.32,0.05,0.03,1045.48,0.23,96.47,61.24,1.42
10,2025.0,2279.76,180.02,4794.22,8388.14,0.0,0.32,0.05,0.03,1021.39,3.24,96.74,61.67,1.24
11,2026.0,881.37,168.02,5252.31,8388.14,0.0,0.32,0.05,0.04,1107.38,1.39,97.03,62.09,1.37
12,2027.0,0.0,156.01,5221.34,8388.14,0.0,0.32,0.05,0.04,1193.37,0.0,92.25,58.21,1.46
13,2028.0,0.0,144.0,5145.93,8388.14,0.0,0.32,0.06,0.04,1279.36,0.0,83.07,50.58,1.48
14,2029.0,0.0,132.01,5115.81,8388.14,0.0,0.32,0.07,0.05,1365.35,0.0,73.9,42.94,1.5
15,2030.0,0.0,120.0,4841.93,8388.14,0.0,0.32,0.11,0.05,1451.34,0.0,64.74,35.31,1.51
16,2031.0,0.0,108.0,5027.88,8388.14,0.0,0.32,0.15,0.06,1429.32,0.0,23.18,0.61,1.5
17,2032.0,0.0,96.0,5182.43,8388.14,0.0,0.32,0.17,0.06,1407.31,0.0,0.0,0.0,1.48
18,2033.0,524.45,84.0,4967.71,8388.14,0.0,0.32,0.2,0.07,1385.29,0.0,0.0,0.0,1.42
19,2034.0,1839.52,72.0,4724.15,8388.14,0.0,0.32,0.23,0.08,1363.28,0.0,0.0,0.0,1.29
20,2035.0,1834.87,60.0,4768.35,8388.14,0.0,0.32,0.25,0.08,1341.26,0.0,0.0,0.0,1.27
21,2036.0,1219.13,48.0,5006.21,8388.14,0.0,0.32,0.28,0.09,1341.26,0.0,0.0,0.0,1.31
22,2037.0,988.75,36.0,4969.74,8388.14,0.0,0.32,0.31,0.1,1341.26,0.0,0.0,0.0,1.31
23,2038.0,1047.99,24.0,4726.18,8388.14,0.0,0.32,0.33,0.1,1341.26,0.0,0.0,0.0,1.29
24,2039.0,1100.51,12.0,4503.44,8388.14,0.0,0.32,0.35,0.11,1341.26,0.0,0.0,0.0,1.27
25,2040.0,1159.41,0.0,4315.95,8388.14,0.0,0.32,0.38,0.11,1341.26,0.0,0.0,0.0,1.25
