,y,CO2
0,2015,208.8454
1,2016,206.8973
2,2017,203.8231
3,2018,203.7493
4,2019,204.8435
5,2020,174.2302
6,2021,175.34
7,2022,176.4498
8,2023,177.5597
9,2024,178.6695
10,2025,179.7793
11,2026,180.8891
12,2027,181.9989
13,2028,183.1088
14,2029,184.2186
15,2030,185.3284
16,2031,181.7352
17,2032,178.142
18,2033,174.5489
19,2034,170.9557
20,2035,167.3625
21,2036,163.7693
22,2037,160.1761
23,2038,156.583
24,2039,152.9898
25,2040,149.3966
26,2041,143.2442
27,2042,137.0918
28,2043,130.9393
29,2044,124.7869
30,2045,118.6345
31,2046,112.482
32,2047,106.3296
33,2048,100.1772
34,2049,94.0247
35,2050,87.8723
36,2051,82.1225
37,2052,76.7488
38,2053,71.7269
39,2054,67.0335
40,2055,62.6472
41,2056,58.5479
42,2057,54.7169
43,2058,51.1365
44,2059,47.7905
45,2060,44.6633
46,2061,41.7408
47,2062,39.0095
48,2063,36.457
49,2064,34.0715
50,2065,31.842
51,2066,29.7585
52,2067,27.8112
53,2068,25.9914
54,2069,24.2907
55,2070,22.7013
