,y,Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Libya - Egypt Historic EL trade link
0,2015.0,0.0,0.0,3.1846,0.0
1,2016.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,9.2265,0.0
3,2018.0,0.0,0.0,6.6081,0.0
4,2019.0,0.0,0.0,-2.3356,0.0
5,2020.0,0.0,0.0,0.4163,0.0
6,2021.0,0.0,0.0,59.9081,0.0
7,2022.0,0.0,0.0,58.0318,0.0
8,2023.0,0.0,0.0,38.5495,0.0
9,2024.0,0.0,0.0,28.4114,0.0
10,2025.0,0.0,0.0,40.5259,0.0
11,2026.0,0.0,0.0,6.4934,0.0
12,2027.0,0.0,0.0,6.0267,0.0
13,2028.0,0.0,0.0,8.6893,0.0
14,2029.0,0.0,0.0,5.4297,0.0
15,2030.0,0.0,0.0,24.3884,0.0
16,2031.0,0.0,0.0,23.6608,0.0
17,2032.0,0.0,0.0,27.8336,0.0
18,2033.0,0.0,0.0,52.5109,0.0
19,2034.0,0.0,0.0,52.4005,0.0
20,2035.0,0.0,0.0,57.6259,0.0
21,2036.0,0.0,0.0,57.5032,0.0
22,2037.0,0.0,0.0,76.9308,0.0
23,2038.0,0.0,0.0,117.9135,0.0
24,2039.0,0.0,0.0,145.3869,0.0
25,2040.0,0.0,0.0,177.1369,0.0
26,2041.0,0.0,0.0,179.7552,0.0
27,2042.0,0.0,0.0,179.7552,0.0
28,2043.0,0.0,0.0,179.7552,0.0
29,2044.0,0.0,0.0,179.7552,0.0
30,2045.0,0.0,0.0,179.7552,0.0
31,2046.0,0.0,0.0,179.7552,0.0
32,2047.0,0.0,0.0,179.7552,0.0
33,2048.0,0.0,0.0,179.7552,0.0
34,2049.0,0.0,0.0,179.513,0.0
35,2050.0,0.0,0.0,179.7552,0.0
36,2051.0,0.0,0.0,178.2982,0.0
37,2052.0,0.0,0.0,177.7706,0.0
38,2053.0,0.0,0.0,177.7585,0.0
39,2054.0,0.0,0.0,177.6515,0.0
40,2055.0,0.0,0.0,176.7041,0.0
41,2056.0,0.0,0.0,176.1095,0.0
42,2057.0,0.0,0.0,175.0877,0.0
43,2058.0,0.0,0.0,174.8266,0.0
44,2059.0,0.0,0.0,174.4828,0.0
45,2060.0,0.0,0.0,173.003,0.0
46,2061.0,0.0,0.0,171.9165,0.0
47,2062.0,0.0,0.0,170.8015,0.0
48,2063.0,0.0,0.0,169.6539,0.0
49,2064.0,0.0,0.0,168.4799,0.0
50,2065.0,0.0,0.0,166.762,0.0
51,2066.0,0.0,0.0,168.0427,0.0
52,2067.0,0.0,0.0,173.2543,0.0
53,2068.0,1.6898,9.0118,179.7552,0.9576
54,2069.0,4.7709,35.464,179.7552,5.0931
55,2070.0,8.9878,89.8776,179.7552,5.0931
