,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass
0,2015.0,0.0,2.92,30.798,2.8,0.0,0.0,0.01,0.0,0.791,0.832
1,2016.0,0.0,4.442,31.948,2.8,0.0,0.0,0.04,0.0,0.991,1.082
2,2017.0,0.0,4.442,33.028,2.8,0.0,0.0,0.04,0.0,0.991,1.082
3,2018.0,0.0,4.442,49.378,2.832,0.0,0.0,0.09,0.0,1.331,1.082
4,2019.0,0.0,4.442,49.378,2.832,0.0,0.0,0.09,0.0,1.331,1.082
5,2020.0,0.0,4.442,49.378,2.832,0.0,0.0,0.19,0.0,1.331,1.082
6,2021.0,0.0,4.364,47.979,2.832,0.0,0.8,0.64,0.0,1.553,1.24
7,2022.0,0.0,4.285,46.578,2.832,0.0,0.8,0.99,0.0,1.776,1.397
8,2023.0,0.0,4.206,45.179,2.832,0.0,0.8,0.99,0.0,1.998,1.455
9,2024.0,0.0,4.128,43.778,2.832,0.0,0.8,0.99,0.0,2.221,1.514
10,2025.0,3.0,4.049,42.379,2.832,0.0,0.8,0.99,0.0,2.443,1.364
11,2026.0,6.0,3.972,40.98,2.832,0.0,0.8,0.99,0.0,2.666,1.422
12,2027.0,6.0,3.893,39.578,2.832,0.0,0.8,0.99,0.0,2.888,1.481
13,2028.0,6.0,3.814,38.178,2.832,0.0,0.8,1.24,0.0,3.111,1.539
14,2029.0,6.0,3.736,36.778,2.832,0.0,0.8,1.64,0.0,3.333,1.598
15,2030.0,6.0,3.656,35.378,2.832,0.0,0.8,2.39,0.0,3.556,1.656
16,2031.0,6.0,3.578,33.978,2.832,0.0,0.8,3.14,0.0,4.028,1.614
17,2032.0,6.0,3.5,32.578,2.832,0.0,0.8,3.74,0.0,4.5,1.573
18,2033.0,6.0,3.421,31.179,2.832,0.0,0.8,4.34,0.0,4.973,1.531
19,2034.0,6.0,3.343,29.779,2.832,0.0,0.8,4.94,0.0,5.445,1.49
20,2035.0,6.0,3.264,29.834,2.832,0.0,0.8,5.54,0.3,5.918,1.448
21,2036.0,6.0,3.185,30.87,2.832,0.0,0.8,6.14,0.6,6.39,1.448
22,2037.0,6.0,3.107,30.517,2.832,0.0,0.8,6.74,1.45,6.863,1.448
23,2038.0,6.0,3.029,29.117,2.832,0.0,0.8,7.34,1.75,7.335,1.448
24,2039.0,6.0,2.951,27.717,2.832,0.5,0.8,7.94,2.05,7.808,1.448
25,2040.0,6.0,1.522,24.368,2.832,1.0,0.8,8.53,2.35,8.04,1.448
26,2041.0,6.0,0.0,24.423,2.832,1.5,0.8,9.35,2.65,9.34,1.548
27,2042.0,6.0,0.0,24.162,2.832,2.0,0.8,10.2,2.65,10.84,1.648
28,2043.0,6.0,0.0,23.624,2.832,2.5,0.8,11.0,2.65,12.0,1.698
29,2044.0,6.0,0.0,25.058,2.832,2.5,0.8,11.85,2.65,13.5,1.698
30,2045.0,6.0,0.0,26.035,2.832,2.5,0.8,12.6,2.65,15.0,1.698
31,2046.0,6.0,0.0,27.934,2.832,2.5,0.0,13.2,2.65,16.25,1.698
32,2047.0,6.0,0.0,31.86,2.832,2.5,0.0,13.8,2.65,17.5,1.698
33,2048.0,6.0,0.0,26.795,2.832,2.5,0.062,14.65,2.65,18.75,1.698
34,2049.0,6.0,0.0,29.205,2.832,2.5,0.062,15.5,2.65,20.0,1.698
35,2050.0,6.0,0.0,30.333,2.832,2.5,1.04,16.35,2.65,21.25,1.698
36,2051.0,6.0,0.0,30.407,2.832,3.0,2.54,17.2,2.65,22.5,1.798
37,2052.0,6.0,0.0,30.416,2.832,3.5,4.04,18.05,2.65,23.75,1.898
38,2053.0,6.0,0.0,31.066,2.832,3.5,5.84,18.65,2.65,25.0,1.948
39,2054.0,6.0,0.0,31.066,2.832,3.5,8.8,19.25,2.65,26.25,2.048
40,2055.0,3.0,0.0,31.807,2.832,3.5,10.5,19.85,2.65,27.5,2.148
41,2056.0,0.0,0.0,33.034,2.832,3.5,12.2,20.2,2.65,28.5,1.998
42,2057.0,0.0,0.0,34.319,2.832,3.5,13.9,20.55,2.65,29.5,2.098
43,2058.0,0.0,0.0,35.602,2.832,3.5,15.6,20.9,2.65,30.5,2.198
44,2059.0,0.0,0.0,37.681,2.832,3.5,16.0,21.25,2.65,31.5,2.298
45,2060.0,0.0,0.0,39.821,2.832,3.5,16.4,21.6,2.65,32.5,2.398
46,2061.0,0.0,0.0,41.71,2.832,3.5,16.8,22.2,2.65,34.0,2.398
47,2062.0,0.0,0.0,43.624,2.832,3.5,17.2,22.8,2.65,35.5,2.4
48,2063.0,0.0,0.0,46.074,2.832,3.5,17.6,23.4,2.65,37.0,2.5
49,2064.0,0.0,0.0,49.562,2.832,3.5,18.0,24.0,2.65,38.5,2.6
50,2065.0,0.0,0.0,51.745,2.832,3.5,18.4,24.6,2.65,40.0,2.7
51,2066.0,0.0,0.0,54.563,2.832,3.5,18.8,24.95,2.65,40.5,2.8
52,2067.0,0.0,0.0,56.564,2.832,3.5,19.2,25.3,2.65,41.0,2.9
53,2068.0,0.0,0.0,56.564,2.832,3.5,19.6,25.65,2.65,41.5,3.0
54,2069.0,0.0,0.0,59.203,2.832,3.5,20.0,26.0,2.65,42.0,3.0
55,2070.0,0.0,0.0,61.943,2.832,3.5,20.4,26.35,2.65,42.5,3.0
