,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,power_trade
0,2015.0,0.0,36.79,437.88,66.14,0.0,0.0,0.07,0.0,9.92,11.96,3.18
1,2016.0,0.0,28.95,451.22,66.14,0.0,0.0,0.27,0.0,12.43,15.92,0.0
2,2017.0,0.0,8.7,471.23,66.14,0.0,0.0,0.27,0.0,12.43,15.92,9.23
3,2018.0,0.0,7.57,478.42,67.09,0.0,0.0,0.6,0.0,16.69,15.92,6.61
4,2019.0,0.0,7.57,496.47,67.09,0.0,0.0,0.6,0.0,16.69,15.92,-2.34
5,2020.0,0.0,7.57,501.91,67.09,0.0,0.0,1.27,0.0,16.69,15.92,0.42
6,2021.0,0.0,7.19,483.66,67.09,0.0,11.72,4.59,0.0,19.48,19.83,59.91
7,2022.0,0.0,6.83,520.73,67.09,0.0,11.72,7.08,0.0,22.27,23.72,58.03
8,2023.0,0.0,6.44,541.61,67.09,0.0,11.72,7.08,0.0,25.06,26.05,38.55
9,2024.0,0.0,6.06,553.11,67.09,0.0,11.72,7.08,0.0,27.85,28.39,28.41
10,2025.0,80.04,5.68,465.31,67.09,0.0,11.72,7.08,0.0,30.64,27.73,40.53
11,2026.0,30.94,5.3,549.8,67.09,0.0,11.72,7.08,0.0,33.43,30.07,6.49
12,2027.0,0.0,4.92,582.55,67.09,0.0,11.72,7.08,0.0,36.22,32.4,6.03
13,2028.0,0.0,4.55,579.56,67.09,0.0,11.72,8.74,0.0,39.01,34.73,8.69
14,2029.0,0.0,4.17,581.33,67.09,0.0,11.72,11.41,0.0,41.8,37.08,5.43
15,2030.0,0.0,3.79,557.37,67.09,0.0,11.72,17.21,0.0,44.59,39.41,24.39
16,2031.0,0.0,3.4,581.96,67.09,0.0,11.72,22.85,0.0,50.52,38.81,23.66
17,2032.0,0.0,3.02,603.24,67.09,0.0,11.72,27.02,0.0,56.44,38.21,27.83
18,2033.0,18.41,2.65,585.54,67.09,0.0,11.72,31.17,0.0,62.37,37.62,52.51
19,2034.0,64.58,2.28,564.77,67.09,0.0,11.72,35.34,0.0,68.29,37.02,52.4
20,2035.0,64.42,1.9,582.82,67.09,0.0,11.72,39.5,2.1,74.22,36.42,57.63
21,2036.0,42.8,1.53,627.02,67.09,0.0,11.72,43.65,4.2,80.15,36.42,57.5
22,2037.0,34.71,1.13,634.2,67.09,0.0,11.72,47.82,10.15,86.07,36.42,76.93
23,2038.0,36.79,0.76,613.45,67.09,0.0,11.72,51.99,12.25,92.0,36.42,117.91
24,2039.0,38.64,0.37,592.95,67.09,13.4,11.72,56.14,14.35,97.92,36.42,145.39
25,2040.0,40.7,0.0,570.97,67.09,26.81,11.72,60.25,16.45,100.84,36.42,177.14
26,2041.0,33.28,0.0,575.18,67.09,40.21,11.72,65.87,18.55,117.37,39.35,179.76
27,2042.0,23.47,0.0,583.7,67.09,53.61,11.72,71.71,18.55,136.39,42.28,179.76
28,2043.0,31.24,0.0,580.63,67.09,67.01,11.72,77.2,18.55,151.16,43.75,179.76
29,2044.0,25.42,0.0,601.33,67.09,67.01,11.72,83.02,18.55,170.19,43.75,179.76
30,2045.0,23.7,0.0,618.5,67.09,67.01,11.72,88.2,18.55,189.23,43.75,179.76
31,2046.0,21.48,0.0,651.96,67.09,67.01,0.0,92.36,18.55,205.12,43.75,179.76
32,2047.0,4.95,0.0,687.92,67.09,67.01,0.0,96.52,18.55,221.02,43.75,179.76
33,2048.0,40.39,0.0,664.97,67.09,67.01,0.8,102.35,18.55,236.92,43.75,179.76
34,2049.0,32.32,0.0,695.18,67.09,67.01,0.8,108.18,18.55,252.81,43.75,179.51
35,2050.0,26.51,0.0,705.61,67.09,67.01,13.5,114.01,18.55,268.71,43.75,179.76
36,2051.0,23.98,0.0,695.16,67.09,80.42,32.98,119.84,18.55,284.6,46.68,178.3
37,2052.0,22.12,0.0,684.43,67.09,93.82,52.45,125.67,18.55,300.5,49.62,177.77
38,2053.0,19.04,0.0,687.45,67.09,93.82,76.82,129.84,18.55,316.4,51.08,177.76
39,2054.0,14.81,0.0,673.92,67.09,93.82,120.27,134.0,18.55,332.3,52.67,177.65
40,2055.0,10.91,0.0,678.7,67.09,93.82,147.37,138.16,18.55,348.2,54.25,176.7
41,2056.0,0.0,0.0,695.49,67.09,93.82,174.45,140.65,18.55,360.95,51.87,176.11
42,2057.0,0.0,0.0,706.9,67.09,93.82,201.55,143.14,18.55,373.72,53.46,175.09
43,2058.0,0.0,0.0,718.95,67.09,93.82,228.65,145.63,18.55,386.47,55.04,174.83
44,2059.0,0.0,0.0,751.59,67.09,93.82,234.51,148.14,18.55,399.24,56.63,174.48
45,2060.0,0.0,0.0,787.07,67.09,93.82,240.37,150.63,18.55,412.0,58.21,173.0
46,2061.0,0.0,0.0,817.5,67.09,93.82,246.23,154.8,18.55,431.11,58.21,171.92
47,2062.0,0.0,0.0,849.72,67.09,93.82,252.1,158.95,18.55,450.21,58.24,170.8
48,2063.0,0.0,0.0,882.3,67.09,93.82,257.96,163.11,18.55,469.32,59.83,169.65
49,2064.0,0.0,0.0,916.82,67.09,93.82,263.82,167.28,18.55,488.42,61.41,168.48
50,2065.0,0.0,0.0,953.88,67.09,93.82,269.69,171.43,18.55,507.53,62.99,166.76
51,2066.0,0.0,0.0,1004.39,67.09,93.82,275.55,173.93,18.55,513.87,64.58,168.04
52,2067.0,0.0,0.0,1043.08,67.09,93.82,281.41,176.43,18.55,520.22,66.16,173.25
53,2068.0,0.0,0.0,1052.08,67.09,93.82,287.27,178.92,18.55,526.56,67.75,191.42
54,2069.0,0.0,0.0,1007.86,67.09,93.82,293.13,181.42,18.55,532.9,67.75,225.08
55,2070.0,0.0,0.0,1011.45,67.09,93.82,299.0,183.91,18.55,539.25,67.75,283.72
