,y,CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Solar FPV
0,2015.0,0.0,0.0,0.01,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.03,0.0,0.0,0.0
2,2018.0,0.0,0.0,0.05,0.0,0.0,0.0
3,2020.0,0.0,0.0,0.10000875,0.0,0.0,0.0
4,2021.0,0.4,0.4,0.25,0.1,0.10000000000000003,0.0
5,2022.0,0.0,0.0,0.25,0.050000000000000065,0.05000000000000001,0.0
6,2028.0,0.0,0.0,0.25,0.0,0.0,0.0
7,2029.0,0.0,0.0,0.25,0.150000000000002,0.0,0.0
8,2030.0,0.0,0.0,0.25,0.25,0.25,0.0
9,2031.0,0.0,0.0,0.5,0.05000000000000019,0.20000000000000284,0.0
10,2032.0,0.0,0.0,0.5,0.05000000000000115,0.050000000000001134,0.0
11,2033.0,0.0,0.0,0.5,0.05000000000000086,0.05000000000000108,0.0
12,2034.0,0.0,0.0,0.5,0.05000000000000071,0.050000000000001044,0.0
13,2035.0,0.0,0.0,0.5,0.05000000000000113,0.05000000000000049,0.3
14,2036.0,0.0,0.0,0.5,0.050000000000001675,0.05000000000000071,0.3
15,2037.0,0.0,0.0,0.5,0.05000000000000121,0.05000000000000225,0.8500000000000001
16,2038.0,0.0,0.0,0.5,0.05000000000000136,0.05000000000000093,0.3
17,2039.0,0.0,0.0,0.5,0.04999999999998962,0.05000000000000007,0.3
18,2040.0,0.0,0.0,0.5,0.05000000000000003,0.05000000000000121,0.3
19,2041.0,0.0,0.0,0.75,0.15000000000000008,0.15000000000000455,0.3000000000000196
20,2042.0,0.0,0.0,0.75,0.09999999999999992,0.10000000000001094,0.0
21,2043.0,0.0,0.0,0.75,0.050000000000000044,0.0499999999999976,0.0
22,2044.0,0.0,0.0,0.75,0.04999999999999999,0.0499999999999976,0.0
23,2045.0,0.0,0.0,0.75,0.050000000000000044,0.04999999999999785,0.0
24,2046.0,0.0,0.0,0.75,0.05000000000002053,0.049999999999998934,0.0
25,2047.0,0.0,0.0,0.75,0.050000000000002265,0.049999999999998934,0.0
26,2048.0,0.06186898422153787,0.0,0.75,0.049999999999998934,0.0500000000000049,0.0
27,2049.0,0.0,0.0,0.75,0.20000000000000484,0.05000000000000049,0.0
28,2050.0,0.9783330355427939,0.0,0.75,0.3000000000000016,0.3000000000000025,0.0
29,2051.0,1.5,0.0,0.75,0.10000000000000009,0.25000000000000266,0.0
30,2052.0,1.5,0.0,0.75,0.10000000000000187,0.10000000000000187,0.0
31,2053.0,1.5,0.2999999999999998,0.75,0.09999999999999964,0.10000000000000053,0.0
32,2054.0,1.4597979802357401,1.5,0.75,0.10000000000000231,0.10000000000000209,0.0
33,2055.0,0.2000000000000055,1.5,0.75,0.10000000000000253,0.10000000000000187,0.0
34,2056.0,0.19999999999999485,1.5,0.75,0.10000000000000209,0.0999999999999992,0.0
35,2057.0,0.19999999999992912,1.5,0.75,0.10000000000000253,0.10000000000000386,0.0
36,2058.0,0.1999999999999993,1.5,0.75,0.10000000000000164,0.09999999999999876,0.0
37,2059.0,0.1999999999999993,0.20000000000008544,0.75,0.09999999999999098,0.10000000000000164,0.0
38,2060.0,0.20000000000000284,0.20000000000000462,0.75,0.10000000000000209,0.10000000000000409,0.30000000000001115
39,2061.0,0.19999999999999574,0.20000000000000107,1.0,0.1999999999999993,0.20000000000000417,0.30000000000000493
40,2062.0,0.200000000000097,0.20000000000000462,1.0,0.15000000000000147,0.15000000000001124,0.8499999999999979
41,2063.0,0.1999999999999833,0.2000000000000064,1.0,0.09999999999999876,0.10000000000000009,0.29999999999996874
42,2064.0,0.1999999999999833,0.19999999999999396,1.0,0.09999999999999876,0.10000000000000098,0.3000000000000089
43,2065.0,0.20000000000001528,0.20000000000001883,1.0,0.10000000000000053,0.09999999999999254,0.30000000000004223
44,2066.0,0.1999999999999993,0.20000000000000284,1.0,0.10000000000002118,0.09999999999999698,0.30000000000000937
45,2067.0,0.20000000000003704,0.19999999999999396,1.0,0.10000000000000231,0.09999999999999964,0.0
46,2068.0,0.19999999999998685,0.20000000000000107,1.0,0.09999999999999876,0.1000000000000032,0.0
47,2069.0,0.1999999999998998,0.19999999999998863,1.0,0.2500000000000049,0.10000000000000364,0.0
48,2070.0,0.20000000000000284,0.1999999999999993,1.0,0.35000000000000653,0.35000000000000653,0.0
