r,t,y,CapitalInvestment
REGION,EGCRUDPROX,2020, 2.4247454069986379e+03
REGION,EGNG00ILGX,2042, 1.1444970589378547e+03
REGION,EGNG00ILGX,2043, 5.9690691083259037e+02
REGION,EGNG00ILGX,2044, 5.1400227011836947e+01
REGION,EGNG00ILGX,2045, 5.1116188610051104e+01
REGION,EGNG00ILGX,2046, 7.1284634782480168e+01
REGION,EGNG00ILGX,2047, 7.7401043804582045e+01
REGION,EGNG00ILGX,2048, 2.9943951529262087e+01
REGION,EGNG00ILGX,2049, 5.9497030761154129e+01
REGION,EGNG00ILGX,2050, 55.8411094174294
REGION,EGNG00ILGX,2051, 6.4418252573032063e+01
REGION,EGNG00ILGX,2052, 6.7396191364617721e+01
REGION,EGNG00ILGX,2053, 7.0462341883470515e+01
REGION,EGNG00ILGX,2054, 7.3619528075586857e+01
REGION,EGNG00ILGX,2055, 1.5295466685119325e+02
REGION,EGNG00ILGX,2056, 1.6287570917442386e+02
REGION,EGNG00ILGX,2057, 5.2300259893710212e+01
REGION,EGNG00ILGX,2058, 5.5953581650692762e+01
REGION,EGNG00ILGX,2059, 5.9712983438787852e+01
REGION,EGNG00ILGX,2060, 6.4603825183181911e+01
REGION,EGNG00ILGX,2061, 9.7948703382852472e+01
REGION,EGNG00ILGX,2062, 1.0197270803965304e+02
REGION,EGNG00ILGX,2063, 1.0659086257304264e+02
REGION,EGNG00ILGX,2064, 7.7948257689298629e+01
REGION,EGNG00ILGX,2065, 7.6775884439302416e+01
REGION,EGNG00ILGX,2066, 72.2423902970552
REGION,EGNG00ILGX,2067, 1.2215339473678146e+03
REGION,EGNG00ILGX,2068, 6.7852159758655307e+02
REGION,EGNG00ILGX,2069, 1.7145874456519704e+02
REGION,EGNG00ILGX,2070, 1.3089557346095805e+02
REGION,EGNG00ELGX,2015, 332.20815063072
REGION,EGNG00ELGX,2017, 450.85391871312
REGION,EGNG00ELGX,2030, 4.8840987516900674e+02
REGION,EGCOSCP04N,2025, 7027.68
REGION,EGCOSCP04N,2026, 7027.68
REGION,EGCOSCP04N,2035, 2342.56
REGION,EGCOSCP04N,2036, 2342.56
REGION,EGCOSCP04N,2037, 2342.56
REGION,EGCOSCP04N,2038, 2342.56
REGION,EGCOSCP04N,2039, 2342.56
REGION,EGCOSCP04N,2040, 2342.56
REGION,EGCOSCP04N,2041, 3513.84
REGION,EGCOSCP04N,2042, 1.1712800000000611e+03
REGION,EGCOSCP04N,2043, 1.1712799999999982e+03
REGION,EGCOSCP04N,2044, 1.1712800000000295e+03
REGION,EGCOSCP04N,2045, 1.1712800000000161e+03
REGION,EGCOSCP04N,2048, 3513.84
REGION,EGCOSCP04N,2049, 1.1712800000000707e+03
REGION,EGCOSCP04N,2050, 1.1712800000000084e+03
REGION,EGCOSCP04N,2051, 1.1712800000000254e+03
REGION,EGCOSCP04N,2052, 1.1712800000000077e+03
REGION,EGCOSCP04N,2053, 1.1712800000000250e+03
REGION,EGCOSCP04N,2054, 1.1712799999997587e+03
REGION,EGCOSCP04N,2055, 3513.84
REGION,EGCOSCP04N,2056, 3513.84
REGION,EGCOSCP04N,2057, 3513.84
REGION,EGCOSCP04N,2058, 3513.84
REGION,EGCOSCP04N,2059, 3513.84
REGION,EGCOSCP04N,2060, 3513.84
REGION,EGCOSCP04N,2061, 1.1712800000003085e+03
REGION,EGCOSCP04N,2062, 1.1712799999999745e+03
REGION,EGCOSCP04N,2063, 1.1712799999999916e+03
REGION,EGCOSCP04N,2064, 1.1712799999999750e+03
REGION,EGCOSCP04N,2065, 3.5138399999999810e+03
REGION,EGCOSCP04N,2066, 3.5138400000000229e+03
REGION,EGCOSCP04N,2067, 3513.83999999995
REGION,EGCOSCP04N,2068, 3513.84
REGION,EGCOSCP04N,2069, 3.5138399999999751e+03
REGION,EGCOSCP04N,2070, 3.5138399999999915e+03
REGION,EGLFRCP04N,2015, 508.2
REGION,EGLFRCP04N,2016, 7.5794400000000007e+02
REGION,EGNGCCP01N,2015, 559.02
REGION,EGNGCCP01N,2034, 8.7597260969802932e+01
REGION,EGNGCCP01N,2035, 8.9802926214154445e+02
REGION,EGNGCCP01N,2036, 5.4049575066547709e+02
REGION,EGNGCCP01N,2037, 931.7
REGION,EGNGCCP01N,2039, 931.7
REGION,EGNGCCP01N,2040, 931.7
REGION,EGNGCCP01N,2041, 1.3975500000000002e+03
REGION,EGNGCCP01N,2043, 2.8959107141089908e+02
REGION,EGNGCCP01N,2045, 1.3975500000000002e+03
REGION,EGNGCCP01N,2046, 1.3975500000000002e+03
REGION,EGNGCCP01N,2047, 1.3975500000000002e+03
REGION,EGNGCCP01N,2048, 1.3975500000000002e+03
REGION,EGNGCCP01N,2049, 1.3975500000000002e+03
REGION,EGNGCCP01N,2052, 1.3975500000000002e+03
REGION,EGNGCCP01N,2054, 1.1595299302133897e+03
REGION,EGNGCCP01N,2055, 1.3975500000000002e+03
REGION,EGNGCCP01N,2056, 1.2221481848577143e+03
REGION,EGNGCCP01N,2058, 786.209781107333
REGION,EGNGCCP01N,2059, 5.5940543888780780e+02
REGION,EGNGCCP01N,2061, 2329.25
REGION,EGNGCCP01N,2064, 2.1113112285415559e+03
REGION,EGNGCCP01N,2066, 1.0234530345896773e+03
REGION,EGNGCCP01N,2067, 578.04496611194
REGION,EGNGCCP01N,2068, 2329.25
REGION,EGNGCCP01N,2069, 2329.25
REGION,EGNGCCP02N,2018, 8944.32
REGION,EGNGCCP02N,2034, 1.1006806107533485e+02
REGION,EGNGCCP02N,2038, 931.7
REGION,EGNGCCP02N,2039, 931.7
REGION,EGNGCCP02N,2040, 931.7
REGION,EGNGCCP02N,2043, 1.3975500000000002e+03
REGION,EGNGCCP02N,2044, 1.7760465891763877e+02
REGION,EGNGCCP02N,2046, 1.3975500000000002e+03
REGION,EGNGCCP02N,2047, 1.3975500000000002e+03
REGION,EGNGCCP02N,2048, 1.3975500000000002e+03
REGION,EGNGCCP02N,2049, 8.9978483561259566e+02
REGION,EGNGCCP02N,2050, 1.3119008247073978e+03
REGION,EGNGCCP02N,2051, 1.4315450085266315e+02
REGION,EGNGCCP02N,2052, 2.2461137411147797e+02
REGION,EGNGCCP02N,2053, 1.3975500000000002e+03
REGION,EGNGCCP02N,2054, 6.3392272312811656e+02
REGION,EGNGCCP02N,2055, 9.5177787139496729e+02
REGION,EGNGCCP02N,2056, 1.3975500000000002e+03
REGION,EGNGCCP02N,2058, 6.3166896279513628e+02
REGION,EGNGCCP02N,2060, 1.3975500000000002e+03
REGION,EGNGCCP02N,2061, 1.6223437517335591e+02
REGION,EGNGCCP02N,2062, 2329.25
REGION,EGNGCCP02N,2063, 3.9348568731953441e+02
