r,l,t,m,y,RateOfActivity
REGION,S1D1,EGWA00000X,1,2015, 1.6841851477719538e+04
REGION,S1D2,EGWA00000X,1,2015, 1.2070750925827497e+04
REGION,S2D1,EGWA00000X,1,2015, 1.8047867976746773e+04
REGION,S2D2,EGWA00000X,1,2015, 1.1299056092484634e+04
REGION,S3D1,EGWA00000X,1,2015, 1.8247976439821781e+04
REGION,S3D2,EGWA00000X,1,2015, 1.1465260317357253e+04
REGION,S4D1,EGWA00000X,1,2015, 1.9503261825538273e+04
REGION,S4D2,EGWA00000X,1,2015, 1.1621813756954014e+04
REGION,S1D1,EGWA00000X,1,2016, 1.6005898427516706e+04
REGION,S1D2,EGWA00000X,1,2016, 1.2087152458022156e+04
REGION,S2D1,EGWA00000X,1,2016, 1.9665703372666183e+04
REGION,S2D2,EGWA00000X,1,2016, 1.1745614034694063e+04
REGION,S3D1,EGWA00000X,1,2016, 1.5148970565918786e+04
REGION,S3D2,EGWA00000X,1,2016, 1.2081892586158934e+04
REGION,S4D1,EGWA00000X,1,2016, 1.7272726874380329e+04
REGION,S4D2,EGWA00000X,1,2016, 1.1214789065591773e+04
REGION,S1D1,EGWA00000X,1,2017, 1.2923855807972652e+04
REGION,S1D2,EGWA00000X,1,2017, 1.3979644211673663e+04
REGION,S2D1,EGWA00000X,1,2017, 1.7409583779725795e+04
REGION,S2D2,EGWA00000X,1,2017, 1.2113684403367826e+04
REGION,S3D1,EGWA00000X,1,2017, 1.8029991804480960e+04
REGION,S3D2,EGWA00000X,1,2017, 1.1958211735225406e+04
REGION,S4D1,EGWA00000X,1,2017, 1.7913326281150872e+04
REGION,S4D2,EGWA00000X,1,2017, 1.1262290397331295e+04
REGION,S1D1,EGWA00000X,1,2018, 1.1396283166490621e+04
REGION,S1D2,EGWA00000X,1,2018, 1.3975308974265534e+04
REGION,S2D1,EGWA00000X,1,2018, 9.2006106984621219e+03
REGION,S2D2,EGWA00000X,1,2018, 1.4951289153734851e+04
REGION,S3D1,EGWA00000X,1,2018, 1.4770680383787878e+04
REGION,S3D2,EGWA00000X,1,2018, 1.1825696463724365e+04
REGION,S4D1,EGWA00000X,1,2018, 2.3893734717846211e+04
REGION,S4D2,EGWA00000X,1,2018, 1.1299485856329495e+04
REGION,S1D1,EGWA00000X,1,2019, 1.1908895080425655e+04
REGION,S1D2,EGWA00000X,1,2019, 1.1776459454801894e+04
REGION,S2D1,EGWA00000X,1,2019, 1.3036088361417582e+04
REGION,S2D2,EGWA00000X,1,2019, 1.2848654104637020e+04
REGION,S3D1,EGWA00000X,1,2019, 1.4803814170102538e+04
REGION,S3D2,EGWA00000X,1,2019, 1.3482445939756934e+04
REGION,S4D1,EGWA00000X,1,2019, 2.3116927432900320e+04
REGION,S4D2,EGWA00000X,1,2019, 1.1820631448911183e+04
REGION,S1D1,EGWA00000X,1,2020, 1.3818115044723143e+04
REGION,S1D2,EGWA00000X,1,2020, 9.5471473904589511e+03
REGION,S2D1,EGWA00000X,1,2020, 1.7750546460138423e+04
REGION,S2D2,EGWA00000X,1,2020, 1.6182482505411934e+04
REGION,S3D1,EGWA00000X,1,2020, 1.4994576358801467e+04
REGION,S3D2,EGWA00000X,1,2020, 1.2867340976998030e+04
REGION,S4D1,EGWA00000X,1,2020, 2.3754219260304661e+04
REGION,S4D2,EGWA00000X,1,2020, 1.1873647761378248e+04
REGION,S1D1,EGWA00000X,1,2021, 1.3052150546863164e+04
REGION,S1D2,EGWA00000X,1,2021, 9.9061964770983323e+03
REGION,S2D1,EGWA00000X,1,2021, 1.5553425132333512e+04
