r,t,y,SalvageValue
REGION,EGNG00ILGX,2047, 7.75193071040561
REGION,EGNG00ILGX,2048, 5.7253070816805804e+00
REGION,EGNG00ILGX,2049, 1.6300502047900853e+01
REGION,EGNG00ILGX,2050, 1.9500718612304695e+01
REGION,EGNG00ILGX,2051, 2.6902587084759453e+01
REGION,EGNG00ILGX,2052, 3.2337412080839691e+01
REGION,EGNG00ILGX,2053, 3.7792076544256254e+01
REGION,EGNG00ILGX,2054, 4.3269033541651517e+01
REGION,EGNG00ILGX,2055, 9.7043702290329122e+01
REGION,EGNG00ILGX,2056, 1.1025628650987387e+02
REGION,EGNG00ILGX,2057, 3.7423364655717108e+01
REGION,EGNG00ILGX,2058, 4.2001628393113911e+01
REGION,EGNG00ILGX,2059, 4.6729174977283314e+01
REGION,EGNG00ILGX,2060, 5.2430769027288605e+01
REGION,EGNG00ILGX,2061, 8.2075833528727529e+01
REGION,EGNG00ILGX,2062, 8.7892612079025326e+01
REGION,EGNG00ILGX,2063, 9.4196377329818191e+01
REGION,EGNG00ILGX,2064, 7.0428882386088915e+01
REGION,EGNG00ILGX,2065, 7.0752595231179583e+01
REGION,EGNG00ILGX,2066, 6.7757792388979922e+01
REGION,EGNG00ILGX,2067, 1.1638897322548530e+03
REGION,EGNG00ILGX,2068, 6.5568505828441641e+02
REGION,EGNG00ILGX,2069, 1.6779759429126364e+02
REGION,EGNG00ILGX,2070, 1.2956461782065281e+02
REGION,EGCOSCP04N,2042, 1.1295318353941040e+02
REGION,EGCOSCP04N,2043, 2.1563789584795416e+02
REGION,EGCOSCP04N,2044, 3.0898763431027987e+02
REGION,EGCOSCP04N,2045, 3.9385103291238488e+02
REGION,EGCOSCP04N,2048, 1.8146812340631450e+03
REGION,EGCOSCP04N,2049, 662.856587801005
REGION,EGCOSCP04N,2050, 7.1555008154029008e+02
REGION,EGCOSCP04N,2051, 7.6345325766695157e+02
REGION,EGCOSCP04N,2052, 8.0700159960026031e+02
REGION,EGCOSCP04N,2053, 8.4659100135783808e+02
REGION,EGCOSCP04N,2054, 8.8258136659178308e+02
REGION,EGCOSCP04N,2055, 2745.89964132357
REGION,EGCOSCP04N,2056, 2835.13195182147
REGION,EGCOSCP04N,2057, 2916.25223409228
REGION,EGCOSCP04N,2058, 2.9899979452475550e+03
REGION,EGCOSCP04N,2059, 3.0570395008432652e+03
REGION,EGCOSCP04N,2060, 3.1179863695666349e+03
REGION,EGCOSCP04N,2061, 1.0577975379538136e+03
REGION,EGCOSCP04N,2062, 1.0745873089516865e+03
REGION,EGCOSCP04N,2063, 1.0898507371318622e+03
REGION,EGCOSCP04N,2064, 1.1037265809319865e+03
REGION,EGCOSCP04N,2065, 3.3490229531600521e+03
REGION,EGCOSCP04N,2066, 3.3834258716728418e+03
REGION,EGCOSCP04N,2067, 3.4147012521389065e+03
