r,e,y,AnnualEmissions
REGION,ETCO2,2065.0,65.6131
REGION,ETCO2,2066.0,66.2328
REGION,ETCO2,2067.0,66.8624
REGION,ETCO2,2068.0,67.4015
REGION,ETCO2,2069.0,67.992
REGION,ETCO2,2070.0,68.525
REGION,SDCO2,2015.0,14.9074
REGION,SDCO2,2016.0,16.8672
REGION,SDCO2,2017.0,15.8725
REGION,SDCO2,2018.0,15.4749
REGION,SDCO2,2019.0,15.0752
REGION,SDCO2,2020.0,14.6754
REGION,SDCO2,2021.0,15.0359
REGION,SDCO2,2022.0,15.4063
REGION,SDCO2,2023.0,15.7927
REGION,SDCO2,2024.0,16.1961
REGION,SDCO2,2025.0,57.4934
REGION,SDCO2,2026.0,57.9242
REGION,SDCO2,2027.0,58.3799
REGION,SDCO2,2028.0,58.8546
REGION,SDCO2,2029.0,18.5447
REGION,SDCO2,2030.0,18.9658
REGION,SDCO2,2031.0,19.4067
REGION,SDCO2,2032.0,20.2169
REGION,SDCO2,2033.0,21.0336
REGION,SDCO2,2034.0,21.8601
REGION,SDCO2,2035.0,20.9132
REGION,SDCO2,2036.0,21.4538
REGION,SDCO2,2037.0,22.0146
REGION,SDCO2,2038.0,22.5961
REGION,SDCO2,2039.0,23.204
REGION,SDCO2,2040.0,23.8608
REGION,SDCO2,2041.0,24.4405
REGION,SDCO2,2042.0,25.1377
REGION,SDCO2,2043.0,25.9038
REGION,SDCO2,2044.0,26.6606
REGION,SDCO2,2045.0,27.4387
REGION,SDCO2,2046.0,28.4135
REGION,SDCO2,2047.0,29.2142
REGION,SDCO2,2048.0,30.2464
REGION,SDCO2,2049.0,31.2739
REGION,SDCO2,2050.0,32.4337
REGION,SDCO2,2051.0,33.014
REGION,SDCO2,2052.0,33.6484
REGION,SDCO2,2053.0,34.3546
REGION,SDCO2,2054.0,35.0258
REGION,SDCO2,2055.0,35.773
REGION,SDCO2,2056.0,36.8392
REGION,SDCO2,2057.0,37.8422
REGION,SDCO2,2058.0,38.8339
