r,t,y,AnnualFixedOperatingCost
REGION,EGCOSCP04N,2047, 390
REGION,EGCOSCP04N,2048, 390
REGION,EGCOSCP04N,2049, 390
REGION,EGCOSCP04N,2050, 390
REGION,EGCOSCP04N,2051, 390
REGION,EGCOSCP04N,2052, 390
REGION,EGCOSCP04N,2053, 390
REGION,EGCOSCP04N,2054, 390
REGION,EGCOSCP04N,2055, 195
REGION,EGCOSCC04N,2067, 6.4858532706711856e+01
REGION,EGCOSCC04N,2068, 2.3732442958105872e+02
REGION,EGCOSCC04N,2069, 4.1609435487521978e+02
REGION,EGCOSCC04N,2070, 495
REGION,EGLFRCP04O,2015, 10.38072
REGION,EGLFRCP04O,2016, 10.38072
REGION,EGLFRCP04O,2017, 10.38072
REGION,EGLFRCP04O,2018, 10.38072
REGION,EGLFRCP04O,2019, 10.38072
REGION,EGLFRCP04O,2020, 10.38072
REGION,EGLFRCP04O,2021, 9.861684
REGION,EGLFRCP04O,2022, 9.342648
REGION,EGLFRCP04O,2023, 8.823612
REGION,EGLFRCP04O,2024, 8.304576
REGION,EGLFRCP04O,2025, 7.78554
REGION,EGLFRCP04O,2026, 7.266504
REGION,EGLFRCP04O,2027, 6.747468
REGION,EGLFRCP04O,2028, 6.228432
REGION,EGLFRCP04O,2029, 5.709396
REGION,EGLFRCP04O,2030, 5.19036
REGION,EGLFRCP04O,2031, 4.671324
REGION,EGLFRCP04O,2032, 4.152288
REGION,EGLFRCP04O,2033, 3.633252
REGION,EGLFRCP04O,2034, 3.114216
REGION,EGLFRCP04O,2035, 2.59518
REGION,EGLFRCP04O,2036, 2.076144
REGION,EGLFRCP04O,2037, 1.557108
REGION,EGLFRCP04O,2038, 1.038072
REGION,EGLFRCP04O,2039, 0.519036000000001
REGION,EGLFRCP04N,2015, 12.25
REGION,EGLFRCP04N,2016, 30.52
REGION,EGLFRCP04N,2017, 30.52
REGION,EGLFRCP04N,2018, 30.52
REGION,EGLFRCP04N,2019, 30.52
REGION,EGLFRCP04N,2020, 30.52
REGION,EGLFRCP04N,2021, 30.52
REGION,EGLFRCP04N,2022, 30.52
REGION,EGLFRCP04N,2023, 30.52
REGION,EGLFRCP04N,2024, 30.52
REGION,EGLFRCP04N,2025, 30.52
REGION,EGLFRCP04N,2026, 30.52
REGION,EGLFRCP04N,2027, 30.52
REGION,EGLFRCP04N,2028, 30.52
REGION,EGLFRCP04N,2029, 30.52
REGION,EGLFRCP04N,2030, 30.52
REGION,EGLFRCP04N,2031, 30.52
REGION,EGLFRCP04N,2032, 30.52
REGION,EGLFRCP04N,2033, 30.52
REGION,EGLFRCP04N,2034, 30.52
REGION,EGLFRCP04N,2035, 30.52
REGION,EGLFRCP04N,2036, 30.52
REGION,EGLFRCP04N,2037, 30.52
REGION,EGLFRCP04N,2038, 30.52
REGION,EGLFRCP04N,2039, 30.52
REGION,EGLFRCP04N,2040, 18.27
REGION,EGNGCCP01O,2015, 55.125
