r,t,y,CapitalInvestment
REGION,EGCRUDPROX,2020, 2.4247454069986379e+03
REGION,EGNG00ILGX,2055, 4.8907624296941628e+02
REGION,EGNG00ILGX,2056, 2.7657305988342739e+02
REGION,EGNG00ILGX,2057, 1.1224844295062245e+02
REGION,EGNG00ILGX,2058, 2.1061934953280836e+01
REGION,EGNG00ILGX,2059, 1.3407211938315912e+01
REGION,EGNG00ILGX,2070, 2.0380715800789645e+01
REGION,EGNG00ELGX,2015, 332.20815063072
REGION,EGNG00ELGX,2017, 450.85391871312
REGION,EGBMCHC04N,2021, 767.49
REGION,EGBMCHC04N,2022, 7.6628000000000009e+02
REGION,EGBMCHC04N,2023, 765.07
REGION,EGBMCHC04N,2024, 7.6386000000000013e+02
REGION,EGBMCHC04N,2025, 7.6265000000000009e+02
REGION,EGBMCHC04N,2026, 761.44
REGION,EGBMCHC04N,2027, 760.23
REGION,EGBMCHC04N,2028, 759.02
REGION,EGBMCHC04N,2029, 7.5781000000000006e+02
REGION,EGBMCHC04N,2030, 756.600000000001
REGION,EGBMCHC04N,2041, 743.29
REGION,EGBMCHC04N,2042, 742.08
REGION,EGBMCHC04N,2043, 3.7043499999999869e+02
REGION,EGBMCHC04N,2051, 731.19
REGION,EGBMCHC04N,2052, 729.98
REGION,EGBMCHC04N,2053, 3.6438499999999891e+02
REGION,EGBMCHC04N,2061, 719.09
REGION,EGBMCHC04N,2062, 7.1788000000000011e+02
REGION,EGBMCHC04N,2063, 7.1667000000000007e+02
REGION,EGBMCHC04N,2064, 7.1545999999999992e+02
REGION,EGBMCHC04N,2065, 7.1424999999999966e+02
REGION,EGBMCHC04N,2066, 713.04
REGION,EGBMCHC04N,2067, 711.83
REGION,EGBMCHC04N,2068, 710.62
REGION,EGBMCHC04N,2069, 7.0941000000000008e+02
REGION,EGBMCHC04N,2070, 7.0820000000000164e+02
REGION,EGBMCHP04N,2016, 1445.95
REGION,EGBMCHP04N,2021, 567.49
REGION,EGBMCHP04N,2022, 5.6628000000000009e+02
REGION,EGCOSCP04N,2025, 7027.68
REGION,EGCOSCP04N,2026, 7027.68
REGION,EGCOSCC04N,2067, 2.8235708778107373e+03
REGION,EGCOSCC04N,2068, 7.5551893876621634e+03
REGION,EGCOSCC04N,2069, 7.9213234574810558e+03
REGION,EGCOSCC04N,2070, 3.6304223116191815e+03
REGION,EGLFRCP04N,2015, 508.2
REGION,EGLFRCP04N,2016, 7.5794400000000007e+02
REGION,EGNGCCP01N,2015, 559.02
REGION,EGNGCCP01N,2047, 2.4517445668462082e+02
REGION,EGNGCCP01N,2048, 1.3975500000000002e+03
REGION,EGNGCCP01N,2050, 8.6694128283781410e+01
REGION,EGNGCCP01N,2056, 1.3426504442787791e+03
REGION,EGNGCCP01N,2058, 4.5008729695732211e+02
REGION,EGNGCCP02N,2018, 8944.32
REGION,EGNGCCP02N,2048, 1.3975500000000002e+03
REGION,EGNGCCP02N,2049, 2.0920993471064156e+02
REGION,EGNGCCP02N,2055, 1.3975500000000002e+03
REGION,EGNGCCP02N,2056, 1.3975500000000002e+03
REGION,EGNGCCP02N,2058, 7.7976858271875713e+01
REGION,EGNGCCP04N,2015, 232.925
REGION,EGNGCCP04N,2016, 465.85
REGION,EGNGCCP04N,2017, 6.9877500000000009e+02
REGION,EGNGCCP04N,2018, 4472.16
REGION,EGNGCCP04N,2047, 2.0890179609176460e+02
REGION,EGNGCCP04N,2048, 1.3975500000000002e+03
REGION,EGNGCCP04N,2049, 5.8374894173220423e+02
REGION,EGNGCCP04N,2055, 1.0867967375199989e+03
REGION,EGNGCCP04N,2057, 7.0654173705751418e+02
REGION,EGNGCCP04N,2058, 1.8241570828056577e+00
REGION,EGNGCCP04N,2059, 4.8147623051719717e+02
REGION,EGNGCCC01N,2040, 9.8561101364685169e+02
REGION,EGNGCCC01N,2046, 5.8712030940472937e+02
REGION,EGNGCCC01N,2048, 3.5547713158203446e+03
REGION,EGNGCCC01N,2070, 1.2252808683056469e+03
REGION,EGNGCCC02N,2040, 2795.1
REGION,EGNGCCC02N,2043, 2.1623589668486015e+03
REGION,EGNGCCC02N,2044, 2.5472414934537892e+03
REGION,EGNGCCC02N,2045, 3.0179896250052839e+03
REGION,EGNGCCC02N,2046, 4.0728599999999997e+03
REGION,EGNGCCC02N,2047, 4.0528949999999995e+03
REGION,EGNGCCC02N,2048, 4032.93
REGION,EGNGCCC02N,2070, 4.2120819395572762e+03
REGION,EGNGCCC04N,2047, 4.4297381483407929e+02
REGION,EGNGCCC04N,2048, 5.2283320052701470e+02
REGION,EGNGGCP04N,2015, 943.8
REGION,EGNGGCP04N,2016, 314.6
REGION,EGNGGCP04N,2017, 159.72
REGION,EGNGGCP04N,2018, 943.8
REGION,EGNGGCP04N,2056, 6.6488185912298047e+02
REGION,EGNGGCP04N,2062, 2.7346988656774268e+01
REGION,EGNGGCP04N,2063, 10.3773807769095
REGION,EGNGGCP04N,2064, 4.2624914530836220e+00
REGION,EGNGGCP04N,2070, 1.2406512486650898e+01
REGION,EGHFGCP01N,2016, 1775.07
REGION,EGHFGCP02N,2015, 1775.07
REGION,EGHYDMS03X,2023, 1537.305
REGION,EGHYDMS03X,2031, 1537.305
REGION,EGHYDMS03X,2041, 1537.305
REGION,EGHYDMS02X,2018, 9.8387520000000009e+01
REGION,EGHYDMS02X,2023, 7.6865249999999992e+02
REGION,EGHYDMS02X,2031, 768.6525
REGION,EGHYDMS02X,2032, 768.6525
REGION,EGHYDMS02X,2041, 768.6525
REGION,EGWINDP00X,2015, 5.2054480752380880e+02
REGION,EGWINDP00X,2016, 431.018484244006
REGION,EGWINDP00X,2018, 7.2331731499363559e+02
REGION,EGWINDP00X,2021, 523.19829390968
REGION,EGWINDP00X,2022, 521.4677593102
REGION,EGWINDP00X,2023, 519.73722471072
REGION,EGWINDP00X,2024, 5.1800669011123750e+02
REGION,EGWINDP00X,2025, 5.1627615551175745e+02
REGION,EGWINDP00X,2026, 5.1454562091227751e+02
REGION,EGWINDP00X,2027, 512.815086312795
REGION,EGWINDP00X,2028, 511.084551713315
REGION,EGWINDP00X,2029, 509.354017113835
REGION,EGWINDP00X,2030, 5.0762348251435247e+02
REGION,EGWINDP00X,2031, 1.0129395855627350e+03
REGION,EGWINDP00X,2032, 1010.63220609676
REGION,EGWINDP00X,2033, 1.0083248266307850e+03
REGION,EGWINDP00X,2034, 1006.01744716481
REGION,EGWINDP00X,2035, 1.0037100676988350e+03
REGION,EGWINDP00X,2036, 1001.40268823286
REGION,EGWINDP00X,2037, 999.095308766885
REGION,EGWINDP00X,2038, 996.78792930091
REGION,EGWINDP00X,2039, 994.48054983494
REGION,EGWINDP00X,2040, 992.173170368965
REGION,EGWINDP00X,2041, 1.4847986863544852e+03
REGION,EGWINDP00X,2042, 1.4813376171555226e+03
REGION,EGWINDP00X,2043, 1477.87654795656
REGION,EGWINDP00X,2044, 1.4744154787575974e+03
REGION,EGWINDP00X,2045, 1.4709544095586350e+03
REGION,EGWINDP00X,2046, 1.4674933403596801e+03
REGION,EGWINDP00X,2047, 1.4640322711607175e+03
REGION,EGWINDP00X,2048, 1.4605712019617549e+03
REGION,EGWINDP00X,2049, 1.4571101327627925e+03
REGION,EGWINDP00X,2050, 1453.64906356383
REGION,EGWINDP00X,2051, 1.4501879943648673e+03
REGION,EGWINDP00X,2052, 1.4467269251659050e+03
REGION,EGWINDP00X,2053, 1.4432658559669426e+03
REGION,EGWINDP00X,2054, 1.4398047867679875e+03
REGION,EGWINDP00X,2055, 1.4363437175690249e+03
