r,e,y,AnnualEmissions
REGION,EGCO2,2015.0,211.7772
REGION,EGCO2,2016.0,209.0406
REGION,EGCO2,2017.0,207.8262
REGION,EGCO2,2018.0,205.124
REGION,EGCO2,2019.0,205.3444
REGION,EGCO2,2020.0,173.8216
REGION,EGCO2,2021.0,174.1751
REGION,EGCO2,2022.0,174.5287
REGION,EGCO2,2023.0,174.8822
REGION,EGCO2,2024.0,175.2357
REGION,EGCO2,2025.0,175.5892
REGION,EGCO2,2026.0,175.9427
REGION,EGCO2,2027.0,176.2962
REGION,EGCO2,2028.0,176.6498
REGION,EGCO2,2029.0,177.0033
REGION,EGCO2,2030.0,177.3568
REGION,EGCO2,2031.0,167.1596
REGION,EGCO2,2032.0,156.9625
REGION,EGCO2,2033.0,146.7653
REGION,EGCO2,2034.0,136.5682
REGION,EGCO2,2035.0,126.371
REGION,EGCO2,2036.0,116.1739
REGION,EGCO2,2037.0,105.9767
REGION,EGCO2,2038.0,95.7796
REGION,EGCO2,2039.0,85.5824
REGION,EGCO2,2040.0,75.3853
REGION,EGCO2,2041.0,70.7443
REGION,EGCO2,2042.0,66.1034
REGION,EGCO2,2043.0,61.4624
REGION,EGCO2,2044.0,56.8215
REGION,EGCO2,2045.0,52.1805
REGION,EGCO2,2046.0,47.5396
REGION,EGCO2,2047.0,42.8986
REGION,EGCO2,2048.0,38.2577
REGION,EGCO2,2049.0,33.6167
REGION,EGCO2,2050.0,28.9758
REGION,EGCO2,2051.0,24.9755
REGION,EGCO2,2052.0,21.5275
REGION,EGCO2,2053.0,18.5556
REGION,EGCO2,2054.0,15.9939
REGION,EGCO2,2055.0,13.7858
REGION,EGCO2,2056.0,11.8826
REGION,EGCO2,2057.0,10.2422
REGION,EGCO2,2058.0,8.8282
REGION,EGCO2,2059.0,7.6094
REGION,EGCO2,2060.0,6.5589
REGION,EGCO2,2061.0,5.6534
REGION,EGCO2,2062.0,4.8729
REGION,EGCO2,2063.0,4.2002
REGION,EGCO2,2064.0,3.6203
REGION,EGCO2,2065.0,3.1205
REGION,EGCO2,2066.0,2.6897
REGION,EGCO2,2067.0,2.3184
REGION,EGCO2,2068.0,1.9983
REGION,EGCO2,2069.0,1.7225
REGION,EGCO2,2070.0,1.4847
REGION,EGREN,2015.0,0.0
REGION,EGREN,2016.0,0.0
REGION,EGREN,2017.0,0.0
REGION,EGREN,2018.0,0.0
REGION,EGREN,2019.0,0.0
REGION,EGREN,2020.0,0.0
REGION,EGREN,2021.0,-0.0
REGION,EGREN,2022.0,-0.0
REGION,EGREN,2023.0,-0.0
REGION,EGREN,2024.0,-0.0
REGION,EGREN,2025.0,-3.591
REGION,EGREN,2026.0,-11.8425
REGION,EGREN,2027.0,-33.4269
REGION,EGREN,2028.0,-63.3631
REGION,EGREN,2029.0,-93.3084
REGION,EGREN,2030.0,-123.2628
REGION,EGREN,2031.0,-230.0513
REGION,EGREN,2032.0,-293.7036
REGION,EGREN,2033.0,-324.618
REGION,EGREN,2034.0,-357.1048
REGION,EGREN,2035.0,-407.4201
REGION,EGREN,2036.0,-477.0628
REGION,EGREN,2037.0,-557.4782
REGION,EGREN,2038.0,-631.3149
REGION,EGREN,2039.0,-702.5286
REGION,EGREN,2040.0,-721.1672
REGION,EGREN,2041.0,-826.7154
REGION,EGREN,2042.0,-889.6979
REGION,EGREN,2043.0,-970.4975
REGION,EGREN,2044.0,-1066.9977
REGION,EGREN,2045.0,-1160.2201
REGION,EGREN,2046.0,-1174.1922
REGION,EGREN,2047.0,-1200.6117
REGION,EGREN,2048.0,-1380.1369
REGION,EGREN,2049.0,-1524.2873
REGION,EGREN,2050.0,-1702.8256
REGION,EGREN,2051.0,-1787.31
REGION,EGREN,2052.0,-1876.8889
REGION,EGREN,2053.0,-1980.1714
REGION,EGREN,2054.0,-2113.6046
REGION,EGREN,2055.0,-2180.658
REGION,EGREN,2056.0,-2199.6417
REGION,EGREN,2057.0,-2261.5849
REGION,EGREN,2058.0,-2354.3276
REGION,EGREN,2059.0,-2448.7564
REGION,EGREN,2060.0,-2619.7768
REGION,EGREN,2061.0,-2784.7561
REGION,EGREN,2062.0,-2954.9364
REGION,EGREN,2063.0,-3134.1192
REGION,EGREN,2064.0,-3319.133
REGION,EGREN,2065.0,-3509.6998
REGION,EGREN,2066.0,-3708.2774
REGION,EGREN,2067.0,-3836.3069
REGION,EGREN,2068.0,-3859.2199
REGION,EGREN,2069.0,-3880.2863
REGION,EGREN,2070.0,-3900.1649
REGION,ETCO2,2015.0,10.436
REGION,ETCO2,2016.0,11.1506
REGION,ETCO2,2017.0,12.534
REGION,ETCO2,2018.0,13.9174
REGION,ETCO2,2019.0,15.3008
REGION,ETCO2,2020.0,16.6841
REGION,ETCO2,2021.0,17.3688
REGION,ETCO2,2022.0,18.1221
REGION,ETCO2,2023.0,18.9582
REGION,ETCO2,2024.0,19.8951
REGION,ETCO2,2025.0,21.3051
REGION,ETCO2,2026.0,22.5027
REGION,ETCO2,2027.0,23.8865
REGION,ETCO2,2028.0,25.5004
REGION,ETCO2,2029.0,27.3996
REGION,ETCO2,2030.0,29.6534
REGION,ETCO2,2031.0,27.1638
REGION,ETCO2,2032.0,25.061
REGION,ETCO2,2033.0,23.2684
REGION,ETCO2,2034.0,21.7258
