r,l,t,m,y,RateOfActivity
REGION,S1D1,EGWA00000X,1,2015, 1.3522200156978821e+04
REGION,S1D2,EGWA00000X,1,2015, 8.9006525191911187e+03
REGION,S2D1,EGWA00000X,1,2015, 1.3522200156978821e+04
REGION,S2D2,EGWA00000X,1,2015, 1.0003968245287146e+04
REGION,S3D1,EGWA00000X,1,2015, 1.3522200156978821e+04
REGION,S3D2,EGWA00000X,1,2015, 1.0030702595263811e+04
REGION,S4D1,EGWA00000X,1,2015, 1.3522200156978821e+04
REGION,S4D2,EGWA00000X,1,2015, 1.3287056728601512e+04
REGION,S1D1,EGWA00000X,1,2016, 1.3522200156978821e+04
REGION,S1D2,EGWA00000X,1,2016, 1.2366565814392447e+04
REGION,S2D1,EGWA00000X,1,2016, 1.3522200156978821e+04
REGION,S2D2,EGWA00000X,1,2016, 9.5842679361710125e+03
REGION,S3D1,EGWA00000X,1,2016, 1.3522200156978821e+04
REGION,S3D2,EGWA00000X,1,2016, 9438.2784167174
REGION,S4D1,EGWA00000X,1,2016, 1.3522200156978821e+04
REGION,S4D2,EGWA00000X,1,2016, 8.9687643469882933e+03
REGION,S1D1,EGWA00000X,1,2017, 1.3522200156978821e+04
REGION,S1D2,EGWA00000X,1,2017, 1.3522200156978821e+04
REGION,S2D1,EGWA00000X,1,2017, 1.3522200156978821e+04
REGION,S2D2,EGWA00000X,1,2017, 1.0084206235536385e+04
REGION,S3D1,EGWA00000X,1,2017, 1.3522200156978821e+04
REGION,S3D2,EGWA00000X,1,2017, 1.0668392074203424e+04
REGION,S4D1,EGWA00000X,1,2017, 1.0504226949880391e+04
REGION,S4D2,EGWA00000X,1,2017, 8.9999740495407659e+03
REGION,S1D1,EGWA00000X,1,2018, 9.0824019683798342e+03
REGION,S1D2,EGWA00000X,1,2018, 9.1760398704880754e+03
REGION,S2D1,EGWA00000X,1,2018, 9.1904546928840336e+03
REGION,S2D2,EGWA00000X,1,2018, 1.1021624590750569e+04
REGION,S3D1,EGWA00000X,1,2018, 1.5946881382551281e+04
REGION,S3D2,EGWA00000X,1,2018, 9.8723039168341820e+03
REGION,S4D1,EGWA00000X,1,2018, 2.0637361116488519e+04
REGION,S4D2,EGWA00000X,1,2018, 9164.43913613824
REGION,S1D1,EGWA00000X,1,2019, 9.0878672829472071e+03
REGION,S1D2,EGWA00000X,1,2019, 9.2303894023346820e+03
REGION,S2D1,EGWA00000X,1,2019, 9.1914565881048366e+03
REGION,S2D2,EGWA00000X,1,2019, 1.2855285629830960e+04
REGION,S3D1,EGWA00000X,1,2019, 1.1687651151732727e+04
REGION,S3D2,EGWA00000X,1,2019, 1.0187370112218689e+04
REGION,S4D1,EGWA00000X,1,2019, 2.0096418281437938e+04
REGION,S4D2,EGWA00000X,1,2019, 9.8239793229113839e+03
REGION,S1D1,EGWA00000X,1,2020, 1.0706236496602576e+04
REGION,S1D2,EGWA00000X,1,2020, 9.0942224842016312e+03
REGION,S2D1,EGWA00000X,1,2020, 1.0875171627345031e+04
REGION,S2D2,EGWA00000X,1,2020, 1.4984416873759494e+04
REGION,S3D1,EGWA00000X,1,2020, 12015.2354207413
REGION,S3D2,EGWA00000X,1,2020, 1.2615589453874496e+04
REGION,S4D1,EGWA00000X,1,2020, 1.7257577313910013e+04
REGION,S4D2,EGWA00000X,1,2020, 9.4929872023183580e+03
REGION,S1D1,EGWA00000X,1,2021, 1.0572706740331912e+04
REGION,S1D2,EGWA00000X,1,2021, 1.7248401043376147e+04
REGION,S2D1,EGWA00000X,1,2021, 1.0420945292513090e+04
REGION,S2D2,EGWA00000X,1,2021, 9124.13612139793
REGION,S3D1,EGWA00000X,1,2021, 1.2341803872479953e+04
REGION,S3D2,EGWA00000X,1,2021, 9.6196873146968064e+03
REGION,S4D1,EGWA00000X,1,2021, 1.0527230740505551e+04
REGION,S4D2,EGWA00000X,1,2021, 8.4977186082692861e+03
REGION,S1D1,EGWA00000X,1,2022, 1.1840888524535456e+04
REGION,S1D2,EGWA00000X,1,2022, 8020.73213949861
REGION,S2D1,EGWA00000X,1,2022, 1.1630359953619069e+04
REGION,S2D2,EGWA00000X,1,2022, 9.7048081881971557e+03
REGION,S3D1,EGWA00000X,1,2022, 2.0975778849115348e+04
REGION,S3D2,EGWA00000X,1,2022, 1.0088257622439933e+04
REGION,S4D1,EGWA00000X,1,2022, 1.8928692351945036e+04
REGION,S4D2,EGWA00000X,1,2022, 8.8662900099283615e+03
REGION,S1D1,EGWA00000X,1,2023, 2.2119673358331358e+04
REGION,S1D2,EGWA00000X,1,2023, 1.2053625054721460e+04
REGION,S2D1,EGWA00000X,1,2023, 1.3810559244043669e+04
REGION,S2D2,EGWA00000X,1,2023, 1.4044332522309391e+04
REGION,S3D1,EGWA00000X,1,2023, 1.8400645648059286e+04
REGION,S3D2,EGWA00000X,1,2023, 1.1582182864234361e+04
REGION,S4D1,EGWA00000X,1,2023, 1.2527602451274857e+04
REGION,S4D2,EGWA00000X,1,2023, 8.7367709622834627e+03
REGION,S1D1,EGWA00000X,1,2024, 2.1105624602877288e+04
REGION,S1D2,EGWA00000X,1,2024, 1.2433122516116648e+04
REGION,S2D1,EGWA00000X,1,2024, 1.4882699919980731e+04
REGION,S2D2,EGWA00000X,1,2024, 1.2669553460128505e+04
REGION,S3D1,EGWA00000X,1,2024, 1.8491766070008227e+04
REGION,S3D2,EGWA00000X,1,2024, 1.1843967973986142e+04
REGION,S4D1,EGWA00000X,1,2024, 1.4508090705891263e+04
REGION,S4D2,EGWA00000X,1,2024, 9.1118076030394532e+03
REGION,S1D1,EGWA00000X,1,2025, 1.4227146371295144e+04
REGION,S1D2,EGWA00000X,1,2025, 1.3752836816062378e+04
REGION,S2D1,EGWA00000X,1,2025, 1.6274474923487076e+04
REGION,S2D2,EGWA00000X,1,2025, 1.3253241791003926e+04
REGION,S3D1,EGWA00000X,1,2025, 2.0884762970906613e+04
REGION,S3D2,EGWA00000X,1,2025, 1.2000816764292827e+04
REGION,S4D1,EGWA00000X,1,2025, 2.2187957420675386e+04
REGION,S4D2,EGWA00000X,1,2025, 1.2864494349533088e+04
REGION,S1D1,EGWA00000X,1,2026, 2.0458032372099187e+04
REGION,S1D2,EGWA00000X,1,2026, 1.1759199295728104e+04
REGION,S2D1,EGWA00000X,1,2026, 1.4613554433322503e+04
REGION,S2D2,EGWA00000X,1,2026, 1.2436838394535635e+04
REGION,S3D1,EGWA00000X,1,2026, 1.3685425905069040e+04
REGION,S3D2,EGWA00000X,1,2026, 1.2406871591775467e+04
REGION,S4D1,EGWA00000X,1,2026, 1.5628184776240645e+04
REGION,S4D2,EGWA00000X,1,2026, 1.0957298508642327e+04
REGION,S1D1,EGWA00000X,1,2027, 1.3619543954716863e+04
REGION,S1D2,EGWA00000X,1,2027, 1.1773459297868505e+04
REGION,S2D1,EGWA00000X,1,2027, 1.4485848540130179e+04
REGION,S2D2,EGWA00000X,1,2027, 1.4726768837027093e+04
REGION,S3D1,EGWA00000X,1,2027, 2.0786809588741184e+04
REGION,S3D2,EGWA00000X,1,2027, 1.2104427652824683e+04
REGION,S4D1,EGWA00000X,1,2027, 1.4603438118771557e+04
REGION,S4D2,EGWA00000X,1,2027, 9.0241111095916058e+03
REGION,S1D1,EGWA00000X,1,2028, 1.4008347227595330e+04
REGION,S1D2,EGWA00000X,1,2028, 1.5894311962117259e+04
REGION,S2D1,EGWA00000X,1,2028, 1.3738485898200948e+04
REGION,S2D2,EGWA00000X,1,2028, 1.2208675535092658e+04
REGION,S3D1,EGWA00000X,1,2028, 1.8442228806937386e+04
REGION,S3D2,EGWA00000X,1,2028, 1.0352877556821721e+04
REGION,S4D1,EGWA00000X,1,2028, 1.3169872721639282e+04
REGION,S4D2,EGWA00000X,1,2028, 1.1200883689754051e+04
REGION,S1D1,EGWA00000X,1,2029, 1.7505304606692909e+04
REGION,S1D2,EGWA00000X,1,2029, 1.1906751306949442e+04
REGION,S2D1,EGWA00000X,1,2029, 1.6368227126661694e+04
