r,t,y,AnnualVariableOperatingCost
REGION,EGCO00P00X,2016, 7.8884210526316241e-05
REGION,EGCO00P00X,2017, 8.6275661052632091e-05
REGION,EGCO00P00X,2018, 9.4359690493263718e-05
REGION,EGCO00P00X,2019, 1.0320119349248250e-04
REGION,EGCO00P00X,2020, 1.1287114532272801e-04
REGION,EGCO00P00X,2021, 1.1184401790029118e-04
REGION,EGCO00P00X,2022, 1.1082623733739778e-04
REGION,EGCO00P00X,2023, 1.0981771857762738e-04
REGION,EGCO00P00X,2024, 1.0881837733857159e-04
REGION,EGCO00P00X,2025, 1.0782813010479116e-04
REGION,EGCO00P00X,2026, 1.0684689412083747e-04
REGION,EGCO00P00X,2027, 1.0587458738433686e-04
REGION,EGCO00P00X,2028, 1.0491112863913960e-04
REGION,EGCO00P00X,2029, 1.0395643736852339e-04
REGION,EGCO00P00X,2030, 1.0301043378846980e-04
REGION,EGCO00P00X,2031, 8.8753789752145593e-05
REGION,EGCO00P00X,2032, 7.6470265250448645e-05
REGION,EGCO00P00X,2033, 6.5886780539786544e-05
REGION,EGCO00P00X,2034, 5.6768050113080118e-05
REGION,EGCO00P00X,2035, 4.89113519774298e-05
REGION,EGCO00P00X,2036, 4.2142020863753492e-05
REGION,EGCO00P00X,2037, 3.6309565176210209e-05
REGION,EGCO00P00X,2038, 3.1284321355822711e-05
REGION,EGCO00P00X,2039, 2.6954571280176895e-05
REGION,EGCO00P00X,2040, 2.3224058615000450e-05
REGION,EGCO00P00X,2041, 2.0764630807671909e-05
REGION,EGCO00P00X,2042, 1.8565656405139373e-05
REGION,EGCO00P00X,2043, 1.6599553391835149e-05
REGION,EGCO00P00X,2044, 1.4841660687639771e-05
REGION,EGCO00P00X,2045, 1.3269928820818707e-05
REGION,EGCO00P00X,2046, 1.1864643358694068e-05
REGION,EGCO00P00X,2047, 1.0608177627008377e-05
REGION,EGCO00P00X,2048, 9.48477161630816e-06
REGION,EGCO00P00X,2049, 8.4803343021411234e-06
REGION,EGCO00P00X,2050, 7.5822668995443810e-06
REGION,EGCO00P00X,2051, 6.5263157894737219e-06
REGION,EGCO00P00X,2052, 6.0613764528685618e-06
REGION,EGCO00P00X,2053, 5.4194766865097790e-06
REGION,EGCO00P00X,2054, 4.8455541054083966e-06
REGION,EGCO00P00X,2055, 4.3324099256456463e-06
REGION,EGCO00P00X,2056, 3.87360771451977e-06
REGION,EGCO00P00X,2057, 3.4633926575521254e-06
REGION,EGCO00P00X,2058, 3.0966193751173549e-06
REGION,EGCO00P00X,2059, 2.7686873832924270e-06
REGION,EGCO00P00X,2060, 2.4754833894017617e-06
REGION,EGCO00P00X,2061, 2.2133296984641181e-06
REGION,EGCO00P00X,2062, 1.9789380833967587e-06
REGION,EGCO00P00X,2063, 1.7693685403650417e-06
REGION,EGCO00P00X,2064, 1.5819924119403882e-06
REGION,EGCO00P00X,2065, 1.4144594155159030e-06
REGION,EGCO00P00X,2066, 1.2646681634127653e-06
REGION,EGCO00P00X,2067, 1.1307398049073540e-06
REGION,EGCO00P00X,2068, 1.0109944595676669e-06
REGION,EGCO00P00X,2069, 9.0393014629945052e-07
REGION,EGCO00P00X,2070, 8.0820394380633837e-07
REGION,EGLF00P00X,2015, 0.00934501315865628
REGION,EGLF00P00X,2016, 9.2043517903875310e-03
REGION,EGLF00P00X,2017, 9.0636904221187819e-03
REGION,EGLF00P00X,2018, 8.9230290538500363e-03
REGION,EGLF00P00X,2019, 8.7823676855812785e-03
REGION,EGLF00P00X,2020, 8.6417063173125312e-03
REGION,EGLF00P00X,2021, 8.7121441900687713e-03
REGION,EGLF00P00X,2022, 8.7825820628250253e-03
REGION,EGLF00P00X,2023, 8.8530199355812758e-03
REGION,EGLF00P00X,2024, 8.9234578083375315e-03
REGION,EGLF00P00X,2025, 8.9938956810937821e-03
REGION,EGLF00P00X,2026, 9.0643335538500222e-03
REGION,EGLF00P00X,2027, 9.1347714266062727e-03
REGION,EGLF00P00X,2028, 9.2052092993625215e-03
REGION,EGLF00P00X,2029, 9.2756471721187738e-03
REGION,EGLF00P00X,2030, 9.3460850448750139e-03
REGION,EGLF00P00X,2031, 8.8199423838562548e-03
