,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass
0,2015.0,0.0,2.92,30.798,2.8,0.0,0.0,0.01,0.0,0.791,0.832
1,2016.0,0.0,4.442,31.948,2.8,0.0,0.0,0.04,0.0,0.991,1.082
2,2017.0,0.0,4.442,33.028,2.8,0.0,0.0,0.04,0.0,0.991,1.082
3,2018.0,0.0,4.442,49.378,2.832,0.0,0.0,0.09,0.0,1.331,1.082
4,2019.0,0.0,4.442,49.378,2.832,0.0,0.0,0.09,0.0,1.331,1.082
5,2020.0,0.0,4.442,49.378,2.832,0.0,0.0,0.19,0.0,1.331,1.082
6,2021.0,0.0,4.364,47.979,2.832,0.0,0.8,0.64,0.0,1.553,1.24
7,2022.0,0.0,4.285,46.578,2.832,0.0,0.8,0.99,0.0,1.776,1.317
8,2023.0,0.0,4.206,45.179,2.832,0.0,0.8,0.99,0.0,1.998,1.375
9,2024.0,0.0,4.128,43.778,2.832,0.0,0.8,0.99,0.0,2.221,1.434
10,2025.0,3.0,4.049,42.379,2.832,0.0,0.8,0.99,0.0,2.443,1.284
11,2026.0,6.0,3.972,40.98,2.832,0.0,0.8,0.99,0.0,2.666,1.342
12,2027.0,6.0,3.893,39.578,2.832,0.0,0.8,0.99,0.0,2.888,1.401
13,2028.0,6.0,3.814,38.178,2.832,0.0,0.8,1.24,0.0,3.111,1.459
14,2029.0,6.0,3.736,36.778,2.832,0.0,0.8,1.49,0.0,3.333,1.518
15,2030.0,6.0,3.656,35.378,2.832,0.0,0.8,1.74,0.0,3.556,1.576
16,2031.0,6.0,3.578,33.978,2.832,0.0,0.8,2.861,0.0,4.028,1.534
17,2032.0,6.0,3.5,32.578,2.832,0.0,0.8,3.74,0.0,4.5,1.493
18,2033.0,6.0,3.421,31.179,2.832,0.0,0.8,4.34,0.0,4.973,1.451
19,2034.0,6.0,3.343,29.779,2.832,0.0,0.8,4.94,0.3,5.445,1.41
20,2035.0,6.0,3.264,28.379,2.832,0.0,0.8,5.54,0.6,5.918,1.368
21,2036.0,6.0,3.185,26.98,2.832,0.0,0.8,6.14,1.45,6.39,1.368
22,2037.0,6.0,3.107,25.579,2.832,0.0,0.8,6.74,1.75,6.863,1.368
23,2038.0,6.0,3.029,24.179,2.832,0.471,0.8,7.34,2.05,7.335,1.368
24,2039.0,6.0,2.951,22.779,2.832,0.971,0.8,7.94,2.35,7.808,1.368
25,2040.0,6.0,1.522,20.735,2.832,1.471,0.8,8.53,2.65,8.04,1.368
26,2041.0,6.0,0.0,20.375,2.832,1.971,0.8,9.35,2.65,8.59,1.468
27,2042.0,6.0,0.0,20.233,2.832,2.471,0.8,10.2,2.65,9.34,1.568
28,2043.0,6.0,0.0,19.211,2.832,2.5,0.8,11.0,2.65,10.5,1.618
29,2044.0,6.0,0.0,20.156,2.832,2.5,0.8,11.85,2.65,12.0,1.618
30,2045.0,6.0,0.0,20.396,2.832,2.5,0.8,12.6,2.65,13.5,1.618
31,2046.0,6.0,0.0,21.7,2.832,2.5,0.0,13.2,2.65,14.75,1.618
32,2047.0,6.0,0.0,22.242,2.832,2.5,0.0,13.8,2.65,16.0,1.618
33,2048.0,6.0,0.0,15.353,2.832,2.5,1.5,14.65,2.65,17.25,1.618
34,2049.0,6.0,0.0,16.084,2.832,2.5,2.555,15.5,2.65,18.5,1.618
35,2050.0,6.0,0.0,16.177,2.832,2.5,4.055,16.35,2.65,19.75,1.618
36,2051.0,6.0,0.0,16.177,2.832,2.956,4.055,17.2,2.65,21.0,1.718
37,2052.0,6.0,0.0,16.177,2.832,3.269,4.055,18.05,2.65,22.25,1.818
38,2053.0,6.0,0.0,16.177,2.832,3.5,4.055,18.65,2.65,23.5,1.868
39,2054.0,6.0,0.0,16.177,2.832,3.5,5.346,19.25,2.65,24.75,1.868
40,2055.0,3.0,0.0,18.881,2.832,3.5,5.429,19.85,2.65,26.0,1.868
41,2056.0,0.0,0.0,23.008,2.832,3.5,5.429,20.2,2.65,27.0,1.618
42,2057.0,0.0,0.0,23.896,2.832,3.5,5.679,20.55,2.65,28.0,1.618
43,2058.0,0.0,0.0,24.437,2.832,3.5,6.639,20.9,2.65,29.0,1.618
44,2059.0,0.0,0.0,24.942,2.832,3.5,7.748,21.25,2.65,30.0,1.618
45,2060.0,0.0,0.0,24.942,2.832,3.5,9.45,21.6,2.65,31.0,1.618
46,2061.0,0.0,0.0,24.942,2.832,3.5,10.721,22.2,2.65,32.5,1.518
47,2062.0,0.0,0.0,24.973,2.832,3.5,12.012,22.8,2.65,34.0,1.5
48,2063.0,0.0,0.0,25.001,2.832,3.5,13.362,23.4,2.65,35.5,1.5
49,2064.0,0.0,0.0,25.014,2.832,3.5,14.801,24.0,2.65,37.0,1.5
50,2065.0,0.0,0.0,25.014,2.832,3.5,16.331,24.6,2.65,38.5,1.5
51,2066.0,0.0,0.0,25.014,2.832,3.5,18.307,24.95,2.65,39.75,1.5
52,2067.0,0.7,0.0,25.014,2.832,3.5,19.2,25.3,2.65,41.0,1.5
53,2068.0,2.267,0.0,25.014,2.832,3.5,19.6,25.65,2.65,41.5,1.5
54,2069.0,3.897,0.0,25.014,2.832,3.5,20.0,26.0,2.65,42.0,1.5
55,2070.0,4.5,0.0,26.105,2.832,3.5,20.4,26.35,2.65,42.5,1.5
