,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,power_trade
0,2015.0,0.0,35.47,437.88,66.14,0.0,0.0,0.07,0.0,9.92,11.96,3.18
1,2016.0,0.0,27.36,451.22,66.14,0.0,0.0,0.27,0.0,12.43,15.92,0.0
2,2017.0,0.0,7.57,470.5,66.14,0.0,0.0,0.27,0.0,12.43,15.92,9.23
3,2018.0,0.0,7.57,476.29,67.09,0.0,0.0,0.6,0.0,16.69,15.92,6.61
4,2019.0,0.0,7.57,494.07,67.09,0.0,0.0,0.6,0.0,16.69,15.92,-2.34
5,2020.0,0.0,7.57,498.43,67.09,0.0,0.0,1.27,0.0,16.69,15.92,1.23
6,2021.0,0.0,7.19,483.66,67.09,0.0,11.72,4.59,0.0,19.48,19.83,59.76
7,2022.0,0.0,6.83,515.7,67.09,0.0,11.72,7.08,0.0,22.27,22.46,57.52
8,2023.0,0.0,6.44,536.58,67.09,0.0,11.72,7.08,0.0,25.06,24.79,35.97
9,2024.0,0.0,6.06,544.5,67.09,0.0,11.72,7.08,0.0,27.85,27.13,27.35
10,2025.0,66.53,5.68,467.94,67.09,0.0,11.72,7.08,0.0,30.64,26.47,39.68
11,2026.0,0.0,5.3,565.2,67.09,0.0,11.72,7.08,0.0,33.43,28.81,8.26
12,2027.0,0.0,4.92,565.73,67.09,0.0,11.72,7.08,0.0,36.22,31.14,7.03
13,2028.0,0.0,4.55,560.04,67.09,0.0,11.72,8.74,0.0,39.01,33.47,10.34
14,2029.0,0.0,4.17,561.49,67.09,0.0,11.72,10.41,0.0,41.8,35.82,6.5
15,2030.0,0.0,3.79,536.32,67.09,0.0,11.72,12.08,0.0,44.59,38.15,29.26
16,2031.0,0.0,3.4,545.38,67.09,0.0,11.72,20.1,0.0,50.52,37.55,23.35
17,2032.0,0.0,3.02,550.35,67.09,0.0,11.72,27.02,0.0,56.44,36.95,22.77
18,2033.0,0.0,2.65,557.93,67.09,0.0,11.72,31.17,0.0,62.37,36.36,22.62
19,2034.0,1.84,2.28,556.67,67.09,0.0,11.72,35.34,2.1,68.29,35.76,27.32
20,2035.0,7.98,1.9,544.0,67.09,0.0,11.72,39.5,4.2,74.22,35.16,39.09
21,2036.0,10.41,1.53,514.99,67.09,0.0,11.72,43.65,10.15,80.15,35.16,66.44
22,2037.0,8.27,1.13,477.08,67.09,0.0,11.72,47.82,12.25,86.07,35.16,111.07
23,2038.0,6.37,0.76,437.83,67.09,12.61,11.72,51.99,14.35,92.0,35.16,144.16
24,2039.0,5.84,0.37,394.42,67.09,26.02,11.72,56.14,16.45,97.92,35.16,179.22
25,2040.0,0.0,0.0,393.93,67.09,39.42,11.72,60.25,18.55,100.84,35.16,179.7
26,2041.0,0.0,0.0,393.01,67.09,52.82,11.72,65.87,18.55,107.74,38.09,179.76
27,2042.0,0.0,0.0,389.59,67.09,66.22,11.72,71.71,18.55,117.14,41.02,179.55
28,2043.0,1.74,0.0,392.99,67.09,67.01,11.72,77.2,18.55,131.91,42.49,179.76
29,2044.0,0.0,0.0,397.85,67.09,67.01,11.72,83.02,18.55,150.94,42.49,179.59
30,2045.0,0.0,0.0,401.24,67.09,67.01,11.72,88.2,18.55,169.98,42.49,179.75
