,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2023.0,0.0,2.08,75.56,8388.14,0.0,0.01,0.24,100.06,63.3,1.75
1,2024.0,0.0,1.96,77.63,8388.14,0.01,0.01,0.24,101.4,64.44,1.8
2,2025.0,9.56,1.84,78.93,8388.14,0.03,0.01,3.21,102.75,65.58,1.83
3,2026.0,19.12,1.71,69.76,8388.14,0.04,0.01,1.33,103.05,65.84,1.77
4,2027.0,19.12,1.58,70.96,8388.14,0.05,0.01,0.0,94.08,58.21,1.79
5,2028.0,19.12,1.46,70.41,8388.14,0.06,0.01,0.0,85.1,50.58,1.81
6,2029.0,19.12,1.35,70.63,8388.14,0.07,0.01,0.0,76.12,42.94,1.82
7,2030.0,19.12,1.21,69.36,8388.14,0.09,0.01,0.0,54.43,24.5,1.83
8,2031.0,19.12,1.1,71.5,8388.14,0.16,0.01,0.0,0.0,0.0,1.86
9,2032.0,19.12,2.39,73.28,8388.14,0.19,0.02,0.0,0.0,0.0,1.9
10,2033.0,19.12,4.4,74.96,8388.14,0.21,0.02,0.0,0.0,0.0,1.93
11,2034.0,22.31,6.16,74.25,8388.14,0.24,0.02,0.0,0.0,0.0,1.94
12,2035.0,25.49,6.14,75.59,8388.14,0.27,0.02,0.0,0.0,0.0,1.96
13,2036.0,28.68,5.96,77.27,8388.14,0.3,0.02,0.0,0.0,0.0,1.57
14,2037.0,31.87,5.79,78.88,8388.14,0.33,0.02,0.0,0.0,0.0,1.47
15,2038.0,35.05,5.59,80.43,8388.14,0.35,0.03,0.0,0.0,4.77,1.48
16,2039.0,38.24,5.35,78.03,8388.14,0.37,0.03,0.0,0.0,4.77,1.5
17,2040.0,41.43,2.17,78.33,8388.14,0.4,0.03,0.0,0.0,4.77,1.08
18,2041.0,43.02,0.0,80.18,8388.14,0.44,0.03,0.0,0.0,4.77,0.58
19,2042.0,44.61,0.0,82.09,8388.14,0.47,0.03,0.0,0.0,4.77,0.0
20,2043.0,46.21,0.0,84.47,8388.14,0.51,0.03,0.0,0.0,4.77,0.0
21,2044.0,47.8,0.0,87.0,8388.14,0.55,0.04,0.0,0.0,4.77,0.0
22,2045.0,49.39,0.0,89.46,8388.14,0.59,0.04,0.0,0.0,4.77,0.0
23,2046.0,49.39,0.0,92.61,8388.14,0.59,0.04,0.0,0.0,4.77,0.0
24,2047.0,49.39,0.0,96.56,8388.14,0.6,0.04,0.0,0.0,4.77,0.0
25,2048.0,54.17,0.0,108.03,8388.14,0.6,0.04,0.0,0.0,4.77,0.0
26,2049.0,55.77,0.0,108.44,8388.14,0.59,0.05,0.0,0.0,4.77,0.0
27,2050.0,57.36,0.0,111.86,8388.14,0.6,0.05,0.0,0.0,4.77,0.0
28,2051.0,58.95,0.0,115.69,8388.14,0.59,0.05,0.0,0.0,4.77,0.0
29,2052.0,60.55,0.0,119.72,8388.14,0.58,0.05,0.0,0.0,4.77,0.0
30,2053.0,62.14,0.0,123.92,8388.14,0.57,0.05,0.0,0.0,4.77,0.0
31,2054.0,63.73,0.0,128.53,8388.14,0.55,0.05,0.0,0.0,4.77,0.0
32,2055.0,58.95,0.0,141.51,8388.14,0.32,0.06,0.0,0.0,0.0,0.0
33,2056.0,54.17,0.0,151.8,8388.14,0.31,0.06,0.0,0.0,0.0,0.0
34,2057.0,58.95,0.0,154.62,8388.14,0.3,0.06,0.0,0.0,0.0,0.0
35,2058.0,63.73,0.0,160.43,8388.14,0.24,0.06,0.0,0.0,0.0,0.0
36,2059.0,68.51,0.0,163.39,8388.14,0.26,0.06,0.0,0.0,0.0,0.0
37,2060.0,73.29,0.0,166.62,8388.14,0.26,0.06,0.0,0.0,0.0,0.0
38,2061.0,74.89,0.0,172.36,8388.14,0.26,0.06,0.0,0.0,0.0,0.0
39,2062.0,76.48,0.0,178.37,8388.14,0.26,0.06,0.0,0.0,0.0,0.0
40,2063.0,78.07,0.0,183.79,8388.14,0.23,0.07,0.0,0.0,0.0,0.0
41,2064.0,79.67,0.0,190.44,8388.14,0.24,0.07,0.0,0.0,0.0,0.0
42,2065.0,81.26,0.0,195.81,8388.14,0.24,0.07,0.0,0.0,0.0,0.0
43,2066.0,82.85,0.0,201.98,8388.14,0.25,0.07,0.0,0.0,0.0,0.0
44,2067.0,84.45,0.0,208.59,8388.14,0.25,0.08,0.0,0.0,0.0,0.0
45,2068.0,86.04,0.0,214.31,8388.14,0.25,0.08,0.0,0.0,0.0,0.0
46,2069.0,87.63,0.0,221.83,8388.14,0.27,0.08,0.0,0.0,0.0,0.0
47,2070.0,89.23,0.0,229.8,8388.14,0.27,0.09,0.0,0.0,0.0,0.0
