,y,Solar PV (utility),Solar PV (roof top),Solar PV with storage
3,2024.0,0.25,0.0,0.0
4,2025.0,0.25,0.0,0.0
5,2026.0,0.25,0.0,0.0
6,2027.0,0.25,0.0,0.0
7,2028.0,0.25,0.0,0.0
8,2029.0,0.25,0.0,0.0
9,2030.0,0.25,0.25,0.030691946999298843
10,2031.0,0.5,0.3500000000000022,0.5
11,2032.0,0.5,0.050000000000001224,0.11930805300070514
12,2033.0,0.5,0.05000000000000088,0.05000000000000131
13,2034.0,0.5,0.050000000000000704,0.05000000000000121
14,2035.0,0.5,0.05000000000000039,0.05000000000000007
15,2036.0,0.5,0.05000000000000117,0.050000000000000704
16,2037.0,0.5,0.05000000000000209,0.05000000000000234
17,2038.0,0.5,0.050000000000001446,0.05000000000000094
18,2039.0,0.5,0.05000000000000138,0.05000000000000123
19,2040.0,0.5,0.049999999999988595,0.049999999999999385
20,2041.0,0.75,0.05000000000000006,0.050000000000004256
21,2042.0,0.75,0.04999999999999982,0.04999999999999991
22,2043.0,0.75,0.049999999999999975,0.05000000000000209
23,2044.0,0.75,0.05,0.0499999999999998
24,2045.0,0.75,0.050000000000000044,0.04999999999999915
25,2046.0,0.0,0.05000000000000003,0.05000000000000294
26,2047.0,0.0,0.05000000000002276,0.049999999999998844
27,2048.0,0.0,0.049999999999977174,0.05000000000000316
28,2049.0,0.0,0.049999999999999975,0.0500000000000024
29,2050.0,0.0,0.30000000000000027,0.08069194699930293
30,2051.0,0.0,0.40000000000000213,0.5499999999999983
31,2052.0,0.0,0.10000000000000098,0.1693080530007064
32,2053.0,0.0,0.10000000000000098,0.1000000000000002
33,2054.0,0.0,0.10000000000000075,0.10000000000000309
34,2055.0,0.0,0.10000000000002363,0.09999999999999909
35,2056.0,0.0,0.0999999999999781,0.10000000000000231
36,2057.0,0.0,0.10000000000000187,0.10000000000000409
37,2058.0,0.0,0.10000000000000142,0.10000000000000053
38,2059.0,0.0,0.1000000000000334,0.10000000000000275
39,2060.0,0.0,0.09999999999999032,0.10000000000000009
40,2061.0,0.0,0.09999999999999987,0.10000000000000542
41,2062.0,0.0,0.10000000000000098,0.10000000000000109
42,2063.0,0.0,0.09999999999996612,0.10000000000000064
43,2064.0,0.0,0.09999999999999964,0.10000000000000131
44,2065.0,0.0,0.09999999999999964,0.09999999999999509
45,2066.0,0.0,0.10000000000000009,0.10000000000000098
46,2067.0,0.0,0.10000000000005649,0.09999999999999964
47,2068.0,0.0,0.09999999999997655,0.10000000000000187
48,2069.0,0.0,0.10000000000000009,0.10000000000000586
49,2070.0,0.0,0.3500000000000054,0.13069194699930664
