,y,Coal,Oil,Gas,Solar CSP,Solar PV,Wind,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2023.0,0.0,2.08,75.58,0.0,0.03,0.01,0.24,100.06,63.3,1.75
1,2024.0,0.0,1.96,77.28,0.0,0.04,0.01,0.24,101.4,64.44,1.8
2,2025.0,9.56,1.84,78.58,0.0,0.05,0.01,3.21,102.75,65.58,1.83
3,2026.0,19.12,1.71,68.68,0.0,0.06,0.01,1.33,103.05,65.84,1.74
4,2027.0,19.12,1.58,65.8,0.0,0.07,0.01,0.0,94.08,58.21,1.73
5,2028.0,19.12,1.46,61.83,0.0,0.08,0.01,0.0,85.1,50.58,1.71
6,2029.0,19.12,1.35,58.4,0.0,0.09,0.01,0.0,76.12,42.94,1.7
7,2030.0,19.12,1.21,56.74,0.0,0.11,0.01,0.0,54.43,24.5,1.7
8,2031.0,19.12,1.1,58.49,0.0,0.15,0.01,0.0,0.0,0.0,1.74
9,2032.0,19.12,0.98,58.88,0.0,0.2,0.02,0.0,0.0,0.0,1.77
10,2033.0,19.12,0.85,61.24,0.0,0.23,0.02,0.0,0.0,0.0,1.81
11,2034.0,19.12,5.45,62.18,0.0,0.27,0.02,0.0,0.0,0.0,1.83
12,2035.0,22.31,6.14,62.62,0.0,0.29,0.02,0.0,0.0,0.0,1.85
13,2036.0,25.49,5.96,64.21,0.0,0.32,0.02,0.0,0.0,0.0,1.87
14,2037.0,28.68,5.79,65.85,0.0,0.35,0.02,0.0,0.0,0.0,1.47
15,2038.0,31.87,5.59,67.61,0.0,0.37,0.03,0.0,0.0,4.77,1.37
16,2039.0,35.05,5.36,66.12,0.0,0.39,0.03,0.0,0.0,4.77,1.39
17,2040.0,38.24,2.17,66.51,0.0,0.42,0.03,0.0,0.0,4.77,1.3
18,2041.0,43.02,0.0,65.91,0.0,0.46,0.03,0.0,0.0,4.77,0.99
19,2042.0,44.61,0.0,67.83,0.0,0.5,0.03,0.0,0.0,4.77,0.33
20,2043.0,46.21,0.0,69.89,0.0,0.54,0.03,0.0,0.0,4.77,0.0
21,2044.0,47.8,0.0,72.42,0.0,0.57,0.04,0.0,0.0,4.77,0.0
22,2045.0,49.39,0.0,74.88,0.0,0.61,0.04,0.0,0.0,4.77,0.0
23,2046.0,49.39,0.0,77.21,0.0,0.64,0.04,0.0,0.0,4.77,0.0
24,2047.0,49.39,0.0,81.38,0.0,0.67,0.04,0.0,0.0,4.77,0.0
25,2048.0,54.17,0.0,91.66,0.0,0.69,0.04,0.0,0.0,4.77,0.0
26,2049.0,55.77,0.0,91.92,0.0,0.71,0.05,0.0,0.0,4.77,0.0
27,2050.0,57.36,0.0,94.7,0.0,0.76,0.05,0.0,0.0,4.77,0.0
28,2051.0,58.95,0.0,97.99,0.0,0.78,0.05,0.0,0.0,4.77,0.0
29,2052.0,60.55,0.0,101.48,0.0,0.8,0.05,0.0,0.0,4.77,0.0
30,2053.0,62.14,0.0,105.18,0.0,0.83,0.05,0.0,0.0,4.77,0.0
31,2054.0,63.73,0.0,109.06,0.0,0.85,0.05,0.0,0.0,4.77,0.0
32,2055.0,58.95,0.0,118.25,0.0,0.88,0.06,0.0,0.0,0.0,0.0
33,2056.0,54.17,0.0,128.11,0.0,0.9,0.06,0.0,0.0,0.0,0.0
34,2057.0,58.95,0.0,130.53,0.0,0.91,0.06,0.0,0.0,0.0,0.0
35,2058.0,63.73,0.0,133.2,0.0,0.92,0.06,0.0,0.0,0.0,0.0
36,2059.0,68.51,0.0,136.12,0.0,0.96,0.06,0.0,0.0,0.0,0.0
37,2060.0,73.29,0.0,139.34,0.0,0.97,0.06,0.0,0.0,0.0,0.0
38,2061.0,74.89,0.0,144.81,0.0,0.99,0.06,0.0,0.0,0.0,0.0
39,2062.0,76.48,0.0,150.55,0.0,1.02,0.06,0.0,0.0,0.0,0.0
40,2063.0,78.07,0.0,156.58,0.0,1.04,0.07,0.0,0.0,0.0,0.0
41,2064.0,79.67,0.0,160.65,0.64,1.07,0.07,0.0,0.0,0.0,0.0
42,2065.0,81.26,0.0,163.62,1.34,1.09,0.07,0.0,0.0,0.0,0.0
43,2066.0,82.85,0.0,167.31,2.05,1.11,0.07,0.0,0.0,0.0,0.0
44,2067.0,84.45,0.0,171.31,2.76,1.12,0.08,0.0,0.0,0.0,0.0
45,2068.0,86.04,0.0,175.4,3.46,1.13,0.08,0.0,0.0,0.0,0.0
46,2069.0,87.63,0.0,182.52,3.53,1.17,0.08,0.0,0.0,0.0,0.0
47,2070.0,89.23,0.0,186.92,4.49,1.18,0.09,0.0,0.0,0.0,0.0
