,y,CO2
8,2023,216.9451
9,2024,223.6419
10,2025,246.6439
11,2026,258.7458
12,2027,259.6766
13,2028,259.6194
14,2029,260.0574
15,2030,261.918
16,2031,266.1155
17,2032,270.4519
18,2033,275.0162
19,2034,281.6747
20,2035,291.0574
21,2036,300.3076
22,2037,309.5622
23,2038,319.0361
24,2039,327.8618
25,2040,324.6474
26,2041,302.8274
27,2042,310.4662
28,2043,317.6945
29,2044,323.9064
30,2045,330.1064
31,2046,334.407
32,2047,339.0727
33,2048,350.2252
34,2049,356.9402
35,2050,363.4462
36,2051,370.5753
37,2052,377.8866
38,2053,385.3855
39,2054,393.0777
40,2055,393.0067
41,2056,393.602
42,2057,406.2473
43,2058,419.1167
44,2059,432.217
45,2060,445.6151
46,2061,454.8035
47,2062,464.2397
48,2063,473.9594
49,2064,482.0063
50,2065,489.9972
51,2066,497.7349
52,2067,505.7689
53,2068,514.0871
54,2069,524.6827
55,2070,532.9251
