,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind
8,2023.0,0.0,4.206,45.179,2.832,0.0,0.0,0.59,0.0,1.998
9,2024.0,0.0,4.128,43.778,2.832,0.0,0.0,0.84,0.0,2.221
10,2025.0,3.0,4.049,42.379,2.832,0.0,0.0,1.09,0.0,2.443
11,2026.0,6.0,3.972,40.98,2.832,1.2,0.0,1.34,0.0,2.666
12,2027.0,6.0,3.893,39.578,2.832,2.4,0.0,1.59,0.0,2.888
13,2028.0,6.0,3.814,38.178,2.832,3.6,0.0,1.84,0.3,3.111
14,2029.0,6.0,3.736,36.778,2.832,4.8,0.0,2.09,0.6,3.333
15,2030.0,6.0,3.656,35.378,2.832,4.8,0.0,2.59,0.9,3.556
16,2031.0,6.0,3.578,33.978,2.832,4.8,0.0,3.44,1.75,4.028
17,2032.0,6.0,3.5,32.578,2.832,4.8,0.0,4.49,2.05,4.5
18,2033.0,6.0,3.421,31.179,2.832,4.8,0.0,5.24,2.35,4.973
19,2034.0,6.0,3.343,29.991,2.832,4.8,0.0,5.84,2.65,5.445
20,2035.0,7.0,3.264,29.555,2.832,4.8,0.0,6.44,2.65,5.918
21,2036.0,8.0,3.185,29.175,2.832,4.8,0.0,7.04,2.65,6.39
22,2037.0,9.0,3.107,28.786,2.832,4.8,0.0,7.64,2.65,6.863
23,2038.0,10.0,3.029,28.405,2.832,4.8,0.0,8.24,2.65,7.335
24,2039.0,11.0,2.951,29.511,2.832,4.8,0.0,8.84,2.65,7.808
25,2040.0,12.0,1.522,29.876,2.832,4.8,0.0,9.43,2.65,8.04
26,2041.0,13.5,0.0,31.591,2.832,4.8,0.0,10.25,2.65,8.59
27,2042.0,14.0,0.0,32.633,2.832,4.8,0.0,11.1,2.65,9.34
28,2043.0,14.5,0.0,33.947,2.832,4.8,0.0,11.9,2.65,9.75
29,2044.0,15.0,0.0,35.195,2.832,4.8,0.0,12.75,2.65,10.5
30,2045.0,15.5,0.0,36.438,2.832,4.8,0.0,13.6,2.65,11.25
31,2046.0,15.5,0.0,41.22,2.832,4.8,0.0,14.45,2.65,11.75
32,2047.0,15.5,0.0,46.47,2.832,4.8,0.0,15.05,2.65,12.25
33,2048.0,17.0,0.0,38.07,2.832,4.8,0.0,15.65,2.65,12.75
34,2049.0,17.5,0.0,42.036,2.832,4.8,0.0,16.25,2.65,13.25
35,2050.0,18.0,0.0,43.444,2.832,4.8,0.0,16.85,2.65,13.75
36,2051.0,18.5,0.0,45.097,2.832,4.8,0.0,17.45,2.65,14.25
37,2052.0,19.0,0.0,46.838,2.832,4.8,0.0,18.05,2.65,14.75
38,2053.0,19.5,0.0,48.67,2.832,4.8,0.0,18.65,2.65,15.25
39,2054.0,20.0,0.0,50.595,2.832,4.8,0.0,19.25,2.65,15.75
40,2055.0,18.5,0.0,54.616,2.832,4.8,0.0,19.85,2.65,16.25
41,2056.0,17.0,0.0,58.928,2.832,4.8,0.0,20.2,2.65,16.5
42,2057.0,18.5,0.0,60.343,2.832,4.8,0.0,20.55,2.65,16.75
43,2058.0,20.0,0.0,61.865,2.832,4.8,0.0,20.9,2.65,17.0
44,2059.0,21.5,0.0,63.496,2.832,4.8,0.0,21.25,2.65,17.25
45,2060.0,23.0,0.0,65.243,2.832,4.8,0.0,21.6,2.65,17.5
46,2061.0,23.5,0.0,67.917,2.832,4.8,0.0,22.2,2.65,18.0
47,2062.0,24.0,0.0,70.713,2.832,4.8,0.0,22.8,2.65,18.5
48,2063.0,24.5,0.0,73.636,2.832,4.8,0.0,23.4,2.65,19.0
49,2064.0,25.0,0.0,75.69,2.832,4.8,1.8,24.0,2.65,19.5
50,2065.0,25.5,0.0,77.768,2.832,4.8,3.8,24.6,2.65,20.0
51,2066.0,26.0,0.0,79.731,2.832,4.8,5.8,24.95,2.65,21.25
52,2067.0,26.5,0.0,81.839,2.832,4.8,7.8,25.3,2.65,22.5
53,2068.0,27.0,0.0,84.097,2.832,4.8,9.8,25.65,2.65,23.75
54,2069.0,27.5,0.0,87.507,2.832,4.8,10.0,26.0,2.65,25.0
55,2070.0,28.0,0.0,89.542,2.832,4.8,12.2,26.35,2.65,26.25
