,y,Aswan 1 FPV,Aswan 2 FPV,High Aswan Dam FPV
0,2028.0,0.0,0.0,0.3
1,2029.0,0.0,0.0,0.6
2,2030.0,0.0,0.0,0.8999999999999999
3,2031.0,0.28,0.27,1.2
4,2032.0,0.28,0.27,1.5
5,2033.0,0.28,0.27,1.8
6,2034.0,0.28,0.27,2.1000000000000045
7,2035.0,0.28,0.27,2.1000000000000045
8,2036.0,0.28,0.27,2.1000000000000045
9,2037.0,0.28,0.27,2.1000000000000045
10,2038.0,0.28,0.27,2.1000000000000045
11,2039.0,0.28,0.27,2.1000000000000045
12,2040.0,0.28,0.27,2.1000000000000045
13,2041.0,0.28,0.27,2.1000000000000045
14,2042.0,0.28,0.27,2.1000000000000045
15,2043.0,0.28,0.27,2.1000000000000045
16,2044.0,0.28,0.27,2.1000000000000045
17,2045.0,0.28,0.27,2.1000000000000045
18,2046.0,0.28,0.27,2.1000000000000045
19,2047.0,0.28,0.27,2.1000000000000045
20,2048.0,0.28,0.27,2.1000000000000045
21,2049.0,0.28,0.27,2.1000000000000045
22,2050.0,0.28,0.27,2.1000000000000045
23,2051.0,0.28,0.27,2.1000000000000045
24,2052.0,0.28,0.27,2.1000000000000045
25,2053.0,0.28,0.27,2.100000000000026
26,2054.0,0.28,0.27,2.100000000000027
27,2055.0,0.28,0.27,2.100000000000028
28,2056.0,0.28,0.27,2.1000000000000316
29,2057.0,0.28,0.27,2.1000000000000307
30,2058.0,0.28,0.27,2.10000000000003
31,2059.0,0.28,0.27,2.1
32,2060.0,0.28,0.27,2.1
33,2061.0,0.28,0.27,2.1
34,2062.0,0.28,0.27,2.1
35,2063.0,0.28,0.27,2.1
36,2064.0,0.28,0.27,2.1
37,2065.0,0.28,0.27,2.1
38,2066.0,0.28,0.27,2.1
39,2067.0,0.28,0.27,2.1
40,2068.0,0.28,0.27,2.1
41,2069.0,0.28,0.27,2.1
42,2070.0,0.28,0.27,2.1
