,y,Coal,Gas,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind
6,2023.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
7,2024.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
8,2025.0,3.0,0.0,0.0,0.0,0.25,0.0,0.25
9,2026.0,3.0,0.0,1.2,0.0,0.25,0.0,0.25
10,2027.0,0.0,0.0,1.2,0.0,0.25,0.0,0.25
11,2028.0,0.0,0.0,1.2,0.0,0.25,0.3,0.25
12,2029.0,0.0,0.0,1.2,0.0,0.25,0.3,0.25
13,2030.0,0.0,0.0,0.0,0.0,0.5,0.3,0.25
14,2031.0,0.0,0.0,0.0,0.0,0.85,0.85,0.5
15,2032.0,0.0,0.0,0.0,0.0,1.05,0.3,0.5
16,2033.0,0.0,0.0,0.0,0.0,0.75,0.3,0.5
17,2034.0,0.0,0.212,0.0,0.0,0.6,0.3,0.5
18,2035.0,1.0,0.964,0.0,0.0,0.6,0.0,0.5
19,2036.0,1.0,1.019,0.0,0.0,0.6,0.0,0.5
20,2037.0,1.0,1.012,0.0,0.0,0.6,0.0,0.5
21,2038.0,1.0,1.018,0.0,0.0,0.6,0.0,0.5
22,2039.0,1.0,2.507,0.0,0.0,0.6,0.0,0.5
23,2040.0,1.0,3.714,0.0,0.0,0.6,0.0,0.5
24,2041.0,1.5,2.365,0.0,0.0,0.85,0.0,0.75
25,2042.0,0.5,1.372,0.0,0.0,0.85,0.0,0.75
26,2043.0,0.5,3.263,0.0,0.0,0.85,0.0,0.75
27,2044.0,0.5,1.248,0.0,0.0,0.85,0.0,0.75
28,2045.0,0.5,2.093,0.0,0.0,0.85,0.0,0.75
29,2046.0,0.0,5.282,0.0,0.0,0.85,0.0,0.75
30,2047.0,0.0,6.0,0.0,0.0,0.85,0.0,0.75
31,2048.0,1.5,6.0,0.0,0.0,0.85,0.0,0.75
32,2049.0,0.5,3.966,0.0,0.0,0.85,0.0,0.75
33,2050.0,0.5,1.408,0.0,0.0,1.1,0.0,0.75
34,2051.0,0.5,1.654,0.0,0.0,1.2,0.0,0.75
35,2052.0,0.5,1.741,0.0,0.0,1.4,0.0,0.75
36,2053.0,0.5,1.831,0.0,0.0,1.1,0.3,0.75
37,2054.0,0.5,1.925,0.0,0.0,0.95,0.3,0.75
38,2055.0,1.5,4.022,0.0,0.0,0.95,0.3,0.75
39,2056.0,1.5,4.312,0.0,0.0,0.95,0.85,0.75
40,2057.0,1.5,1.415,0.0,0.0,0.95,0.3,0.75
41,2058.0,1.5,1.522,0.0,0.0,0.95,0.3,0.75
42,2059.0,1.5,1.632,0.0,0.0,0.95,0.3,0.75
43,2060.0,1.5,1.746,0.0,0.0,0.95,0.0,0.75
44,2061.0,0.5,2.674,0.0,0.0,1.2,0.0,1.0
45,2062.0,0.5,2.796,0.0,0.0,1.2,0.0,1.0
46,2063.0,0.5,2.922,0.0,0.0,1.2,0.0,1.0
47,2064.0,0.5,2.266,0.0,1.8,1.2,0.0,1.0
48,2065.0,1.5,3.756,0.0,2.0,1.2,0.0,1.0
49,2066.0,1.5,2.983,0.0,2.0,1.2,0.0,2.0
50,2067.0,1.5,3.12,0.0,2.0,1.2,0.0,2.0
51,2068.0,1.5,4.728,0.0,2.0,1.2,0.0,2.0
52,2069.0,1.5,5.987,0.0,0.2,1.2,0.0,2.0
53,2070.0,1.5,5.034,0.0,2.2,1.45,0.0,2.0
