,y,Egypt - Turkey Historic and Planned NG trade link,Israel - Egypt Planned NG trade link,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
8,2023.0,-780.3338,0.0,-711.0205,0.0,3313.2736
9,2024.0,-780.3338,0.0,-711.0205,0.0,3410.149
10,2025.0,-780.3338,0.0,-711.0205,0.0,3462.4585
11,2026.0,-780.3338,0.0,-711.0205,0.0,3298.336
12,2027.0,-780.3338,0.0,-711.0205,0.0,3283.2738
13,2028.0,-780.3338,0.0,-711.0205,0.0,3248.5619
14,2029.0,-780.3338,0.0,-711.0205,0.0,3223.686
15,2030.0,-780.3338,0.0,-711.0205,0.0,3230.4281
16,2031.0,-780.3338,0.0,-711.0205,0.0,3297.4862
17,2032.0,-780.3338,0.0,-711.0205,0.0,3359.7052
18,2033.0,-780.3338,0.0,-711.0205,0.0,3426.4298
19,2034.0,-780.3338,0.0,-711.0205,0.0,3473.757
20,2035.0,-780.3338,0.0,-711.0205,0.0,3502.5606
21,2036.0,-780.3338,0.0,-711.0205,0.0,3540.1928
22,2037.0,0.0,0.0,-711.0205,0.0,2789.6642
23,2038.0,0.0,227.2817,-711.0205,0.0,2600.6271
24,2039.0,0.0,227.2817,-711.0205,0.0,2630.6053
25,2040.0,0.0,227.2817,-525.2462,0.0,2459.3081
26,2041.0,0.0,227.2817,-0.0,0.0,1867.6493
27,2042.0,0.0,227.2817,-0.0,1305.1282,617.7205
28,2043.0,0.0,227.2817,-0.0,1985.8115,0.0
29,2044.0,0.0,227.2817,-0.0,2044.4258,0.0
30,2045.0,0.0,227.2817,-0.0,2102.7162,0.0
31,2046.0,0.0,227.2817,-0.0,2184.0057,0.0
32,2047.0,0.0,227.2817,-0.0,2272.2701,0.0
33,2048.0,0.0,227.2817,-0.0,2306.4167,0.0
34,2049.0,0.0,227.2817,-0.0,2374.2642,0.0
35,2050.0,0.0,227.2817,-0.0,2437.9426,0.0
36,2051.0,0.0,227.2817,-0.0,2511.402,0.0
37,2052.0,0.0,227.2817,-0.0,2588.2574,0.0
38,2053.0,0.0,227.2817,-0.0,2668.6091,0.0
39,2054.0,0.0,227.2817,-0.0,2752.5612,0.0
40,2055.0,0.0,227.2817,-0.0,2926.9832,0.0
41,2056.0,0.0,227.2817,-0.0,3112.7187,0.0
42,2057.0,0.0,227.2817,-0.0,3172.3593,0.0
43,2058.0,0.0,227.2817,-0.0,3236.166,0.0
44,2059.0,0.0,227.2817,-0.0,3304.2598,0.0
45,2060.0,0.0,227.2817,-0.0,3377.9308,0.0
46,2061.0,0.0,227.2817,-0.0,3489.6267,0.0
47,2062.0,0.0,227.2817,-0.0,3605.9114,0.0
48,2063.0,0.0,227.2817,-0.0,3727.4624,0.0
49,2064.0,0.0,227.2817,-0.0,3816.3507,0.0
50,2065.0,0.0,227.2817,-0.0,3903.9022,0.0
51,2066.0,0.0,227.2817,-0.0,3986.2839,0.0
52,2067.0,0.0,227.2817,-0.0,4074.1329,0.0
53,2068.0,0.0,227.2817,-0.0,4167.2023,0.0
54,2069.0,0.0,227.2817,-0.0,4304.1112,0.0
55,2070.0,0.0,227.2817,-0.0,4395.0876,0.0
