,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,power_trade
8,2023.0,0.0,6.44,560.45,67.09,0.0,0.0,3.94,0.0,25.06,-21.68
9,2024.0,0.0,6.06,609.08,67.09,0.0,0.0,5.61,0.0,27.85,-59.02
10,2025.0,80.04,5.68,631.85,67.09,0.0,0.0,7.28,0.0,30.64,-147.81
11,2026.0,160.08,5.3,529.0,67.09,32.17,0.0,8.94,0.0,33.43,-147.88
12,2027.0,160.08,4.92,512.57,67.09,64.33,0.0,10.61,0.0,36.22,-154.11
13,2028.0,160.08,4.55,484.56,67.09,96.5,0.0,12.28,2.1,39.01,-151.28
14,2029.0,160.08,4.17,462.27,67.09,128.67,0.0,13.95,4.2,41.8,-153.95
15,2030.0,160.08,3.79,458.57,67.09,128.67,0.0,17.29,6.3,44.59,-145.25
16,2031.0,160.08,3.4,490.52,67.09,128.67,0.0,22.96,12.25,50.52,-146.65
17,2032.0,160.08,3.02,519.29,67.09,128.67,0.0,31.54,14.35,56.44,-144.55
18,2033.0,160.08,2.65,550.43,67.09,128.67,0.0,37.18,16.45,62.37,-141.57
19,2034.0,160.08,16.65,570.43,67.09,128.67,0.0,41.35,18.55,68.29,-140.22
20,2035.0,186.76,18.82,578.7,67.09,128.67,0.0,45.5,18.55,74.22,-140.0
21,2036.0,213.44,18.25,591.11,67.09,128.67,0.0,49.66,18.55,80.15,-141.28
22,2037.0,240.12,17.7,603.59,67.09,128.67,0.0,53.84,18.55,86.07,-142.75
23,2038.0,266.79,17.15,616.48,67.09,128.67,0.0,57.99,18.55,92.0,-144.69
24,2039.0,293.47,16.39,630.55,67.09,128.67,0.0,62.15,18.55,97.92,-147.63
25,2040.0,320.15,6.74,652.39,67.09,128.67,0.0,66.25,18.55,100.84,-146.64
26,2041.0,360.17,0.0,661.04,67.09,128.67,0.0,71.88,18.55,107.74,-146.5
27,2042.0,373.51,0.0,685.46,67.09,128.67,0.0,77.71,18.55,117.14,-145.03
28,2043.0,386.85,0.0,715.22,67.09,128.67,0.0,83.2,18.55,122.28,-144.42
29,2044.0,400.19,0.0,741.12,67.09,128.67,0.0,89.03,18.55,131.69,-144.64
30,2045.0,413.53,0.0,766.97,67.09,128.67,0.0,94.88,18.55,141.1,-144.95
31,2046.0,413.53,0.0,809.49,67.09,128.67,0.0,100.7,18.55,147.37,-145.56
32,2047.0,413.53,0.0,853.79,67.09,128.67,0.0,104.86,18.55,153.64,-146.41
33,2048.0,453.55,0.0,849.11,67.09,128.67,0.0,109.03,18.55,159.91,-138.74
34,2049.0,466.89,0.0,886.15,67.09,128.67,0.0,113.18,18.55,166.18,-145.56
35,2050.0,480.23,0.0,915.92,67.09,128.67,0.0,117.35,18.55,172.45,-145.56
36,2051.0,493.57,0.0,951.34,67.09,128.67,0.0,121.51,18.55,178.72,-145.56
37,2052.0,506.91,0.0,988.76,67.09,128.67,0.0,125.67,18.55,184.99,-145.56
38,2053.0,520.25,0.0,1028.27,67.09,128.67,0.0,129.84,18.55,191.26,-145.56
39,2054.0,533.59,0.0,1069.93,67.09,128.67,0.0,134.0,18.55,197.54,-145.56
40,2055.0,493.57,0.0,1167.15,67.09,128.67,0.0,138.16,18.55,203.81,-145.56
41,2056.0,453.55,0.0,1271.49,67.09,128.67,0.0,140.65,18.55,206.94,-145.56
42,2057.0,493.57,0.0,1298.16,67.09,128.67,0.0,143.14,18.55,210.08,-145.56
43,2058.0,533.59,0.0,1327.29,67.09,128.67,0.0,145.63,18.55,213.21,-145.56
44,2059.0,573.61,0.0,1358.96,67.09,128.67,0.0,148.14,18.55,216.35,-145.56
45,2060.0,613.63,0.0,1393.96,67.09,128.67,0.0,150.63,18.55,219.48,-146.25
46,2061.0,626.97,0.0,1452.47,67.09,128.67,0.0,154.8,18.55,225.76,-145.9
47,2062.0,640.31,0.0,1513.82,67.09,128.67,0.0,158.95,18.55,232.03,-145.56
48,2063.0,653.65,0.0,1578.4,67.09,128.67,0.0,163.11,18.55,238.3,-145.56
49,2064.0,666.99,0.0,1622.62,67.09,128.67,23.37,167.28,18.55,244.57,-145.56
50,2065.0,680.33,0.0,1667.34,67.09,128.67,49.33,171.43,18.55,250.84,-145.56
51,2066.0,693.67,0.0,1707.25,67.09,128.67,75.29,173.93,18.55,266.8,-145.56
52,2067.0,707.01,0.0,1750.47,67.09,128.67,101.26,176.43,18.55,282.78,-145.56
53,2068.0,720.35,0.0,1797.11,67.09,128.67,127.22,178.92,18.55,298.75,-145.56
54,2069.0,733.68,0.0,1870.67,67.09,128.67,129.81,181.42,18.55,314.72,-145.56
55,2070.0,747.02,0.0,1915.22,67.09,128.67,165.07,183.91,18.55,330.69,-145.56
