,y,Coal extraction (mining),"Coal imports (inland transport, maritime freight)"
0,2015,10.9308,11.1619
1,2016,10.2901,12.0038
2,2017,13.3853,11.2682
3,2018,13.4213,10.5327
4,2019,14.7779,9.7972
5,2020,15.7455,9.0616
6,2021,15.553,11.4108
7,2022,15.3638,14.3682
8,2023,15.1778,18.0907
9,2024,14.995,22.7757
10,2025,185.3994,28.6713
11,2026,14.6383,36.0656
12,2027,10.5875,45.3632
13,2028,10.4911,57.0518
14,2029,10.3956,71.7431
15,2030,10.301,90.2051
16,2031,8.8754,71.3745
17,2032,7.647,56.4806
18,2033,6.5887,44.6981
19,2034,10.393,35.3755
20,2035,22.086,30.2292
21,2036,18.9559,104.88499999999999
22,2037,0.0,237.7121
23,2038,0.0,335.8114
24,2039,0.0,431.0212
25,2040,0.0,418.6972
26,2041,0.0,426.6233
27,2042,0.0,416.4618
28,2043,0.0,422.733
29,2044,0.0,426.67060000000004
30,2045,0.0,455.30049999999994
31,2046,0.0,482.23339999999996
32,2047,0.0,480.02189999999996
33,2048,0.0,595.5855
34,2049,0.0,596.4371
35,2050,0.0,611.2754
36,2051,0.0,671.7514
37,2052,0.0,676.3993
38,2053,0.0,677.4820000000001
39,2054,0.0,676.3777
40,2055,0.0,643.9865
41,2056,0.0,608.4407
42,2057,0.0,596.1936000000001
43,2058,0.0,584.5298
44,2059,0.0,573.4992
45,2060,0.0,565.3077
46,2061,0.0,559.1045
47,2062,0.0,552.8784
48,2063,0.0,545.8653
49,2064,0.0,538.2714
50,2065,0.0,556.1438999999999
