,y,Biomass extraction/production/refining
0,2015,2021.4197000000001
1,2016,2067.0238
2,2017,2107.6271
3,2018,2149.677
4,2019,2192.0897999999997
5,2020,2236.1087
6,2021,2266.4447
7,2022,2291.6265999999996
8,2023,2314.4467
9,2024,2337.3151999999995
10,2025,2354.2956
11,2026,2375.9758
12,2027,2397.6564000000003
13,2028,2419.2055
14,2029,2440.6793999999995
15,2030,2462.048
16,2031,2461.6340999999998
17,2032,2460.3194000000003
18,2033,2458.5508
19,2034,2456.3977
20,2035,2472.3553
21,2036,2468.7659000000003
22,2037,2465.0389
23,2038,2461.2064
24,2039,2457.3058
25,2040,2453.3662
26,2041,2435.5822000000003
27,2042,2417.8501
28,2043,2400.1927
29,2044,2382.6318
30,2045,2365.1816000000003
31,2046,2347.7448000000004
32,2047,2330.4294000000004
33,2048,2313.2343000000005
34,2049,2296.1562000000004
35,2050,2279.1905000000006
36,2051,2264.2857000000004
37,2052,2249.5715999999998
38,2053,2235.0395999999996
39,2054,2220.6791
40,2055,2206.4826000000003
41,2056,2186.3601999999996
42,2057,2172.4902
43,2058,2158.779
44,2059,2145.2214
45,2060,2131.8163999999997
46,2061,2115.4174
47,2062,2099.1926000000003
48,2063,2085.5821
49,2064,2072.1558999999997
50,2065,2058.9213999999997
