,Backstop,Biomass,Coal,Gas,Geothermal,Hydro,Nuclear,Oil,Solar CSP,Solar FPV,Solar PV,Wind,power_trade,y
0,0.0,12.71,0.0,437.88,0.21,143.01,0.0,30.85,0.0,,0.21000000000000002,13.25,10.48,2015.0
1,0.0,16.67,0.0,450.84,0.21,149.24,0.0,20.75,0.0,,0.42000000000000004,15.76,10.48,2016.0
2,0.0,16.67,0.0,460.2,0.21,156.5,0.0,22.680000000000003,0.0,,0.44,15.76,10.48,2017.0
3,0.0,16.67,0.0,464.95,0.21,163.93,0.0,24.41,0.0,,0.77,20.020000000000003,10.48,2018.0
4,0.0,15.92,0.0,474.3,0.21,124.61,0.0,19.410000000000004,0.0,,0.74,17.98,68.15,2019.0
5,0.0,15.92,0.0,483.93,3.43,127.55,0.0,19.19,0.0,,1.43,18.41,70.25999999999999,2020.0
6,0.0,20.419999999999998,0.0,320.77,7.98,188.59,0.0,37.5,11.72,,4.71,21.15,142.94,2021.0
7,0.0,21.22,0.0,383.02000000000004,10.66,196.23000000000002,0.0,35.629999999999995,17.59,,7.22,27.89,71.23,2022.0
8,0.0,22.020000000000003,0.0,453.21999999999997,16.03,198.76000000000002,0.0,39.83,23.46,,9.700000000000001,33.7,70.4,2023.0
9,0.0,22.82,0.0,491.27,26.38,207.03,0.0,30.830000000000002,23.46,,12.200000000000001,39.19,70.25999999999999,2024.0
10,0.0,18.12,80.04,420.50999999999993,35.14,217.29,0.0,22.93,23.46,,14.67,42.54,70.31,2025.0
11,0.0,17.34,160.08,360.29,38.58,222.51000000000002,0.0,13.45,23.46,,17.189999999999998,46.33,70.4,2026.0
12,0.0,16.55,160.08,373.78999999999996,42.07,229.36,0.0,12.48,23.46,,18.09,49.03,70.4,2027.0
13,0.0,16.03,160.08,384.28,42.94,244.84,0.0,11.52,23.46,,18.23,51.73,70.39999999999999,2028.0
14,0.0,15.31,160.08,405.04,43.56,249.54,0.0,10.56,23.46,,19.849999999999998,54.43,70.4,2029.0
