,y,Egypt - Turkey Historic and Planned NG trade link,Israel - Egypt Planned NG trade link,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
0,2015.0,-390.1669,0.0,-725.4044,0.0,2619.5804
1,2016.0,-390.1669,0.0,-711.0205,0.0,2638.8792
2,2017.0,-390.1669,0.0,-711.0205,0.0,2686.5999
3,2018.0,-390.1669,0.0,-711.0205,0.0,2756.6136
4,2019.0,-780.3338,0.0,-711.0205,0.0,3179.828
5,2020.0,-780.3338,0.0,-711.0205,0.0,3207.7922
6,2021.0,-780.3338,0.0,-711.0205,0.0,2969.5009
7,2022.0,-780.3338,0.0,-711.0205,0.0,3089.1472
8,2023.0,-780.3338,0.0,-711.0205,0.0,3272.3387
9,2024.0,-780.3338,0.0,-711.0205,0.0,3318.1186
10,2025.0,-780.3338,0.0,-711.0205,0.0,3206.4386
11,2026.0,-780.3338,0.0,-711.0205,0.0,3115.5779
12,2027.0,-780.3338,0.0,-711.0205,0.0,3161.3856
13,2028.0,-780.3338,0.0,-711.0205,0.0,3207.0447
14,2029.0,-780.3338,0.0,-711.0205,0.0,3252.5559
15,2030.0,-780.3338,0.0,-711.0205,0.0,3297.9201
16,2031.0,-780.3338,0.0,-711.0205,0.0,3406.679
17,2032.0,-780.3338,0.0,-711.0205,0.0,3486.394
18,2033.0,-780.3338,0.0,-711.0205,0.0,3503.5509
19,2034.0,-780.3338,0.0,-711.0205,0.0,3570.3212
20,2035.0,-780.3338,0.0,-711.0205,0.0,3593.4489
21,2036.0,-780.3338,0.0,-711.0205,0.0,3621.543
22,2037.0,0.0,0.0,-711.0205,0.0,2866.7985
23,2038.0,0.0,227.2817,-711.0205,0.0,2674.5996
24,2039.0,0.0,227.2817,-711.0205,0.0,2704.413
25,2040.0,0.0,227.2817,-525.2462,0.0,2499.0309
26,2041.0,0.0,227.2817,-0.0,0.0,1892.3521
27,2042.0,0.0,227.2817,-0.0,1063.8349,851.0175
28,2043.0,0.0,227.2817,-0.0,1979.0388,0.0
29,2044.0,0.0,227.2817,-0.0,2045.825,0.0
30,2045.0,0.0,227.2817,-0.0,2109.8083,0.0
31,2046.0,0.0,227.2817,-0.0,2231.0947,0.0
32,2047.0,0.0,227.2817,-0.0,2339.3239,0.0
33,2048.0,0.0,227.2817,-0.0,2266.4848,0.0
34,2049.0,0.0,227.2817,-0.0,2349.0329,0.0
35,2050.0,0.0,227.2817,-0.0,2420.5772,0.0
36,2051.0,0.0,227.2817,-0.0,2502.4735,0.0
37,2052.0,0.0,227.2817,-0.0,2584.9141,0.0
38,2053.0,0.0,227.2817,-0.0,2669.9543,0.0
39,2054.0,0.0,227.2817,-0.0,2759.9727,0.0
40,2055.0,0.0,227.2817,-0.0,2898.8747,0.0
41,2056.0,0.0,227.2817,-0.0,3071.8909,0.0
42,2057.0,0.0,227.2817,-0.0,3113.8992,0.0
43,2058.0,0.0,227.2817,-0.0,3160.0562,0.0
44,2059.0,0.0,227.2817,-0.0,3219.6858,0.0
45,2060.0,0.0,227.2817,-0.0,3286.723,0.0
46,2061.0,0.0,227.2817,-0.0,3387.782,0.0
47,2062.0,0.0,227.2817,-0.0,3497.5237,0.0
48,2063.0,0.0,227.2817,-0.0,3609.2825,0.0
49,2064.0,0.0,227.2817,-0.0,3715.4627,0.0
50,2065.0,0.0,227.2817,-0.0,3803.4976,0.0
51,2066.0,0.0,227.2817,-0.0,3883.0069,0.0
52,2067.0,0.0,227.2817,-0.0,3966.5128,0.0
53,2068.0,0.0,227.2817,-0.0,4080.0633,0.0
54,2069.0,0.0,227.2817,-0.0,4220.2582,0.0
55,2070.0,0.0,227.2817,-0.0,4344.4181,0.0
