,y,Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Libya - Egypt Historic EL trade link,Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
10,2025.0,8.7106,5.9783,80.0384,0.0,0.0,54.593,0.0,0.507,0.0,0.4379,3.6632,0.0063,6.4664,47.8149,0.0,1.0733,5.0931,0.0299,8.3549,208.6283,2.8826,168.0806,40.0911,8.8211,0.0,45.9347,10.3851,11.1515,9.6117,2.0023,2.9483,30.6431,6.4172
11,2026.0,8.7106,5.3805,160.0767,0.0,0.0,44.4151,0.0,0.4732,0.0,0.4087,3.4189,0.0063,6.4664,47.8149,0.0,1.0017,5.0931,0.0,7.7979,154.8138,2.6904,168.0806,37.4184,8.233,0.0,42.8724,10.3851,11.1515,11.2802,2.336,3.4397,33.4331,6.4172
12,2027.0,8.7106,4.7827,160.0767,0.0,0.0,34.2093,0.0,0.4394,0.0,0.3795,3.1747,0.0063,6.4664,47.8149,0.0,0.9302,5.0931,0.0,7.2409,181.0077,2.4982,168.0806,34.7456,7.645,0.0,39.8101,10.3851,11.1515,12.9487,2.6697,3.9311,36.223,6.4172
13,2028.0,8.7106,4.1848,160.0767,0.0,0.0,23.9755,0.0,0.4056,0.0,0.3503,2.9305,0.0063,6.4664,47.8149,0.0,0.8586,5.0931,0.0,6.6839,207.2017,2.306,168.0806,32.0729,7.0569,0.0,36.7478,10.3851,11.1515,14.6172,3.0034,4.4225,39.013,6.4172
14,2029.0,8.7106,3.587,160.0767,0.0,0.0,13.7139,0.0,0.3718,0.0,0.3211,2.6863,0.0063,6.4664,47.8149,0.0,0.7871,5.0931,0.0,6.1269,233.3956,2.1139,168.0806,29.4001,6.4688,0.0,33.6855,10.3851,11.1515,16.2857,3.3371,4.9139,41.8029,6.4172
15,2030.0,8.7106,2.9892,160.0767,0.0,0.0,3.4246,0.0,0.338,0.0,0.2919,2.4421,0.0063,6.4664,47.8149,0.0,0.7155,5.0931,3.4667,5.5699,256.1228,1.9217,168.0806,26.7274,5.8807,0.0,30.6232,10.3851,11.1515,17.9542,3.6708,5.4053,44.5929,6.4172
16,2031.0,8.7106,2.3913,160.0767,0.0,0.0,-17.0102,0.0,0.3042,0.0,0.2627,2.1979,0.0063,10.2113,48.4169,0.0,0.644,5.0931,16.0077,25.0646,256.1228,8.6477,168.0806,47.3416,5.2927,0.0,27.5608,10.3851,11.1515,21.2913,4.0045,5.8967,50.5183,6.4172
17,2032.0,8.7106,1.7935,160.0767,0.0,0.0,-17.1141,0.0,0.2704,0.0,0.2335,1.9537,0.0063,10.2113,48.4986,0.0,0.5724,5.0931,16.0077,22.2796,256.1228,7.6868,168.0806,93.4023,4.7046,0.0,24.4985,10.3851,11.1515,24.6283,4.3382,6.3881,56.4438,6.4172
18,2033.0,8.7106,1.1957,160.0767,0.0,0.0,6.5413,0.0,0.3714,0.5828,0.3207,1.7095,0.0063,13.9562,55.3047,0.0,0.5009,5.0931,16.0077,19.4947,265.9658,6.726,168.0806,93.5459,4.1165,0.0,21.4362,10.3851,11.1515,27.9654,4.6719,6.8795,62.3692,6.4172
19,2034.0,8.7106,0.5978,160.0767,0.0,0.0,6.518,2.6827,0.3183,3.9698,0.2749,1.4653,0.0063,13.9562,55.3047,0.0,0.4293,5.0931,42.6871,16.7097,292.4626,5.7651,168.0806,80.1822,3.5284,0.0,18.3739,10.3851,11.1515,31.3024,5.0057,7.3709,68.2946,6.4172
20,2035.0,8.7106,0.0,186.7562,0.0,0.0,5.9621,4.5666,0.2653,8.019,0.2291,1.2211,0.0063,13.9562,55.3047,0.0,0.3578,5.0931,69.0845,13.9248,292.4626,4.8043,168.0806,66.8185,2.9404,0.6643,15.3116,10.3851,11.1515,34.6395,5.3394,7.8623,74.2201,6.4172
21,2036.0,8.7106,0.0,213.4356,0.0,0.0,6.0588,6.817,0.2122,8.019,0.1833,1.5333,0.0063,13.9562,55.3047,0.0,0.2862,5.0931,69.0845,11.1398,317.9716,3.8434,168.0806,53.4548,2.3523,3.9889,12.2493,10.3851,11.1515,37.9765,5.6731,8.3536,80.1455,6.4172
22,2037.0,8.7106,0.0,240.1151,0.0,0.0,5.883,8.019,0.1592,8.019,0.1375,1.15,0.0063,13.9562,55.3047,0.0,0.2147,5.0931,69.0845,8.3549,317.9716,2.8826,192.511,40.0911,1.7642,10.3047,9.1869,10.3851,11.1515,41.3136,6.0068,8.845,86.071,6.4172
23,2038.0,8.7106,0.0,266.7946,0.0,0.0,6.0792,8.019,0.1061,8.019,0.0916,0.7666,0.0063,13.9562,55.3047,0.0,0.1431,5.0931,93.3797,5.5699,317.9716,1.9217,192.511,26.7274,1.1761,17.4823,6.1246,10.3851,11.1515,44.6506,6.3405,9.3364,91.9964,6.4172
24,2039.0,8.7106,0.0,293.474,0.0,0.0,6.6049,8.019,0.0531,8.019,0.0458,0.3833,0.0063,13.9562,55.3047,0.0,0.0716,5.0931,104.0345,2.785,317.9716,0.9609,219.1905,4.7207,0.5881,19.8314,3.0623,10.3851,11.1515,47.9877,6.6742,9.8278,97.9218,6.4172
25,2040.0,8.7106,0.0,320.1535,0.0,0.0,25.1746,5.3363,0.0,0.0,0.0,0.0,0.0063,13.9562,55.3047,1.4004,0.0,5.0931,87.3911,0.0,332.2597,0.0,245.8699,0.0,0.0,12.136,0.0,10.3851,11.1515,51.258,7.0079,10.3192,100.8372,6.4172
26,2041.0,8.7106,0.0,360.1727,0.0,0.0,23.4762,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,68.9366,0.0,344.651,0.0,255.3008,0.0,0.0,8.0221,0.0,10.3851,11.1515,56.0635,7.3416,10.8106,107.7353,6.4172
27,2042.0,8.7106,0.0,373.5124,0.0,0.0,45.3929,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,72.6744,0.0,344.651,0.0,255.3008,0.0,0.0,8.2728,0.0,10.3851,11.1515,61.0691,7.6753,11.302,117.1417,6.4172
28,2043.0,8.7106,0.0,386.8521,0.0,0.0,45.4323,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,111.7351,0.0,298.3521,0.0,295.32,0.0,0.0,5.8366,0.0,10.3851,11.1515,65.7411,8.0091,11.7934,122.2839,6.4172
29,2044.0,8.7106,0.0,400.1918,0.0,0.0,40.9104,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,229.1292,0.0,209.5482,0.0,295.32,0.0,0.0,7.4362,0.0,10.3851,11.1515,70.7467,8.3428,12.2848,131.6904,6.4172
30,2045.0,8.7106,0.0,413.5316,0.0,0.0,37.8166,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,66.7254,0.0,367.9137,0.0,328.6693,0.0,0.0,7.4362,0.0,10.3851,11.1515,75.0849,8.6765,12.7762,141.0969,6.4172
31,2046.0,8.7106,0.0,413.5316,0.0,0.0,27.6536,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,221.8428,0.0,254.6432,0.0,355.3488,0.0,0.0,4.3741,0.0,5.1926,4.6186,78.422,9.0102,13.2675,147.3678,6.4172
32,2047.0,8.7106,0.0,413.5316,0.0,0.0,22.3995,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,143.3449,0.0,374.1295,0.0,375.3584,0.0,0.0,1.1601,0.0,2.5963,1.3522,81.7591,9.3439,13.7589,153.6388,3.2086
33,2048.0,8.7106,0.0,453.5508,0.0,0.0,93.6713,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,333.1791,0.0,171.3908,0.0,287.3162,0.0,0.0,34.3861,0.0,0.0,0.0,85.0962,9.6776,14.2503,159.9098,0.0
34,2049.0,8.7106,0.0,466.8905,0.0,0.0,84.3634,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,267.1009,0.0,255.5225,0.0,327.3354,0.0,0.0,22.4354,0.0,0.0,0.0,88.4333,10.0113,14.7417,166.1807,0.0
35,2050.0,8.7106,0.0,480.2302,0.0,0.0,79.3475,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,282.8726,0.0,275.3776,0.0,327.3354,0.0,0.0,21.5938,0.0,0.0,0.0,91.7704,10.345,15.2331,172.4517,0.0
36,2051.0,8.7106,0.0,493.5699,0.0,0.0,72.6398,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,249.0447,0.0,315.3968,0.0,367.3546,0.0,0.0,17.5072,0.0,0.0,0.0,95.1076,10.6787,15.7245,178.7227,0.0
37,2052.0,8.7106,0.0,506.9097,0.0,0.0,68.9569,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,270.1122,0.0,296.4346,0.0,407.3737,0.0,0.0,16.4922,0.0,0.0,0.0,98.4447,11.0125,16.2159,184.9937,0.0
38,2053.0,8.7106,0.0,520.2494,0.0,0.0,65.9895,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,254.2076,0.0,355.416,0.0,407.3737,0.0,0.0,15.8876,0.0,0.0,0.0,101.7818,11.3462,16.7073,191.2646,0.0
39,2054.0,8.7106,0.0,533.5891,0.0,0.0,62.6575,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,269.9167,0.0,395.4352,0.0,396.0319,0.0,0.0,16.4868,0.0,0.0,0.0,105.1189,11.6799,17.1987,197.5356,0.0
40,2055.0,8.7106,0.0,493.5699,0.0,0.0,84.8982,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,308.9957,0.0,379.3588,0.0,447.3929,0.0,0.0,17.1169,0.0,0.0,0.0,108.456,12.0136,17.6901,203.8066,0.0
