,y,Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
12,2027.0,0.55,0.3328,6.0,1.0,0.091065,1.0,0.07865,0.65797485,0.0008,0.43167999999999995,3.192,0.872,0.1927848,0.6,1.43325,9.6,0.494494,6.3,6.877507,1.5132325,4.88,7.87996235,0.8,0.6827939847046672,1.94011375,0.4,0.4,2.8881500000000004,0.5
13,2028.0,0.55,0.2912,6.0,1.0,0.08406,1.0,0.0726,0.6073614,0.0008,0.43167999999999995,3.192,0.872,0.1779552,0.6,1.323,9.6,0.456456,6.3,6.348468,1.39683,4.88,7.2738114,0.8,0.6827939847046672,2.190105,0.44999999999999996,0.44999999999999996,3.1106,0.5
14,2029.0,0.55,0.2496,6.0,1.0,0.077055,1.0,0.06655,0.55674795,0.0008,0.43167999999999995,3.192,0.872,0.1631256,0.6,1.21275,9.6,0.418418,6.3,5.819429,1.2804275,4.88,6.66766045,0.8,0.6827939847046672,2.44009625,0.5,0.5,3.33305,0.5
15,2030.0,0.55,0.208,6.0,1.0,0.07005,1.0,0.0605,0.5061345,0.0008,0.43167999999999995,3.192,0.872,0.148296,0.6,1.1025,9.6,0.38038,6.3,5.29039,1.164025,4.88,6.0615095,0.8,0.6827939847046672,2.6900874999999997,0.55,0.55,3.5555000000000003,0.5
16,2031.0,0.55,0.1664,6.0,1.0,0.063045,1.0,0.05445,0.45552105,0.0008,0.68168,3.232187223593798,0.872,0.1334664,0.6,0.99225,9.6,0.342342,6.3,4.761351,1.0476225,4.88,5.45535855,0.8,0.6827939847046672,3.19007875,0.6,0.6,4.02795,0.5
17,2032.0,0.55,0.1248,6.0,1.0,0.05604,1.0,0.0484,0.4049076,0.0008,0.68168,3.2376398988682116,0.872,0.1186368,0.6,0.882,9.6,0.304304,6.3,4.232312,0.93122,4.88,4.8492076,0.8,0.6827939847046672,3.69007,0.6499999999999999,0.6499999999999999,4.500400000000001,0.5
18,2033.0,0.55,0.0831999999999999,6.0,1.0,0.049035,1.0,0.04235,0.35429415,0.0008,0.9316800000000001,3.6920000000000006,0.872,0.1038072,0.6,0.77175,9.968935051581864,0.266266,6.3,3.703273,0.8148175,4.88,4.24305665,0.8,0.6827939847046672,4.19006125,0.7,0.7,4.97285,0.5
19,2034.0,0.55,0.0416,6.0,1.0,0.04203,1.0,0.0363,0.3036807,0.0008,0.9316800000000001,3.6920000000000006,0.872,0.0889776,1.6,0.6615,10.962091571337158,0.228228,6.3,3.174234,0.698415,4.88,3.6369057,0.8,0.6827939847046672,4.6900525,0.75,0.75,5.4453000000000005,0.5
20,2035.0,0.55,0.0,7.0,1.0,0.035025,1.0,0.03025,0.25306725,0.0008,0.9316800000000001,3.6920000000000006,0.872,0.074148,2.5894262407322253,0.55125,10.962091571337158,0.19019,6.3,2.645195,0.5820125,4.88,3.03075475,0.8,0.6827939847046672,5.19004375,0.7999999999999999,0.7999999999999999,5.917750000000001,0.5
21,2036.0,0.55,0.0,8.0,1.0,0.02802,1.0,0.0242,0.2024538,0.0008,0.9316800000000001,3.6920000000000006,0.872,0.0593184,2.5894262407322253,0.441,11.918217938627798,0.152152,6.3,2.116156,0.46561,4.88,2.4246038,0.8,0.6827939847046672,5.690035,0.8499999999999998,0.8499999999999998,6.3902,0.5
22,2037.0,0.55,0.0,9.0,1.0,0.021015,1.0,0.01815,0.15184035,0.0008,0.9316800000000001,3.6920000000000006,0.872,0.0444888,2.5894262407322253,0.33075,11.918217938627798,0.114114,7.215701632580214,1.587117,0.3492075,4.88,1.81845285,0.8,0.6827939847046672,6.19002625,0.8999999999999998,0.8999999999999998,6.86265,0.5
23,2038.0,0.55,0.0,10.0,1.0,0.01401,1.0,0.0121,0.1012269,0.0008,0.9316800000000001,3.6920000000000006,0.872,0.0296592,3.5000586537157634,0.2205,11.918217938627798,0.076076,7.215701632580214,1.058078,0.232805,4.88,1.2123019,0.8,0.6827939847046672,6.6900175,0.9499999999999998,0.9499999999999998,7.3351,0.5
24,2039.0,0.55,0.0,11.0,1.0,0.007005,1.0,0.00605000000000001,0.0506134500000001,0.0008,0.9316800000000001,3.6920000000000006,0.872,0.0148296,3.8994232645841658,0.11025,11.918217938627798,0.038038,8.215701632580213,0.529039000000001,0.1164025,4.88,0.60615095,0.8,0.6827939847046672,7.1900087500000005,0.9999999999999999,0.9999999999999999,7.80755,0.5
25,2040.0,0.55,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0008,0.9316800000000001,3.6920000000000006,0.522,0.0,4.899423264584166,0.0,12.918217938627798,0.0,9.215701632580215,0.0,0.0,3.3220384678370407,0.0,0.8,0.6827939847046672,7.68000875,1.0499999999999998,1.0499999999999998,8.04,0.5
26,2041.0,0.55,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,6.399423264584165,0.0,12.918217938627798,0.0,9.569192010679101,0.0,0.0,2.863048337406856,0.0,0.8,0.6827939847046672,8.40000875,1.0999999999999999,1.0999999999999999,8.59,0.5
27,2042.0,0.55,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,7.164085022137222,0.0,12.918217938627798,0.0,9.569192010679101,0.0,0.0,2.5330483374068558,0.0,0.8,0.6827939847046672,9.15000875,1.15,1.15,9.34,0.5
28,2043.0,0.55,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,7.606937520892991,0.0,12.918217938627798,0.0,11.069192010679101,0.0,0.0,2.0830483374068556,0.0,0.8,0.6827939847046672,9.85000875,1.1999999999999997,1.1999999999999997,9.75,0.5
29,2044.0,0.55,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,8.588225692669262,0.0,12.918217938627798,0.0,11.069192010679101,0.0,0.0,2.6539400065065037,0.0,0.8,0.6827939847046672,10.60000875,1.2499999999999998,1.2499999999999998,10.5,0.5
30,2045.0,0.55,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,7.988225692669262,0.0,13.790148237020457,0.0,12.319192010679101,0.0,0.0,2.6539400065065037,0.0,0.8,0.6827939847046672,11.25,1.3,1.3,11.25,0.5
31,2046.0,0.55,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,9.488225692669262,0.0,15.290148237020457,0.0,13.319192010679101,0.0,0.0,2.6539400065065037,0.0,0.4,0.2827939847046672,11.75,1.3500000000000003,1.3500000000000003,11.75,0.5
32,2047.0,0.55,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,10.988225692669264,0.0,16.790148237020457,0.0,14.069192010679101,0.0,0.0,4.153940006506503,0.0,0.20000000000000007,0.08279398470466726,12.25,1.4000000000000004,1.4000000000000004,12.25,0.25
33,2048.0,0.55,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,12.488225692669264,0.0,8.690148237020455,0.0,10.7691920106791,0.0,0.0,5.653940006506502,0.0,0.0,0.0,12.75,1.45,1.45,12.75,0.0
34,2049.0,0.55,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,13.988225692669264,0.0,10.190148237020455,0.0,12.2691920106791,0.0,0.0,5.653940006506502,0.0,0.0,0.0,13.25,1.5,1.5,13.25,0.0
35,2050.0,0.55,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,15.488225692669264,0.0,10.321710755565064,0.0,12.2691920106791,0.0,0.0,5.653940006506502,0.0,0.0,0.0,13.75,1.55,1.55,13.75,0.0
36,2051.0,0.55,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,15.525446580246454,0.0,11.821710755565066,0.0,13.7691920106791,0.0,0.0,5.653940006506502,0.0,0.0,0.0,14.25,1.6,1.6,14.25,0.0
37,2052.0,0.55,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,16.037949335642807,0.0,11.821710755565066,0.0,15.2691920106791,0.0,0.0,5.653940006506502,0.0,0.0,0.0,14.75,1.65,1.65,14.75,0.0
38,2053.0,0.55,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,16.488809131728615,0.0,13.321710755565066,0.0,15.2691920106791,0.0,0.0,5.653940006506502,0.0,0.0,0.0,15.25,1.7,1.7,15.25,0.0
39,2054.0,0.55,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,16.827285085373994,0.0,14.821710755565066,0.0,15.2691920106791,0.0,0.0,5.884049318676863,0.0,0.0,0.0,15.75,1.7499999999999998,1.7499999999999998,15.75,0.0
40,2055.0,0.55,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,18.18250709619143,0.0,14.821710755565066,0.0,16.7691920106791,0.0,0.0,6.108925098648167,0.0,0.0,0.0,16.25,1.7999999999999998,1.7999999999999998,16.25,0.0
41,2056.0,0.30000000000000004,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,18.775524300657143,0.0,16.321710755565068,0.0,18.2691920106791,0.0,0.0,6.495759689918159,0.0,0.0,0.0,16.5,1.8499999999999999,1.8499999999999999,16.5,0.0
42,2057.0,0.30000000000000004,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,18.775524300657143,0.0,16.934050796582923,0.0,18.2691920106791,0.0,0.0,6.853247274355887,0.0,0.0,0.0,16.75,1.8999999999999997,1.8999999999999997,16.75,0.07017253386368337
43,2058.0,0.30000000000000004,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,18.775524300657143,0.0,17.96826128347885,0.0,18.2691920106791,0.0,0.0,6.853247274355887,0.0,0.0,0.0,17.0,1.9499999999999997,1.9499999999999997,17.0,0.7617347762641431
44,2059.0,0.30000000000000004,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,18.775524300657143,0.0,17.96826128347885,0.0,19.422514801053723,0.0,0.0,7.24399654334595,0.0,0.09184812284002833,0.0,17.25,1.9999999999999996,1.9999999999999996,17.25,1.511734776264143
45,2060.0,0.30000000000000004,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,19.98995736700888,0.0,17.96826128347885,0.0,19.422514801053723,0.0,0.0,7.757113776376083,0.0,0.26731894475253615,0.0,17.5,2.0499999999999994,2.0499999999999994,17.5,2.2617347762641433
46,2061.0,0.2,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,19.98995736700888,0.0,20.23650914902101,0.0,19.422514801053723,0.0,0.0,7.757113776376083,0.0,0.8375815343182542,0.0,18.0,2.1,2.1,18.0,2.2617347762641433
47,2062.0,0.1,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,19.98995736700888,0.0,20.23650914902101,0.0,21.75079184179322,0.0,0.0,7.97375295983782,0.0,1.5064557154374212,0.0,18.5,2.1499999999999995,2.1499999999999995,18.5,2.2617347762641433
48,2063.0,0.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,22.48995736700888,0.0,20.170927375783315,0.0,21.75079184179322,0.0,0.0,8.101716045525082,0.0,2.2005553844291152,0.0,19.0,2.1999999999999997,2.1999999999999997,19.0,2.2617347762641433
49,2064.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,23.1561903128589,0.0,19.17777085602802,0.0,24.25079184179322,0.0,0.0,8.101716045525082,0.0,2.698807233897405,0.0,19.5,2.25,2.25,19.5,2.2617347762641433
50,2065.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,22.97781794345656,0.0,21.677770856028015,0.0,24.25079184179322,0.0,0.0,7.7096775776880415,0.0,4.698807233897405,0.0,20.0,2.2999999999999994,2.2999999999999994,20.0,2.2617347762641433
51,2066.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,22.97781794345656,0.0,20.985180734573888,0.0,26.75079184179322,0.0,0.0,7.518667708118227,0.0,6.698807233897406,0.0,20.25,2.35,2.35,20.25,3.2617347762641433
52,2067.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,25.477817943456564,0.0,20.985180734573888,0.0,25.868802784179515,0.0,0.0,7.518667708118227,0.0,8.698807233897405,0.0,20.5,2.4000000000000004,2.4000000000000004,20.5,4.261734776264143
53,2068.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,25.909155518100544,0.0,20.985180734573888,0.0,28.368802784179515,0.0,0.0,7.282123395506584,0.0,9.8,0.0,20.75,2.4500000000000006,2.4500000000000006,20.75,5.261734776264143
54,2069.0,0.0,0.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,25.50979090723214,0.0,23.153662607878513,0.0,29.868802784179515,0.0,0.0,7.430165257023262,0.0,10.0,0.0,21.0,2.5,2.5,21.0,6.261734776264143
55,2070.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,27.009790907232137,0.0,22.153662607878513,0.0,31.215909025401004,0.0,0.0,8.655693510829716,0.0,10.2,2.0,21.25,2.55,2.55,21.25,7.261734776264143
