,y,Natural gas extraction
0,2020.0,10.7077
1,2021.0,11.367
2,2022.0,12.0284
3,2023.0,12.4851
4,2024.0,11.4754
5,2025.0,11.2311
6,2026.0,10.9754
7,2027.0,10.7074
8,2028.0,10.4266
9,2029.0,10.1262
10,2030.0,9.8025
11,2031.0,9.4513
12,2032.0,9.0978
13,2033.0,8.7271
14,2034.0,8.338
15,2035.0,7.9295
16,2036.0,9.0808
17,2037.0,10.6807
18,2038.0,12.4068
19,2039.0,14.1967
20,2040.0,16.0849
21,2041.0,18.5462
22,2042.0,21.1817
23,2043.0,21.7647
24,2044.0,21.4946
25,2045.0,21.227
26,2046.0,20.9431
27,2047.0,20.4812
28,2048.0,19.9704
29,2049.0,19.4163
30,2050.0,19.136
31,2051.0,18.804
32,2052.0,18.5104
33,2053.0,18.1302
34,2054.0,17.7467
35,2055.0,17.4081
36,2056.0,16.9999
37,2057.0,16.7668
38,2058.0,16.6579
39,2059.0,16.5655
40,2060.0,16.4712
41,2061.0,16.3971
42,2062.0,16.3223
43,2063.0,16.2174
44,2064.0,16.136
45,2065.0,16.4853
46,2066.0,16.8569
47,2067.0,17.3462
48,2068.0,17.8647
49,2069.0,18.3089
50,2070.0,18.3233
