,y,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (roof top),Solar PV with storage
0,2015.0,0.0,0.0,0.2895,1.212,0.4798,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.2895,0.7548,0.4798,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.2895,1.8038,0.4798,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.2895,2.8529,0.4798,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.2895,3.9019,0.4798,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0019,0.0579,6.2105,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.002,0.055,6.6042,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0198,0.0021,0.0521,7.0005,0.0,0.0,0.0
8,2023.0,0.0,0.0,0.0811,0.0213,0.128,7.2788,0.0,0.0,0.0
9,2024.0,1.2259,0.0,0.0,0.0,0.0463,6.7016,0.0,0.0,0.0
10,2025.0,1.8493,0.0,0.0,0.0,0.0434,6.5702,0.0,0.0,0.0
11,2026.0,2.5083,0.0,0.0,0.0,0.0405,6.4316,0.0,0.0,0.0
12,2027.0,3.2053,0.0,0.0,0.0,0.0376,6.2852,0.0,0.0,0.0
13,2028.0,3.9423,0.0,0.0,0.0,0.0347,6.1308,0.0,0.0,0.0
14,2029.0,4.7252,0.0,0.0,0.0,0.0318,5.9643,0.0,0.0,0.0
15,2030.0,5.5582,0.0,0.0,0.0,0.029,5.7835,0.0,0.0,0.0
16,2031.0,6.4732,0.0,0.0,0.0,0.0261,5.5857,0.0,0.0,0.0
17,2032.0,7.3983,0.0,0.0,0.0,0.0232,5.3859,0.0,0.0,0.0
18,2033.0,8.3764,0.0,0.0,0.0,0.0203,5.1752,0.0,0.0,0.0
19,2034.0,9.4111,0.0,0.0,0.0,0.0174,4.9528,0.0,0.0,0.0
20,2035.0,10.5058,0.0,0.0,0.0,0.0145,4.718,0.0,0.0,0.0
21,2036.0,10.7222,0.0,0.0,0.0,0.0116,5.4121,0.0,0.0,0.0
22,2037.0,10.7222,0.0,0.0,0.0,0.0087,6.3764,0.0,0.0,0.0
23,2038.0,10.7222,0.0,0.0018,0.0,0.0058,7.3462,0.0496,0.0,0.0
24,2039.0,10.7222,0.0,0.0015,0.0,0.0029,8.4214,0.0561,0.0,0.0
25,2040.0,10.7222,0.0,0.0,0.0,0.0,9.5673,0.0571,0.0,0.0
26,2041.0,10.7222,0.0,0.0,0.0,0.0,11.0636,0.0566,0.0,0.0
27,2042.0,10.7222,0.0,0.0,0.0,0.0,12.6698,0.0561,0.0,0.0
28,2043.0,10.7222,0.0,0.0,0.0,0.0,13.0377,0.0596,0.0,1.2461
29,2044.0,10.7222,0.0,0.0,0.0,0.0,12.9185,0.0444,0.0,3.0752
30,2045.0,10.7222,0.0,0.0,0.0,0.0,12.7653,0.0535,0.0,5.039
31,2046.0,10.7222,0.0,0.0,0.0,0.0,12.6008,0.0632,0.0,7.1473
32,2047.0,10.7222,0.0,0.0,0.0,0.0,12.3542,0.0544,0.0,9.4929
33,2048.0,10.7222,0.0,0.0,0.0,0.0,12.0813,0.0426,0.0,12.0207
34,2049.0,10.7222,0.0069,0.0,0.0,0.0,11.7799,0.0314,0.0,14.7343
35,2050.0,10.7222,0.023,0.0,0.0,0.0,10.9752,0.4919,0.0,17.647
36,2051.0,10.7222,0.0374,0.0,0.0,0.0,10.7208,0.5433,0.0,19.3204
37,2052.0,10.7222,0.0374,0.0,0.0,0.0,10.4341,0.6342,0.0,21.0591
38,2053.0,10.7222,0.0374,0.0,0.0,0.0,10.2515,0.6134,0.0,22.8652
39,2054.0,10.7222,0.0374,0.0,0.0,0.0,10.0489,0.6046,0.0,24.741
40,2055.0,10.7222,0.0039,0.0,0.0,0.0,9.8681,0.5995,0.0,26.6889
41,2056.0,10.7222,0.0039,0.0,0.0,0.0,9.6497,0.59,0.0,28.7116
42,2057.0,10.7222,0.0039,0.0,0.0,0.0,9.5388,0.5802,0.0,30.7049
43,2058.0,10.4069,0.0039,0.0,0.0,0.0,9.5046,0.5701,0.0,32.9905
44,2059.0,10.5455,0.0039,0.0,0.0,0.0,9.4809,0.5595,0.0,34.9231
45,2060.0,10.4461,0.0039,0.0,0.0,0.0,9.4563,0.5486,0.0,37.1536
46,2061.0,9.8477,0.0039,0.0,0.0,0.0,9.4393,0.541,0.0,39.1834
47,2062.0,9.9495,0.0039,0.0,0.0,0.0,9.4219,0.5332,0.0,40.6041
48,2063.0,10.0539,0.0039,0.0,0.0,0.0,9.4539,0.4754,0.0,42.0598
49,2064.0,10.1609,0.0039,0.0,0.0,0.0,9.4449,0.458,0.0,43.5515
50,2065.0,9.9413,0.0039,0.0,0.0,0.0,9.7146,0.4333,3.542,41.5907
51,2066.0,10.102,0.0039,0.0,0.0,0.0,9.993,0.4129,7.2622,39.1289
52,2067.0,9.0829,0.0,0.0,0.0,0.0,10.1512,0.5364,11.2491,37.5102
53,2068.0,9.0561,0.0,0.0,0.0,0.0,10.2975,0.6838,15.4519,34.7882
54,2069.0,9.0207,0.0,0.0,0.0,0.0,10.4202,0.8155,19.1532,32.6549
55,2070.0,8.9433,0.0,0.0,0.0,0.0,10.4038,0.8504,19.792,33.8845
