,,Natural gas power plant (combined cycle) - CCS - NDT cooling (new),Lower Dabus,,,Lower Dabus FPV,,,,,,,,,,,,,,,,
,,Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),Lower Dedessa,,,Lower Dedessa FPV,,,,,,,,,,,,,,,,
,,,Renaissance,,,Renaissance FPV,,,,,,,,,,,,,,,,
,,,Sor 2,,,Sor 2 FPV,,,,,,,,,,,,,,,,
,,,Tams,,,Tams FPV,,,,,,,,,,,,,,,,
,,,Tekeze 1,,,Tekeze 1 FPV,,,,,,,,,,,,,,,,
,,,Tekeze 2,,,Tekeze 2 FPV,,,,,,,,,,,,,,,,
,,,Upper Dabus,,,Upper Dabus FPV,,,,,,,,,,,,,,,,
,,,Upper Mandaya,,,Upper Mandaya FPV,,,,,,,,,,,,,,,,
,,,Juba Barrage,,,Juba Barrage FPV,,,,,,,,,,,,,,,,
,,,Wau,,,Wau FPV,,,,,,,,,,,,,,,,
,,,Dagash,,,Dagash FPV,,,,,,,,,,,,,,,,
,,,Dal,,,Dal FPV,,,,,,,,,,,,,,,,
,,,Jebel Aulia,,,Jebel Aulia FPV,,,,,,,,,,,,,,,,
,,,Kajbar,,,Kajbar FPV,,,,,,,,,,,,,,,,
,,,Kashm El Girba ,,,Kashm El Girba  FPV,,,,,,,,,,,,,,,,
,,,Merowe,,,Merowe FPV,,,,,,,,,,,,,,,,
,,,Mograt,,,Mograt FPV,,,,,,,,,,,,,,,,
,,,Roseires,,,Roseires FPV,,,,,,,,,,,,,,,,
,,,Sabaloka,,,Sabaloka FPV,,,,,,,,,,,,,,,,
,,,Sennar,,,Sennar FPV,,,,,,,,,,,,,,,,
,,,Shereik,,,Shereik FPV,,,,,,,,,,,,,,,,
,,,Upper Atbara,,,Upper Atbara FPV,,,,,,,,,,,,,,,,
,,,Esna,,,,,,,,,,,,,,,,,,,
,,,Naga Hamadi,,,,,,,,,,,,,,,,,,,
,,,New Assiut Barrage,,,,,,,,,,,,,,,,,,,
,,,Sor,,,,,,,,,,,,,,,,,,,
,,,Tis Abay 1,,,,,,,,,,,,,,,,,,,
,,,Tis Abay 2,,,,,,,,,,,,,,,,,,,
,,,Bedden,,,,,,,,,,,,,,,,,,,
,,,Fula,,,,,,,,,,,,,,,,,,,
,,,Fula Small,,,,,,,,,,,,,,,,,,,
,,,Lakki,,,,,,,,,,,,,,,,,,,
,,,Shukoli,,,,,,,,,,,,,,,,,,,
