,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Biomass,Geothermal
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,0.0,6.694,45.477000000000004,15.466000000000001,0.11199999999999999,2.295,0.369,0.598
9,2024.0,0.0,6.494999999999999,44.076,16.236,0.36200000000000004,2.509,0.347,0.848
10,2025.0,3.0,6.164000000000001,42.677,17.681,0.611,2.722,0.217,1.048
11,2026.0,6.0,5.96,41.278,17.681,0.86,2.937,0.195,1.048
12,2027.0,6.0,5.696,39.876000000000005,17.681,1.1300000000000001,3.185,0.173,1.048
13,2028.0,6.0,5.384,38.476,17.993,1.6110000000000002,4.118,0.15200000000000002,1.047
14,2029.0,6.0,5.073,37.076,17.993,2.8609999999999998,4.644,0.13,1.047
15,2030.0,6.0,4.871,36.636,18.846,3.891,4.859,0.109,1.046
16,2031.0,6.0,4.671,35.236000000000004,18.846,8.24,5.717,0.087,1.046
17,2032.0,6.0,4.4719999999999995,35.827000000000005,18.846,11.806000000000001,6.663,0.065,1.086
18,2033.0,6.0,4.272,36.474000000000004,18.846,13.905,8.297,0.044,1.185
19,2034.0,7.0,4.072,36.19,18.846,16.003999999999998,10.081,0.022,1.285
20,2035.0,8.0,3.8709999999999996,35.801,18.846,16.712,13.318000000000001,0.0,1.284
21,2036.0,9.0,3.67,35.476000000000006,19.416,18.561,15.908000000000001,0.0,1.3840000000000001
22,2037.0,10.0,3.472,35.496,19.416,19.159,19.105,0.0,1.443
23,2038.0,11.0,3.271,35.503,19.728,20.506999999999998,21.482,0.0,1.443
24,2039.0,12.0,3.073,36.999,19.728,23.407,24.075,0.0,1.443
25,2040.0,13.0,1.522,37.973,19.728,26.997,26.724999999999998,0.0,1.4420000000000002
26,2041.0,13.5,0.0,40.821,19.728,31.497999999999998,28.252,0.0,1.4420000000000002
27,2042.0,14.0,0.0,42.292,19.701999999999998,34.514,30.892999999999997,0.0,1.4409999999999998
28,2043.0,14.5,0.0,43.833,19.701999999999998,38.357,33.150999999999996,0.0,1.4409999999999998
29,2044.0,15.0,0.0,45.32300000000001,19.692,42.242000000000004,35.766000000000005,0.0,1.44
30,2045.0,15.5,0.0,46.745999999999995,19.692,46.251999999999995,39.065,0.0,1.32
31,2046.0,15.588,0.0,51.644,19.422,51.347,40.833,0.0,1.15
32,2047.0,15.599,0.0,56.957,19.422,57.078,42.010999999999996,0.0,1.05
33,2048.0,17.492,0.0,48.776,19.422,62.646,44.569,0.0,0.8500000000000001
34,2049.0,17.992,0.0,53.299,19.422,67.271,47.025,0.0,0.6000000000000001
35,2050.0,18.492,0.0,54.975,19.422,73.902,49.226,0.0,0.4
36,2051.0,18.996,0.0,56.871,19.422,78.599,49.933,0.0,0.4
37,2052.0,19.496,0.0,58.887,19.422,83.721,50.398,0.0,0.4
38,2053.0,20.101,0.0,60.935,19.294,88.861,50.917,0.0,0.4
39,2054.0,20.805,0.0,63.119,19.294,93.30900000000001,51.737,0.0,0.4
40,2055.0,19.333,0.0,67.466,19.294,98.75399999999999,53.159,0.0,0.4
41,2056.0,18.041,0.0,71.966,19.294,101.68700000000001,54.947,0.0,0.4
42,2057.0,19.966,0.0,73.643,19.294,104.049,55.853,0.0,0.4
43,2058.0,21.788,0.0,75.39599999999999,19.294,108.985,55.809,0.0,0.4
44,2059.0,23.317,0.0,77.613,19.294,113.795,56.251999999999995,0.0,0.4
45,2060.0,24.919,0.0,78.821,19.294,119.301,59.044000000000004,0.0,0.4
46,2061.0,25.578,0.0,82.084,19.251,122.789,59.336999999999996,0.0,0.4
47,2062.0,26.28,0.0,85.209,19.251,127.36099999999999,59.787,0.0,0.4
48,2063.0,27.022,0.0,90.04100000000001,19.251,131.58100000000002,60.546,0.0,0.4
49,2064.0,27.806,0.0,93.12899999999999,19.251,134.33599999999998,62.55,0.0,0.4
50,2065.0,28.636,0.0,96.487,19.251,137.015,63.903,0.0,0.4
51,2066.0,29.429,0.0,99.571,19.251,137.175,68.803,0.0,0.4
52,2067.0,30.211,0.0,102.81800000000001,19.219,140.1,71.856,0.0,0.4
53,2068.0,31.209,0.0,105.85200000000002,19.219,143.14600000000002,75.418,0.0,0.4
54,2069.0,32.347,0.0,108.75500000000001,19.219,146.233,79.381,0.0,0.4
55,2070.0,33.68,0.0,111.947,19.219,148.768,83.62899999999999,0.0,0.4
