,y,Solar PV (roof top),Solar PV (utility),Solar PV with storage
0,2015.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0
8,2023.0,0.09380000000000001,0.6489,0.0
9,2024.0,0.09140000000000001,2.3143999999999996,0.0
10,2025.0,0.08900000000000001,3.98,0.0
11,2026.0,0.0866,5.625,0.0
12,2027.0,0.0842,7.4326,0.0
13,2028.0,0.0818,10.474,0.0
14,2029.0,0.0794,18.3298,0.0
15,2030.0,1.7456,23.222700000000003,0.3016
16,2031.0,4.0791,45.1275,5.2155
17,2032.0,4.410399999999999,66.3724,6.3881
18,2033.0,4.7417,78.595,6.8795
19,2034.0,5.0731,90.8175,7.3709
20,2035.0,5.3803,87.3168,7.8623
21,2036.0,5.692699999999999,96.2613,8.3536
22,2037.0,6.0116000000000005,99.678,8.845
23,2038.0,10.2203,103.8829,9.3364
24,2039.0,15.3017,113.57169999999999,9.8278
25,2040.0,24.523799999999998,121.46269999999998,10.3192
26,2041.0,31.6931,135.1608,15.350200000000001
27,2042.0,41.0044,139.47009999999997,20.3812
28,2043.0,54.824299999999994,143.2051,25.412300000000002
29,2044.0,69.0263,147.2779,30.4433
30,2045.0,83.6529,150.45360000000002,35.4743
31,2046.0,109.6669,150.98069999999998,40.5052
32,2047.0,139.0094,153.9226,45.5362
33,2048.0,167.06660000000002,154.0594,50.5672
34,2049.0,192.0061,153.0864,55.5983
35,2050.0,228.64329999999998,150.88909999999998,60.6293
36,2051.0,254.50619999999998,149.4889,65.6603
37,2052.0,283.1525,147.6488,70.6913
38,2053.0,313.1705,143.4297,75.7223
39,2054.0,343.3691,134.7027,80.7533
40,2055.0,374.481,92.8347,88.9713
41,2056.0,406.16970000000003,80.2054,98.438
42,2057.0,433.71639999999996,69.9286,108.2731
43,2058.0,467.3141,57.9721,118.10829999999999
44,2059.0,500.03920000000005,56.263099999999994,127.9435
45,2060.0,528.6258,55.764300000000006,137.7787
46,2061.0,559.2654,55.6708,138.5511
47,2062.0,587.7629,57.6104,139.7698
48,2063.0,611.7519000000001,54.6182,145.0654
49,2064.0,635.3586,52.4088,150.361
50,2065.0,658.5409,50.6892,155.65659999999997
51,2066.0,670.3357,48.2726,160.9523
52,2067.0,678.8018999999999,52.0526,166.24790000000002
53,2068.0,688.5536000000001,55.1377,171.54340000000002
54,2069.0,701.4229,60.7189,176.839
55,2070.0,702.5944,67.41409999999999,182.1346
