,y,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (roof top),Solar PV with storage
45,2060.0,0.4,0.0014644611454279473,0.0,0.0,0.0,0.5289288573915121,0.122335676855759,0.0,4.414035331318249
46,2061.0,0.4,0.0014644611454279473,0.0,0.0,0.0,0.5289288573915121,0.122335676855759,0.0,4.604683488781217
47,2062.0,0.4,0.0014644611454279473,0.0,0.0,0.0,0.5289288573915121,0.122335676855759,0.0,4.800015707300815
48,2063.0,0.4,0.0014644611454279473,0.0,0.0,0.0,0.5378286086287101,0.11343592561856147,0.0,5.000157818030692
49,2064.0,0.4,0.0014644611454279473,0.0,0.0,0.0,0.539492544231471,0.11177199001580057,0.0,5.205243458036052
50,2065.0,0.4,0.0014644611454279473,0.0,0.0,0.0,0.5403917886682921,0.11087274557897951,0.6600711917340782,4.974748662705843
51,2066.0,0.4,0.0014644611454279473,0.0,0.0,0.0,0.5403917886682922,0.11087274557897951,1.3533514626176477,4.727284648139923
52,2067.0,0.4,0.0014644611454279473,0.0,0.0,0.0,0.5417939323181701,0.11087274557897951,2.0963331646964054,4.451970408470161
53,2068.0,0.4,0.0014644611454279473,0.0,0.0,0.0,0.5417939323181701,0.11087274557897951,2.879568141746112,4.1552609029581085
54,2069.0,0.4,0.0014644611454279473,0.0,0.0,0.0,0.54179393231817,0.11087274557897951,3.56932622782666,3.926589644079875
55,2070.0,0.4,0.0014644611454279473,0.0,0.0,0.0,0.5417939323181721,0.11087274557897951,3.6883638442283084,4.084711400424451
