,y,Biomass extraction/production/refining
0,2015,2041.1959
1,2016,2088.8356
2,2017,2127.5497
3,2018,2172.5408
4,2019,2220.0081999999998
5,2020,2266.0627
6,2021,2299.5023
7,2022,2331.0326
8,2023,2362.1594999999998
9,2024,2393.3058
10,2025,2416.1582000000003
11,2026,2447.2577
12,2027,2476.0128
13,2028,2506.7802
14,2029,2536.4093000000003
15,2030,2609.9820000000004
16,2031,2636.8318
17,2032,2663.1693
18,2033,2689.0391000000004
19,2034,2714.4871000000003
20,2035,2757.6604
21,2036,2781.7729
22,2037,2805.7234000000003
23,2038,2829.5436
24,2039,2853.2710999999995
25,2040,2876.9353
26,2041,2873.5317
27,2042,2870.2704
28,2043,2862.5913
29,2044,2850.5159
30,2045,2838.6406
31,2046,2826.8655
32,2047,2815.2997
33,2048,2803.9407
34,2049,2792.7844000000005
35,2050,2781.8248000000003
36,2051,2779.0832
37,2052,2776.8109999999997
38,2053,2770.4190999999996
39,2054,2759.8999
40,2055,2749.8316000000004
41,2056,2734.1268
42,2057,2724.9674
43,2058,2716.2626
44,2059,2708.0111
45,2060,2700.2151000000003
46,2061,2688.9936000000002
47,2062,2680.2636
48,2063,2672.4946
49,2064,2665.2475
50,2065,2658.5322
51,2066,2652.3594
52,2067,2646.7409000000002
53,2068,2641.6911000000005
54,2069,2637.2252000000003
55,2070,2633.3572999999997
