,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
0,2015.0,0.0,49.63999999999999,437.88,136.28,0.0,0.0,0.21000000000000002,0.0,13.25,18.200000000000003,0.21,0.0
1,2016.0,0.0,44.6,451.22,136.28,0.0,0.0,0.42000000000000004,0.0,15.76,22.16,0.21,0.0
2,2017.0,0.0,21.79,470.5,161.49,0.0,0.0,0.44,0.0,15.76,19.61,0.21,0.0
3,2018.0,0.0,22.890000000000004,476.29,167.05,0.0,0.0,0.77,0.0,20.020000000000003,20.48,0.21,8.881784197001252e-16
4,2019.0,0.0,29.83,494.07,167.86,0.0,0.0,0.77,0.0,20.020000000000003,22.16,0.21,4.440892098500626e-16
5,2020.0,0.0,19.41,572.79,167.86,0.0,0.0,1.44,0.0,20.020000000000003,22.16,3.43,0.0
6,2021.0,0.0,54.050000000000004,588.7,167.86,0.0,11.72,4.74,0.0,22.72,25.759999999999998,7.98,-7.105427357601002e-15
7,2022.0,0.0,55.290000000000006,623.4100000000001,167.86,0.0,11.72,7.23,0.0,25.419999999999998,28.080000000000002,10.66,7.105427357601002e-15
8,2023.0,0.0,28.31,589.03,231.66,0.0,11.72,7.23,0.0,28.119999999999997,30.1,16.03,0.0
9,2024.0,0.0,15.39,582.5,250.26999999999998,0.0,11.72,7.22,0.0,30.82,32.129999999999995,25.41,0.0
10,2025.0,66.53,14.419999999999998,501.78000000000003,273.53000000000003,0.0,11.72,7.21,0.0,33.53,28.75,33.45,0.0
11,2026.0,0.0,13.45,573.21,274.85,0.0,11.72,7.21,0.0,36.23,31.619999999999997,36.12,0.0
12,2027.0,0.0,12.48,571.5600000000001,286.65,0.0,11.72,7.21,0.0,38.93,32.96,38.79,0.0
13,2028.0,0.0,11.52,568.86,298.61999999999995,0.0,11.72,8.86,0.0,41.629999999999995,35.66,40.17,0.0
14,2029.0,0.0,10.56,573.8100000000001,298.89,0.0,11.72,10.52,0.0,44.33,37.7,46.66,0.0
15,2030.0,0.0,9.61,548.0300000000001,329.34,0.0,11.72,14.46,0.0,47.03,39.71,53.35,0.0
16,2031.0,0.0,8.649999999999999,556.3,329.54,0.0,11.72,27.68,0.0,52.88,38.79,60.04,0.0
17,2032.0,0.0,7.67,563.0,329.54,0.0,11.72,43.5,0.0,58.71,37.88,66.74000000000001,0.0
18,2033.0,0.0,6.709999999999999,572.3499999999999,329.54,0.0,11.72,57.870000000000005,0.0,64.55,36.98,73.43,0.0
19,2034.0,1.84,5.78,577.9899999999999,329.54,0.0,11.72,73.25,2.1,70.38000000000001,36.07,80.12,0.0
20,2035.0,7.98,4.819999999999999,578.9699999999999,329.54,0.0,11.72,81.59,4.2,76.22,35.16,86.81,0.0
21,2036.0,26.7,3.8700000000000006,565.69,329.54,0.0,11.72,95.85,10.15,82.06,35.16,93.5,0.0
22,2037.0,70.84,2.8699999999999997,529.8,329.54,0.0,11.72,115.78999999999999,12.25,87.89999999999999,35.16,96.75,0.0
23,2038.0,105.27000000000001,1.9400000000000002,482.18,337.44,12.61,11.72,138.79,14.35,93.74,35.16,98.11,0.0
24,2039.0,142.12,1.02,439.46,338.3,26.02,11.72,157.70999999999998,16.45,99.57000000000001,35.16,104.78999999999999,0.0
25,2040.0,136.28,0.12,440.38,339.19,39.42,11.72,179.46,18.55,100.84,35.16,111.48,-2.842170943040401e-14
26,2041.0,136.28,0.22,439.74,340.36,52.82,11.72,207.54000000000002,18.55,107.74,38.09,117.77,-2.842170943040401e-14
27,2042.0,136.28,0.32,436.07,341.06,66.22,11.72,244.0,18.55,117.14,41.02,117.76,2.842170943040401e-14
28,2043.0,138.02,0.3,438.7,340.93999999999994,67.01,11.72,283.9,18.55,131.91,42.49,117.94,0.0
29,2044.0,136.28,0.29,442.09000000000003,338.84999999999997,67.01,11.72,325.24,18.55,150.94,42.49,122.08,2.842170943040401e-14
30,2045.0,141.38,0.28,445.64000000000004,337.73,67.01,11.72,362.61,18.55,169.98,42.49,125.6,0.0
31,2046.0,152.22,0.26,464.56,334.64,67.01,0.0,398.41,18.55,185.87,42.49,129.64000000000001,-2.842170943040401e-14
32,2047.0,162.79,0.25,469.45000000000005,330.49,67.01,0.0,438.63,18.55,201.77,42.49,135.68,0.0
33,2048.0,208.98,0.24,411.72999999999996,328.93000000000006,67.01,19.47,489.23,18.61,217.66,42.49,139.19,0.0
34,2049.0,214.06,0.24000000000000002,409.3,328.48,67.01,33.17,535.97,18.61,233.56,42.49,141.52,-2.842170943040401e-14
35,2050.0,230.32999999999998,0.24,393.23999999999995,340.75000000000006,67.01,52.64,570.59,18.61,249.46,42.49,145.0,0.0
36,2051.0,233.04000000000002,0.23,378.66,336.15,79.23,52.64,605.9100000000001,32.120000000000005,265.35,45.42,145.12,2.842170943040401e-14
37,2052.0,239.69,0.22,377.08,332.89,87.62,52.64,641.96,33.14,281.25,48.36,145.12,0.0
38,2053.0,241.95,0.21,383.16,340.5,93.82,52.64,671.82,34.93,297.14,49.82,143.72,0.0
39,2054.0,241.85000000000002,0.2,384.23,340.27,93.82,69.4,708.73,39.5,313.05,49.82,139.58,0.0
40,2055.0,224.92,0.2,409.15,339.5400000000001,93.82,70.48,756.99,39.5,328.95,49.82,139.58,0.0
41,2056.0,210.10000000000002,0.2,449.14,338.35,93.82,70.48,797.77,41.57,341.7,45.87,139.58,0.0
42,2057.0,211.69,0.19,471.38,337.56000000000006,93.82,73.73,832.5600000000001,46.97,354.47,45.87,139.58,0.0
43,2058.0,211.60999999999999,0.24,484.29,346.94000000000005,93.82,86.19,864.54,50.239999999999995,367.22,45.87,139.58,0.0
44,2059.0,207.74,0.17,494.71999999999997,345.71000000000004,93.82,100.58,911.35,56.019999999999996,379.99,45.87,139.58,2.842170943040401e-14
45,2060.0,205.70999999999998,0.1,495.3,347.13,93.82,126.87,954.43,62.489999999999995,392.74,45.87,139.58,0.0
46,2061.0,203.57000000000002,0.14,495.96000000000004,345.47,93.82,146.95,990.9399999999999,66.28,411.86,44.28,139.58,0.0
47,2062.0,201.24,0.15,496.49,345.32000000000005,93.82,167.36,1020.36,74.03,431.13,43.99,143.02,2.842170943040401e-14
48,2063.0,199.62,0.16,496.93999999999994,345.63,93.82,188.75,1047.12,80.08,454.25,43.99,147.33,0.0
49,2064.0,199.28,0.17,497.23,344.43999999999994,93.82,211.58,1075.1100000000001,86.07000000000001,481.05,43.99,148.1,0.0
50,2065.0,198.57,0.18,497.38,347.69999999999993,93.82,235.89,1103.27,91.31,505.52,43.99,148.36,2.842170943040401e-14
51,2066.0,185.78,0.1,499.31,357.27000000000004,93.82,267.51,1138.48,91.08,527.1800000000001,43.99,148.77,0.0
52,2067.0,196.63,0.11,496.67999999999995,365.9,93.82,281.41,1181.78,84.07,544.99,43.99,154.48,0.0
53,2068.0,238.89999999999998,0.11,491.24,376.39,93.82,287.27,1217.5100000000002,89.85000000000001,543.14,43.99,155.47,2.842170943040401e-14
54,2069.0,280.9,0.1,485.34,377.0400000000001,93.82,293.13,1262.89,92.26,553.13,43.99,154.55,0.0
55,2070.0,289.6,0.1,503.21,385.64000000000004,93.82,299.0,1301.8000000000002,103.67999999999999,555.37,43.99,155.47,0.0
