,y,Gas,Hydro,Solar PV,Wind,Geothermal
1,2016.0,0.0,0.0,0.002,0.0,0.0
2,2017.0,0.0,1.87,0.001,0.0,0.0
3,2020.0,0.0,0.0,0.0,0.0,0.12
4,2021.0,0.0,0.0,0.0,0.0,0.17
5,2022.0,0.0,0.0,0.0,0.0,0.1
6,2023.0,0.0,7.088,0.0,0.0,0.2
7,2024.0,0.0,0.0,0.0,0.0,0.25
8,2025.0,0.0,1.025,0.0,0.0,0.2
9,2027.0,0.0,0.0,0.065,0.0,0.0
10,2028.0,0.0,0.0,0.5,0.303,0.0
11,2029.0,0.0,0.0,0.5,0.0,0.0
12,2030.0,1.016,0.0,0.5,0.0,0.0
13,2031.0,0.0,0.0,1.5,0.377,0.0
14,2032.0,0.0,0.0,1.5,0.507,0.0
15,2033.0,0.0,0.0,1.5,0.681,0.0
16,2034.0,0.0,0.0,1.5,0.406,0.0
17,2035.0,0.0,0.0,1.5,0.798,0.0
18,2036.0,0.0,0.0,1.5,0.857,0.0
19,2037.0,0.0,0.0,1.5,0.866,0.0
20,2038.0,0.144,0.0,1.5,0.61,0.0
21,2039.0,0.131,0.0,1.5,0.75,0.0
22,2040.0,0.674,0.0,1.5,0.199,0.0
23,2041.0,0.0,0.0,3.0,0.0,0.0
24,2042.0,0.083,0.0,3.0,0.0,0.0
25,2043.0,0.119,0.0,3.0,0.133,0.0
26,2044.0,0.0,0.0,3.0,0.442,0.0
27,2045.0,0.0,0.0,3.0,0.649,0.0
28,2046.0,0.0,0.0,3.0,0.77,0.0
29,2047.0,0.0,0.0,3.0,1.129,0.0
30,2048.0,0.0,0.0,3.0,1.584,0.0
31,2049.0,0.0,0.0,3.0,1.913,0.0
32,2050.0,0.0,0.0,3.0,2.558,0.0
33,2051.0,0.0,0.0,3.0,0.038,0.0
34,2052.0,0.0,0.0,3.0,0.164,0.0
35,2053.0,0.0,0.0,3.0,1.034,0.0
36,2054.0,0.0,0.0,3.0,0.653,0.0
37,2055.0,0.0,0.0,3.0,0.737,0.0
38,2056.0,0.0,0.0,3.0,1.951,0.0
39,2057.0,0.0,0.0,3.0,2.171,0.0
40,2058.0,0.0,0.0,3.0,2.436,0.0
41,2059.0,0.0,0.0,3.0,2.256,0.0
42,2060.0,0.0,0.0,5.884,2.747,0.0
43,2061.0,0.0,0.0,5.321,0.0,0.0
44,2062.0,0.0,0.0,5.602,0.0,0.0
45,2063.0,0.0,0.0,5.663,0.0,0.0
46,2064.0,0.0,0.0,5.726,0.0,0.0
47,2065.0,0.0,0.0,5.79,0.37,0.0
48,2066.0,0.0,0.0,5.855,0.0,0.0
49,2067.0,0.0,0.0,5.923,0.213,0.0
50,2068.0,0.0,0.0,5.708,0.937,0.0
51,2069.0,0.0,0.0,6.0,0.893,0.0
52,2070.0,0.0,0.0,6.0,1.239,0.0
